version,candidate,stage,lambda_geometry,lambda_drift,learning_rate,bottleneck,max_epochs,early_stopping_patience,mean_method_BA,mean_control_BA,mean_delta_BA,delta_std,positive_inner_folds,median_method_epoch,median_control_epoch,median_pair_epoch,stage1_rank
V1,V1__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,24,5,0.8349047619047619,0.8359285714285715,-0.001023809523809538,0.0022380952380952517,2,2,1,2,1
V1,V1__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,24,5,0.834095238095238,0.8359285714285715,-0.0018333333333333756,0.002674308777542679,1,1,1,1,2
V1,V1__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,24,5,0.8329047619047619,0.8359285714285715,-0.0030238095238095176,0.0025572803013519407,0,1,1,1,3
V1,V1__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,24,5,0.8326428571428572,0.8359285714285715,-0.003285714285714314,0.002498979383505132,0,1,1,1,4
V1,V1__lg0.03__ld0.01__lr0.0001__b8,stage2,0.03,0.01,0.0001,8,24,5,0.8338095238095239,0.8344285714285714,-0.0006190476190476524,0.0008857654875113638,1,1,1,1,1
V1,V1__lg0.03__ld0.01__lr0.0003__b8,stage2,0.03,0.01,0.0003,8,24,5,0.8347380952380952,0.836095238095238,-0.0013571428571428346,0.0023079277744862277,2,2,1,2,1
V1,V1__lg0.03__ld0.1__lr0.0001__b8,stage2,0.03,0.1,0.0001,8,24,5,0.8339761904761904,0.8344285714285714,-0.00045238095238098186,0.0007392464141076378,1,1,1,1,1
V1,V1__lg0.03__ld0.1__lr0.0003__b8,stage2,0.03,0.1,0.0003,8,24,5,0.8349047619047619,0.8359285714285715,-0.001023809523809538,0.0022380952380952517,2,2,1,2,1
V1,V1__lg0.1__ld0.01__lr0.0001__b8,stage2,0.1,0.01,0.0001,8,24,5,0.8346904761904762,0.8344285714285714,0.0002619047619047299,0.001417416768203519,2,2,1,2,2
V1,V1__lg0.1__ld0.01__lr0.0003__b8,stage2,0.1,0.01,0.0003,8,24,5,0.833952380952381,0.836095238095238,-0.0021428571428571573,0.0030304576336566214,1,1,1,1,2
V1,V1__lg0.1__ld0.1__lr0.0001__b8,stage2,0.1,0.1,0.0001,8,24,5,0.8345476190476191,0.835,-0.00045238095238095963,0.0003719166512336566,0,2,2,2,2
V1,V1__lg0.1__ld0.1__lr0.0003__b8,stage2,0.1,0.1,0.0003,8,24,5,0.834095238095238,0.8359285714285715,-0.0018333333333333756,0.002674308777542679,1,1,1,1,2
