dataset,fold,subject_id,EEGNet_BA,R2EEG_ERM_BA,R2EEG_Rel_BA,EEGNet_macro_F1,R2EEG_ERM_macro_F1,R2EEG_Rel_macro_F1,rel_vs_erm_delta_BA_pp,erm_vs_eegnet_delta_BA_pp
OpenBMI,0,15,0.78,0.55,0.53,0.7777777777777778,0.4590695997115038,0.5276856597326902,-2.0000000000000018,-23.0
OpenBMI,0,38,0.59,0.48,0.43,0.5577607593571352,0.44821731748726656,0.40370331624646927,-4.999999999999999,-10.999999999999998
OpenBMI,0,6,0.96,0.47,0.51,0.959983993597439,0.46994699469946993,0.45011783189316573,4.0000000000000036,-49.0
OpenBMI,0,33,0.76,0.5499999999999999,0.54,0.7584541062801933,0.4692770373864843,0.5208333333333334,-0.9999999999999898,-21.000000000000007
OpenBMI,0,32,0.71,0.49,0.45999999999999996,0.7097387648883995,0.4357782940590773,0.4140625,-3.0000000000000027,-21.999999999999996
OpenBMI,0,3,0.86,0.5700000000000001,0.5,0.8599439775910365,0.5538956323270048,0.49919871794871795,-7.000000000000006,-28.999999999999993
OpenBMI,0,5,0.65,0.54,0.49,0.6457131288591963,0.5066495066495067,0.4858352656517794,-5.000000000000004,-10.999999999999998
OpenBMI,0,47,0.8200000000000001,0.45999999999999996,0.48,0.8199279711884754,0.4591346153846154,0.47916666666666663,2.0000000000000018,-36.00000000000001
OpenBMI,0,26,0.8899999999999999,0.51,0.55,0.8894583458948849,0.45011783189316573,0.54226426609704,4.0000000000000036,-37.999999999999986
OpenBMI,0,2,0.78,0.51,0.52,0.7767857142857143,0.4916485112563544,0.49066213921901525,1.0000000000000009,-27.0
OpenBMI,0,14,0.65,0.57,0.5700000000000001,0.6338529134846741,0.5413333333333333,0.5538956323270048,1.1102230246251565e-14,-8.000000000000007
OpenBMI,0,31,0.77,0.52,0.55,0.767182913250329,0.49558638083228246,0.5444883085332524,3.0000000000000027,-25.0
OpenBMI,0,28,0.85,0.55,0.5700000000000001,0.8487750781328763,0.5477841422972565,0.5699569956995699,2.0000000000000018,-29.999999999999993
OpenBMI,0,35,0.83,0.44999999999999996,0.39999999999999997,0.8270776116366596,0.36276213648476424,0.34065934065934067,-4.999999999999999,-38.0
OpenBMI,1,40,0.84,0.53,0.47000000000000003,0.8383838383838383,0.4725620020199753,0.44554869756250653,-6.0,-30.999999999999993
OpenBMI,1,43,0.8200000000000001,0.53,0.49,0.818840579710145,0.4456893501592169,0.4895405865278751,-4.0000000000000036,-29.000000000000004
OpenBMI,1,50,0.67,0.5,0.42,0.66996699669967,0.3333333333333333,0.39583333333333337,-8.000000000000002,-17.000000000000004
OpenBMI,1,52,0.77,0.51,0.51,0.7660461804495982,0.45011783189316573,0.50995099509951,0.0,-26.0
OpenBMI,1,23,0.58,0.51,0.5,0.5738636363636364,0.4415954415954416,0.4832575444398512,-1.0000000000000009,-6.999999999999995
OpenBMI,1,1,0.67,0.54,0.56,0.6659580929243851,0.47987336047037543,0.537620849096259,2.0000000000000018,-13.0
OpenBMI,1,30,0.76,0.5,0.5800000000000001,0.7591328783621036,0.4429590017825312,0.5384615384615385,8.000000000000007,-26.0
OpenBMI,1,48,0.73,0.44999999999999996,0.59,0.7277951406391774,0.36276213648476424,0.5829518868884143,14.000000000000002,-28.000000000000004
OpenBMI,1,11,0.72,0.45999999999999996,0.6000000000000001,0.7144022847817217,0.4269949066213922,0.5833333333333333,14.000000000000012,-26.0
OpenBMI,1,8,0.6699999999999999,0.37,0.5,0.6673051718923279,0.3204616546219394,0.43464495703301675,13.0,-29.999999999999993
OpenBMI,1,45,0.72,0.43999999999999995,0.47000000000000003,0.7181964573268921,0.3993993993993994,0.4052294916395466,3.000000000000008,-28.000000000000004
OpenBMI,1,34,0.6499999999999999,0.5700000000000001,0.44999999999999996,0.6395839769333744,0.5647332725984411,0.40675223816201056,-12.00000000000001,-7.999999999999985
OpenBMI,1,27,0.89,0.48,0.56,0.8891017239641092,0.45355191256830596,0.5571658615136876,8.000000000000007,-41.0
