dataset,seed,action,oracle_win_rate
hmc,0,official_t3a,0.4857142857142857
hmc,0,no_tta,0.45714285714285713
hmc,0,robust_residual_adapter,0.05714285714285714
hmc,1,official_t3a,0.4857142857142857
hmc,1,no_tta,0.45714285714285713
hmc,1,robust_residual_adapter,0.05714285714285714
hmc,2,no_tta,0.42857142857142855
hmc,2,official_t3a,0.4
hmc,2,robust_residual_adapter,0.17142857142857143
hmc,3,no_tta,0.5142857142857142
hmc,3,official_t3a,0.4
hmc,3,robust_residual_adapter,0.08571428571428572
hmc,4,no_tta,0.5428571428571428
hmc,4,official_t3a,0.3142857142857143
hmc,4,robust_residual_adapter,0.14285714285714285
eegmmidb,0,no_tta,0.5666666666666667
eegmmidb,0,official_t3a,0.3333333333333333
eegmmidb,0,robust_residual_adapter,0.1
eegmmidb,1,no_tta,0.5666666666666667
eegmmidb,1,official_t3a,0.36666666666666664
eegmmidb,1,robust_residual_adapter,0.06666666666666667
eegmmidb,2,no_tta,0.7
eegmmidb,2,official_t3a,0.3
eegmmidb,3,no_tta,0.6666666666666666
eegmmidb,3,official_t3a,0.3333333333333333
eegmmidb,4,no_tta,0.5666666666666667
eegmmidb,4,official_t3a,0.43333333333333335
