dataset,seed,action,alpha,mean_gain,win_rate,harm_rate,safe_rate,safe_beneficial_rate,unavailable_rate
hmc,0,no_tta,0.1,0.0,0.0,0.0,0.9428571428571428,0.0,0.0
hmc,0,no_tta,0.2,0.0,0.0,0.0,1.0,0.0,0.0
hmc,0,official_t3a,0.1,0.009642857142857146,0.4857142857142857,0.4857142857142857,0.8,0.42857142857142855,0.0
hmc,0,official_t3a,0.2,0.009642857142857146,0.4857142857142857,0.4857142857142857,0.9142857142857143,0.4857142857142857,0.0
hmc,0,robust_residual_adapter,0.1,-0.00035714285714285546,0.08571428571428572,0.17142857142857143,0.9428571428571428,0.08571428571428572,0.0
hmc,0,robust_residual_adapter,0.2,-0.00035714285714285546,0.08571428571428572,0.17142857142857143,1.0,0.08571428571428572,0.0
hmc,1,no_tta,0.1,0.0,0.0,0.0,1.0,0.0,0.0
hmc,1,no_tta,0.2,0.0,0.0,0.0,1.0,0.0,0.0
hmc,1,official_t3a,0.1,-0.0016666666666666735,0.4857142857142857,0.4857142857142857,0.9428571428571428,0.45714285714285713,0.0
hmc,1,official_t3a,0.2,-0.0016666666666666735,0.4857142857142857,0.4857142857142857,0.9714285714285714,0.45714285714285713,0.0
hmc,1,robust_residual_adapter,0.1,-0.0005952380952380995,0.08571428571428572,0.2,1.0,0.08571428571428572,0.02857142857142858
hmc,1,robust_residual_adapter,0.2,-0.0005952380952380995,0.08571428571428572,0.2,1.0,0.08571428571428572,0.02857142857142858
hmc,2,no_tta,0.1,0.0,0.0,0.0,1.0,0.0,0.0
hmc,2,no_tta,0.2,0.0,0.0,0.0,1.0,0.0,0.0
hmc,2,official_t3a,0.1,-0.00738095238095239,0.4,0.5714285714285714,0.8857142857142857,0.4,0.0
hmc,2,official_t3a,0.2,-0.00738095238095239,0.4,0.5714285714285714,0.9714285714285714,0.4,0.0
hmc,2,robust_residual_adapter,0.1,-0.00011904761904761941,0.17142857142857143,0.17142857142857143,1.0,0.17142857142857143,0.0
hmc,2,robust_residual_adapter,0.2,-0.00011904761904761941,0.17142857142857143,0.17142857142857143,1.0,0.17142857142857143,0.0
hmc,3,no_tta,0.1,0.0,0.0,0.0,0.9714285714285714,0.0,0.0
hmc,3,no_tta,0.2,0.0,0.0,0.0,1.0,0.0,0.0
hmc,3,official_t3a,0.1,-0.010952380952380955,0.4,0.5714285714285714,0.8,0.34285714285714286,0.0
hmc,3,official_t3a,0.2,-0.010952380952380955,0.4,0.5714285714285714,0.9428571428571428,0.37142857142857144,0.0
hmc,3,robust_residual_adapter,0.1,-0.00011904761904761704,0.14285714285714285,0.2,0.9714285714285714,0.14285714285714285,0.05714285714285716
hmc,3,robust_residual_adapter,0.2,-0.00011904761904761704,0.14285714285714285,0.2,1.0,0.14285714285714285,0.05714285714285716
hmc,4,no_tta,0.1,0.0,0.0,0.0,0.8857142857142857,0.0,0.0
hmc,4,no_tta,0.2,0.0,0.0,0.0,1.0,0.0,0.0
hmc,4,official_t3a,0.1,-0.024761904761904763,0.3142857142857143,0.6285714285714286,0.6571428571428571,0.2,0.0
hmc,4,official_t3a,0.2,-0.024761904761904763,0.3142857142857143,0.6285714285714286,0.8857142857142857,0.2571428571428571,0.0
hmc,4,robust_residual_adapter,0.1,-0.0010714285714285693,0.17142857142857143,0.34285714285714286,0.8857142857142857,0.17142857142857143,0.02857142857142858
hmc,4,robust_residual_adapter,0.2,-0.0010714285714285693,0.17142857142857143,0.34285714285714286,1.0,0.17142857142857143,0.02857142857142858
eegmmidb,0,no_tta,0.1,0.0,0.0,0.0,1.0,0.0,0.0
eegmmidb,0,no_tta,0.2,0.0,0.0,0.0,1.0,0.0,0.0
eegmmidb,0,official_t3a,0.1,-0.001388888888888895,0.3333333333333333,0.3333333333333333,0.9333333333333333,0.3,0.0
eegmmidb,0,official_t3a,0.2,-0.001388888888888895,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0
eegmmidb,0,robust_residual_adapter,0.1,0.0012499999999999955,0.13333333333333333,0.06666666666666667,1.0,0.13333333333333333,0.0
eegmmidb,0,robust_residual_adapter,0.2,0.0012499999999999955,0.13333333333333333,0.06666666666666667,1.0,0.13333333333333333,0.0
eegmmidb,1,no_tta,0.1,0.0,0.0,0.0,1.0,0.0,0.0
eegmmidb,1,no_tta,0.2,0.0,0.0,0.0,1.0,0.0,0.0
eegmmidb,1,official_t3a,0.1,0.0016374269005847875,0.36666666666666664,0.3,0.9666666666666667,0.36666666666666664,0.0
eegmmidb,1,official_t3a,0.2,0.0016374269005847875,0.36666666666666664,0.3,1.0,0.36666666666666664,0.0
eegmmidb,1,robust_residual_adapter,0.1,-0.000555555555555561,0.1,0.13333333333333333,1.0,0.1,0.0
eegmmidb,1,robust_residual_adapter,0.2,-0.000555555555555561,0.1,0.13333333333333333,1.0,0.1,0.0
eegmmidb,2,no_tta,0.1,0.0,0.0,0.0,1.0,0.0,0.0
eegmmidb,2,no_tta,0.2,0.0,0.0,0.0,1.0,0.0,0.0
eegmmidb,2,official_t3a,0.1,-0.011666666666666659,0.3,0.5666666666666667,1.0,0.3,0.0
eegmmidb,2,official_t3a,0.2,-0.011666666666666659,0.3,0.5666666666666667,1.0,0.3,0.0
eegmmidb,2,robust_residual_adapter,0.1,-0.0016666666666666644,0.0,0.06666666666666667,1.0,0.0,0.033333333333333326
eegmmidb,2,robust_residual_adapter,0.2,-0.0016666666666666644,0.0,0.06666666666666667,1.0,0.0,0.033333333333333326
eegmmidb,3,no_tta,0.1,0.0,0.0,0.0,1.0,0.0,0.0
eegmmidb,3,no_tta,0.2,0.0,0.0,0.0,1.0,0.0,0.0
eegmmidb,3,official_t3a,0.1,0.0005555555555555647,0.3333333333333333,0.4,0.9666666666666667,0.3333333333333333,0.0
