method,geometry_preservation_error,offset_sensitivity,robust_ba,delta_robust_ba_vs_matched,balanced_accuracy,delta_ba_vs_matched
Historical EEGNet,0.0,0.00024930990178254753,0.819765873015873,-0.006102513227513207,0.821170634920635,-0.005480158730158502
Matched continued-training base,0.0,0.00032694245440568863,0.8258683862433862,0.0,0.8266507936507935,0.0
Duplicate-clean control,0.0,0.00032709269917193906,0.8258835978835978,1.5211640211565403e-05,0.8266984126984127,4.761904761918512e-05
Generic/full Protected subject swap,0.28000913145441825,0.0003140126712115437,0.8259550264550264,8.664021164017655e-05,0.8269801587301587,0.000329365079365207
Random same-norm G_perp augmentation,2.6719836152029647e-08,0.0002973839825337014,0.8260400132275131,0.00017162698412687138,0.8266785714285714,2.7777777777848733e-05
PERSIST-CF (CF0 selected),1.6692105535136704e-08,0.0002890310921108048,0.8261392195767195,0.00027083333333333126,0.8271468253968254,0.0004960317460318553
PERSIST-CF CF1-HARD,1.5879196627388598e-08,0.00015440102525130411,0.8262794312169313,0.00041104497354504943,0.8266190476190476,-3.1746031745938375e-05
