method,key,evaluation_scope,balanced_accuracy,delta_ba_vs_matched,ci95_subject_run,positive_inner_folds,macro_f1,nll,robust_ba,delta_robust_ba_vs_matched,geometry_preservation_error,offset_sensitivity
Historical EEGNet,historical,OpenBMI outer-TRAIN five-fold subject-disjoint inner CV,0.821170634920635,-0.005480158730158502,"[-0.014632965686274509, 0.0006862745098039133]",10,0.8202069213674128,0.4029485852475757,0.819765873015873,-0.006102513227513207,0.0,0.00024930990178254753
Matched continued-training base,base,OpenBMI outer-TRAIN five-fold subject-disjoint inner CV,0.8266507936507935,0.0,"[0.0, 0.0]",0,0.8263955259360717,0.3864227080294154,0.8258683862433862,0.0,0.0,0.00032694245440568863
Duplicate-clean control,duplicate,OpenBMI outer-TRAIN five-fold subject-disjoint inner CV,0.8266984126984127,4.761904761918512e-05,"[0.0, 0.00014705882352941517]",2,0.8264433161481257,0.386397161728552,0.8258835978835978,1.5211640211565403e-05,0.0,0.00032709269917193906
Generic/full Protected subject swap,full,OpenBMI outer-TRAIN five-fold subject-disjoint inner CV,0.8269801587301587,0.000329365079365207,"[-0.00031862745098038486, 0.0010294117647058872]",13,0.826730986050031,0.3869054100698462,0.8259550264550264,8.664021164017655e-05,0.28000913145441825,0.0003140126712115437
Random same-norm G_perp augmentation,random,OpenBMI outer-TRAIN five-fold subject-disjoint inner CV,0.8266785714285714,2.7777777777848733e-05,"[-0.0003676470588235303, 0.00039215686274509943]",5,0.8264235833910536,0.38647871540087303,0.8260400132275131,0.00017162698412687138,2.6719836152029647e-08,0.0002973839825337014
PERSIST-CF (CF0 selected),cf,OpenBMI outer-TRAIN five-fold subject-disjoint inner CV,0.8271468253968254,0.0004960317460318553,"[-4.3105407034836366e-18, 0.001078431372549015]",11,0.8268975656731026,0.38649884030612175,0.8261392195767195,0.00027083333333333126,1.6692105535136704e-08,0.0002890310921108048
PERSIST-CF CF1-HARD,hard,OpenBMI outer-TRAIN five-fold subject-disjoint inner CV,0.8266190476190476,-3.1746031745938375e-05,"[-0.001764705882352933, 0.0014215686274509814]",14,0.8263506322147832,0.3875285396494833,0.8262794312169313,0.00041104497354504943,1.5879196627388598e-08,0.00015440102525130411
