fold,seed,task,block,dimensions,persistence_supported,rho_G,rho_null_p95,n_inner_splits,raw_utility_mean_CE,raw_BA_drop_mean,random_mean_CE,calibrated_utility_mean_CE,calibrated_utility_ci95,calibrated_utility_sign_probability,bootstrap,random_draws_per_split,probe_refit_after_intervention
2,0,mi,0,1,True,0.7567979391033706,0.234123626437454,5,0.0018002504960163868,0.0017265287795955376,0.00508710124796748,-0.0032868507519510934,"[-0.0021064136530445613, 0.004656518711784771]",0.8028,"{'mean': 0.0014231896276080452, 'median': 0.0007280849565837189, 'ci95': [-0.0021064136530445613, 0.004656518711784771], 'sign_probability': 0.8028, 'draws': 10000, 'n_subjects': 85}",100,True
2,0,mi,1,1,True,0.5995159386685669,0.19779812577856426,5,0.0029719331061716426,0.005279891506067669,0.005359769094530801,-0.0023878359883591584,"[-0.001076518832305193, 0.006546379113566374]",0.9369,"{'mean': 0.0031080610997427736, 'median': 0.0018918444099053078, 'ci95': [-0.001076518832305193, 0.006546379113566374], 'sign_probability': 0.9369, 'draws': 10000, 'n_subjects': 85}",100,True
2,0,mi,2,4,True,0.33493443702649384,0.0731760434476616,5,0.006625647215785379,0.013856614053657946,0.026530402036584064,-0.019904754820798683,"[0.0019429658197537677, 0.011815202387028734]",0.9977,"{'mean': 0.006781825456576791, 'median': 0.002421419383907941, 'ci95': [0.0019429658197537677, 0.011815202387028734], 'sign_probability': 0.9977, 'draws': 10000, 'n_subjects': 85}",100,True
2,0,mi,3,4,True,0.18530212999363327,0.04781581467957584,5,0.0327669431664276,0.048293128280813245,0.021107140235414004,0.011659802931013593,"[0.021674636717366087, 0.041793611944001614]",1.0,"{'mean': 0.031489394002179795, 'median': 0.022036215636426104, 'ci95': [0.021674636717366087, 0.041793611944001614], 'sign_probability': 1.0, 'draws': 10000, 'n_subjects': 85}",100,True
2,0,mi,4,4,True,0.10222829887440679,0.04002660149732669,5,0.03248502720632017,0.043201268870747135,0.020671862152196033,0.01181316505412414,"[0.02617397835100924, 0.037585001158482956]",1.0,"{'mean': 0.03188160503887878, 'median': 0.031847638234690945, 'ci95': [0.02617397835100924, 0.037585001158482956], 'sign_probability': 1.0, 'draws': 10000, 'n_subjects': 85}",100,True
2,0,mi,5,4,True,0.04044037285887805,0.02592677079478778,5,0.03263175583137444,0.04951172664379198,0.02199802009010561,0.010633735741268833,"[0.027368488020810617, 0.03778482840686619]",1.0,"{'mean': 0.03250270696622894, 'median': 0.031166772738556947, 'ci95': [0.027368488020810617, 0.03778482840686619], 'sign_probability': 1.0, 'draws': 10000, 'n_subjects': 85}",100,True
2,0,mi,6,2,False,-0.0015376695637803642,0.02812333595087075,5,0.019121345543301627,0.017881612361593135,0.009939705163637041,0.009181640379664586,"[0.013856482138910102, 0.024011571116713714]",1.0,"{'mean': 0.018893587502676744, 'median': 0.016872891223952413, 'ci95': [0.013856482138910102, 0.024011571116713714], 'sign_probability': 1.0, 'draws': 10000, 'n_subjects': 85}",100,True
2,0,erp,0,1,True,0.7567979391033706,0.234123626437454,5,-0.001812194302647696,0.001700357968374966,0.00047995291933293916,-0.002292147221980635,"[-0.003030682003150784, -0.00013889008848437198]",0.0155,"{'mean': -0.0014921470592766507, 'median': -6.660840729000306e-05, 'ci95': [-0.003030682003150784, -0.00013889008848437198], 'sign_probability': 0.0155, 'draws': 10000, 'n_subjects': 85}",100,True
2,0,erp,1,1,True,0.5995159386685669,0.19779812577856426,5,0.0038048754330344604,-0.0021045970678796435,0.00043633398353550555,0.0033685414494989546,"[0.0009952188223271501, 0.006132863588479872]",0.9981,"{'mean': 0.003491372303700577, 'median': 0.0017967796226798782, 'ci95': [0.0009952188223271501, 0.006132863588479872], 'sign_probability': 0.9981, 'draws': 10000, 'n_subjects': 85}",100,True
2,0,erp,2,4,True,0.33493443702649384,0.0731760434476616,5,0.0026639349067157925,-0.00039221975677669054,0.003246922810140977,-0.0005829879034251846,"[0.00027459262123516757, 0.004949076041281876]",0.9857,"{'mean': 0.0025424244755134252, 'median': 0.0004939211406173039, 'ci95': [0.00027459262123516757, 0.004949076041281876], 'sign_probability': 0.9857, 'draws': 10000, 'n_subjects': 85}",100,True
2,0,erp,3,4,True,0.18530212999363327,0.04781581467957584,5,0.00042897143618838565,0.0008357635636301542,0.004092616905808398,-0.0036636454696200122,"[-0.0014866920472073777, 0.0030311266664738053]",0.7347,"{'mean': 0.0007200971468394543, 'median': -0.0006686425795806583, 'ci95': [-0.0014866920472073777, 0.0030311266664738053], 'sign_probability': 0.7347, 'draws': 10000, 'n_subjects': 85}",100,True
2,0,erp,4,4,True,0.10222829887440679,0.04002660149732669,5,0.001452472900035595,0.00023416535063772726,0.0038995867157746115,-0.002447113815739016,"[-0.0002113310745427606, 0.0031719094431319015]",0.9562,"{'mean': 0.0015099076029693515, 'median': 0.0015432800191856888, 'ci95': [-0.0002113310745427606, 0.0031719094431319015], 'sign_probability': 0.9562, 'draws': 10000, 'n_subjects': 85}",100,True
2,0,erp,5,4,True,0.04044037285887805,0.02592677079478778,5,0.01657218634084475,0.01064728569237695,0.0012630849035716255,0.015309101437273126,"[0.0125884955871383, 0.020174003099157713]",1.0,"{'mean': 0.016304562068631307, 'median': 0.015054052898716752, 'ci95': [0.0125884955871383, 0.020174003099157713], 'sign_probability': 1.0, 'draws': 10000, 'n_subjects': 85}",100,True
2,0,erp,6,2,False,-0.0015376695637803642,0.02812333595087075,5,0.00018179115324183924,0.0011078654108827024,0.0017038669910930957,-0.0015220758378512564,"[-0.0010187992471616877, 0.001549838627845141]",0.6406,"{'mean': 0.000235958023556534, 'median': 0.0003835173439904471, 'ci95': [-0.0010187992471616877, 0.001549838627845141], 'sign_probability': 0.6406, 'draws': 10000, 'n_subjects': 85}",100,True
2,0,ssvep,0,1,True,0.7567979391033706,0.234123626437454,5,-0.0004261321288802966,0.0003686479446879387,0.00812805312290875,-0.008554185251789047,"[-0.0012756046272282189, 0.0004628938672623388]",0.1808,"{'mean': -0.0004062622671614528, 'median': -0.00026281616487422443, 'ci95': [-0.0012756046272282189, 0.0004628938672623388], 'sign_probability': 0.1808, 'draws': 10000, 'n_subjects': 85}",100,True
2,0,ssvep,1,1,True,0.5995159386685669,0.19779812577856426,5,0.0005319910567442854,0.0015696970457936387,0.008587175111296868,-0.008055184054552583,"[-0.0002914466119686749, 0.0014552129674148813]",0.9083,"{'mean': 0.0005744038748289894, 'median': 0.0004680370146223911, 'ci95': [-0.0002914466119686749, 0.0014552129674148813], 'sign_probability': 0.9083, 'draws': 10000, 'n_subjects': 85}",100,True
