dataset,backbone,fold,delta_C,delta_G,prediction,outcome_better,correct_excluding_ties,tie_C,tie_G,prospective_status
OpenBMI,EEGConformer,0,-0.02999999999999997,-0.49999999999998934,EEGNet,EEGNet,True,False,False,PREEXISTING_OUTCOME
OpenBMI,EEGConformer,1,-0.004999999999999977,-4.499999999999993,EEGNet,EEGNet,True,False,False,PREEXISTING_OUTCOME
OpenBMI,EEGConformer,2,-0.03666666666666668,-2.8749999999999942,EEGNet,EEGNet,True,False,False,PREEXISTING_OUTCOME
OpenBMI,EEGConformer,3,0.0016666666666666219,0.12499999999999734,LiteBN,LiteBN,True,False,False,PREEXISTING_OUTCOME
OpenBMI,EEGConformer,4,-0.018333333333333368,-3.124999999999989,EEGNet,EEGNet,True,False,False,PREEXISTING_OUTCOME
OpenBMI,CBraMod,0,0.026666666666666616,-0.12499999999999734,LiteBN,EEGNet,False,False,False,PREEXISTING_OUTCOME
OpenBMI,CBraMod,1,0.02833333333333332,-0.24999999999999467,LiteBN,EEGNet,False,False,False,PREEXISTING_OUTCOME
OpenBMI,CBraMod,2,-0.00666666666666671,-0.12499999999999734,EEGNet,EEGNet,True,False,False,PREEXISTING_OUTCOME
OpenBMI,CBraMod,3,-0.018333333333333368,0.0,EEGNet,tie,False,False,True,PREEXISTING_OUTCOME
OpenBMI,CBraMod,4,-0.011666666666666548,-0.12499999999999734,EEGNet,EEGNet,True,False,False,PREEXISTING_OUTCOME
OpenBMI,CodeBrain,0,-0.003333333333333355,1.1102230246251565e-14,EEGNet,tie,False,False,True,PREEXISTING_OUTCOME
OpenBMI,CodeBrain,1,0.031666666666666676,0.49999999999998934,LiteBN,LiteBN,True,False,False,PREEXISTING_OUTCOME
OpenBMI,CodeBrain,2,-0.020000000000000018,-3.874999999999995,EEGNet,EEGNet,True,False,False,PREEXISTING_OUTCOME
OpenBMI,CodeBrain,3,0.018333333333333368,0.6249999999999978,LiteBN,LiteBN,True,False,False,PREEXISTING_OUTCOME
OpenBMI,CodeBrain,4,-0.018333333333333368,-3.3749999999999947,EEGNet,EEGNet,True,False,False,PREEXISTING_OUTCOME
WBCIC,EEGConformer,0,0.05115384615384613,-0.2142857142856891,LiteBN,EEGNet,False,False,False,PREEXISTING_OUTCOME
WBCIC,EEGConformer,1,-0.005179487179487158,2.6666666666666505,EEGNet,LiteBN,False,False,False,PREEXISTING_OUTCOME
WBCIC,EEGConformer,2,0.014999999999999958,-0.5000000000000226,LiteBN,EEGNet,False,False,False,PREEXISTING_OUTCOME
WBCIC,EEGConformer,3,0.020999999999999963,-1.3324915824915795,LiteBN,EEGNet,False,False,False,PREEXISTING_OUTCOME
WBCIC,EEGConformer,4,0.0020000000000000018,0.08333333333332416,LiteBN,LiteBN,True,False,False,PREEXISTING_OUTCOME
WBCIC,CBraMod,0,0.0691025641025641,2.428571428571469,LiteBN,LiteBN,True,False,False,PREEXISTING_OUTCOME
WBCIC,CBraMod,1,0.004871794871794871,0.5000000000000115,LiteBN,LiteBN,True,False,False,PREEXISTING_OUTCOME
WBCIC,CBraMod,2,0.02099999999999999,0.0,LiteBN,tie,False,False,True,PREEXISTING_OUTCOME
WBCIC,CBraMod,3,-0.007000000000000062,-0.5729166666666563,EEGNet,EEGNet,True,False,False,PREEXISTING_OUTCOME
WBCIC,CBraMod,4,-0.010000000000000009,0.08333333333332416,EEGNet,LiteBN,False,False,False,PREEXISTING_OUTCOME
WBCIC,CodeBrain,0,0.05500000000000002,0.5714285714285894,LiteBN,LiteBN,True,False,False,PREEXISTING_OUTCOME
WBCIC,CodeBrain,1,-0.013179487179487193,1.3333333333333308,EEGNet,LiteBN,False,False,False,PREEXISTING_OUTCOME
WBCIC,CodeBrain,2,0.0030000000000000027,0.24999999999997247,LiteBN,LiteBN,True,False,False,PREEXISTING_OUTCOME
WBCIC,CodeBrain,3,0.009000000000000008,-2.3368055555555656,LiteBN,EEGNet,False,False,False,PREEXISTING_OUTCOME
WBCIC,CodeBrain,4,0.0,-0.16666666666667052,tie,EEGNet,False,True,False,PREEXISTING_OUTCOME
