dataset,backbone,fold,companion,prospective_status,inner_val_subject_count,inner_val_trial_count,inner_val_base_BA,inner_val_companion_BA,inner_val_accuracy_gap,C_subject_inner_val,C_trial_inner_val,disagreement_inner_val,both_wrong_inner_val,predictor_timestamp,base_checkpoint_sha256,companion_checkpoint_sha256,predictor_hash,outer_dev_subject_count,outer_dev_base_BA,outer_dev_companion_BA,outer_dev_fusion_BA,G_best_outer_dev,delta_C_partner,delta_G_partner,partner_prediction_correct
OpenBMI,EEGConformer,0,LiteBN,PREEXISTING_OUTCOME,6,600,0.7516666666666666,0.725,0.026666666666666616,0.21666666666666665,0.21666666666666667,0.21666666666666665,0.15333333333333332,2026-09-08T19:13:24.749032+00:00,0e0aaad1bc771c0652bbba13b61c4393bc8bf6dc95ec11ada98b95cb2a0999bb,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,10d13beddcf38497f215dd198f79cfb27cbcdafb7de52287baf25ea8816f4a25,8,0.835,0.8262499999999999,0.845,1.0000000000000009,-0.02999999999999997,-0.49999999999998934,True
OpenBMI,EEGConformer,0,EEGNet,PREEXISTING_OUTCOME,6,600,0.7516666666666666,0.735,0.016666666666666607,0.24666666666666662,0.24666666666666667,0.24666666666666662,0.13333333333333333,2026-09-08T19:13:24.749032+00:00,0e0aaad1bc771c0652bbba13b61c4393bc8bf6dc95ec11ada98b95cb2a0999bb,6eae57ce237b90c1e593963f2e00a6fabb070f2a9a88fd2bfc411dcc84724297,e0e14fff900e718d2b640b5981cae889e86bb2e23224c960ecd988c3b78a8f9e,8,0.835,0.8,0.8499999999999999,1.4999999999999902,0.02999999999999997,0.49999999999998934,True
OpenBMI,CBraMod,0,LiteBN,PREEXISTING_OUTCOME,6,600,0.5316666666666667,0.725,0.19333333333333325,0.48666666666666664,0.4866666666666667,0.48666666666666664,0.12833333333333333,2026-09-08T19:13:24.749032+00:00,0167df7b1594cf33071e5eb4514a050fc1253cf36f3ce3d105c5c91d8cf1dc63,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,173a8d82159e500afb1f9f86f5d0f657c5405dc777e7ec6e981d4a3708dffaf8,8,0.51125,0.8262499999999999,0.8262499999999999,0.0,0.026666666666666616,-0.12499999999999734,False
OpenBMI,CBraMod,0,EEGNet,PREEXISTING_OUTCOME,6,600,0.5316666666666667,0.735,0.20333333333333325,0.46,0.46,0.46,0.1366666666666667,2026-09-08T19:13:24.749032+00:00,0167df7b1594cf33071e5eb4514a050fc1253cf36f3ce3d105c5c91d8cf1dc63,6eae57ce237b90c1e593963f2e00a6fabb070f2a9a88fd2bfc411dcc84724297,5aea6a3443e7dab6d844bd85e91b5fe6e61c31513f5cbfa1f3d4827dd5128895,8,0.51125,0.8,0.80125,0.12499999999999734,-0.026666666666666616,0.12499999999999734,False
OpenBMI,CodeBrain,0,LiteBN,PREEXISTING_OUTCOME,6,600,0.6133333333333334,0.725,0.11166666666666658,0.36166666666666664,0.3616666666666667,0.36166666666666664,0.15,2026-09-08T19:13:24.749032+00:00,124d938ca396cc427356b66ac0e747198bcdcfe3e7490356fb3b95e034db8c88,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,90d40703a4a369b72701679347c7537197dbff5d74deb4eab8e9bd63f9aa6c9e,8,0.69125,0.8262499999999999,0.8275,0.12500000000000844,-0.003333333333333355,1.1102230246251565e-14,False
OpenBMI,CodeBrain,0,EEGNet,PREEXISTING_OUTCOME,6,600,0.6133333333333334,0.735,0.12166666666666659,0.365,0.365,0.365,0.14333333333333334,2026-09-08T19:13:24.749032+00:00,124d938ca396cc427356b66ac0e747198bcdcfe3e7490356fb3b95e034db8c88,6eae57ce237b90c1e593963f2e00a6fabb070f2a9a88fd2bfc411dcc84724297,c792c7f8959eda713592118c5480c1690d35fc7b2325b2cff70bf79c318677cc,8,0.69125,0.8,0.80125,0.12499999999999734,0.003333333333333355,-1.1102230246251565e-14,False
OpenBMI,EEGConformer,1,LiteBN,PREEXISTING_OUTCOME,6,600,0.7766666666666667,0.7999999999999999,0.023333333333333206,0.20333333333333337,0.20333333333333334,0.20333333333333337,0.11,2026-09-08T19:13:24.749032+00:00,ee1c461ead52f2e8a1b15d1362f845e627ad0d4f78fd35bf622b83d6a9fc4896,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,53d9a196f7ceaa7f886a1cd200c391526c209eccaed4f4e99fa7bd83b8c2c1f9,8,0.76,0.8325,0.8025,-3.0000000000000027,-0.004999999999999977,-4.499999999999993,True
OpenBMI,EEGConformer,1,EEGNet,PREEXISTING_OUTCOME,6,600,0.7766666666666667,0.7516666666666668,0.02499999999999991,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.13166666666666668,2026-09-08T19:13:24.749032+00:00,ee1c461ead52f2e8a1b15d1362f845e627ad0d4f78fd35bf622b83d6a9fc4896,0fc0000c311e7caa0d34f41649c38c6b5d89029e839ca9983acedf0d23514dcb,e71941f725119cf91117d1e940c04e25be121bcb3dc370b47a9dd9914b230d67,8,0.76,0.8125,0.8274999999999999,1.4999999999999902,0.004999999999999977,4.499999999999993,True
OpenBMI,CBraMod,1,LiteBN,PREEXISTING_OUTCOME,6,600,0.5183333333333334,0.7999999999999999,0.2816666666666665,0.4749999999999999,0.475,0.4749999999999999,0.10333333333333333,2026-09-08T19:13:24.749032+00:00,6505aa3969196f638fbb50d6bc5ad213949d20226f38463e00ce14c0b3a738d0,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,96691e255e7e1ed3c2cfdb75880e0ee60a499a58b1b4127c92736b66f6e99e97,8,0.5162500000000001,0.8325,0.8325,0.0,0.02833333333333332,-0.24999999999999467,False
OpenBMI,CBraMod,1,EEGNet,PREEXISTING_OUTCOME,6,600,0.5183333333333334,0.7516666666666668,0.2333333333333334,0.4466666666666666,0.44666666666666666,0.4466666666666666,0.1416666666666667,2026-09-08T19:13:24.749032+00:00,6505aa3969196f638fbb50d6bc5ad213949d20226f38463e00ce14c0b3a738d0,0fc0000c311e7caa0d34f41649c38c6b5d89029e839ca9983acedf0d23514dcb,a2f512639ff3b3baff9a7c7e8df9167c4e10dd4dc1050abf0c18c98916db50df,8,0.5162500000000001,0.8125,0.815,0.24999999999999467,-0.02833333333333332,0.24999999999999467,False
