setting_id,fold,seed,checkpoint_path,checkpoint_sha256,source_embedding_path,source_embedding_sha256,direction_rows,matched_control_rows,artifact_complete,matched_controls_path,matched_controls_sha256
S1,0,0,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-0\seed-0\checkpoints\erm__lambda-0.00.pt,7c78a16d2fa519556333f6fe8d0a2b21fcc67697cfa033d43c0ee6d57c152e6d,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-0\seed-0\evaluation\erm__lambda-0.00\embeddings.npz,8f6aa764f61e11494a164079cbde440796d716cca4508de6e085532b2329602c,8,800,True,,
S1,0,1,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-0\seed-1\checkpoints\erm__lambda-0.00.pt,b61af3654ade47a3f49e99adeff0900c427e56f47e0598d52ce673e9c591378b,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-0\seed-1\evaluation\erm__lambda-0.00\embeddings.npz,b9e381cae97a84eee1265da8fb9f4fa541bc24a95613f7e9169dbe9f2c5311a9,8,800,True,,
S1,0,2,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-0\seed-2\checkpoints\erm__lambda-0.00.pt,fb47ba3d525a3e20a6056f368562519f7a87ec0a033e80c4f401829b0a17763c,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-0\seed-2\evaluation\erm__lambda-0.00\embeddings.npz,60cf50485ea15c6d9da27cdc756a605d67f7912444e199ea4da6fde7ced91cbc,8,800,True,,
S1,1,0,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-1\seed-0\checkpoints\erm__lambda-0.00.pt,bc7c9be7c9f25b2dbc8ffb4c8ede651b84ca40a8ae666ea6b04d4afe97807d7d,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-1\seed-0\evaluation\erm__lambda-0.00\embeddings.npz,544c3ca432a4617cc1708eda7e667cc99e516f3b785ddd9cd300bb02bf838423,8,800,True,,
S1,1,1,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-1\seed-1\checkpoints\erm__lambda-0.00.pt,70a6f0e919fb4458406a0c42b9b14e434e126dc8af4477d66dfb090857a643de,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-1\seed-1\evaluation\erm__lambda-0.00\embeddings.npz,2dd40549a8ffba5b00415ba21698ea7babb7e9f46bfaf768a28ea67d54799cc9,8,800,True,,
S1,1,2,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-1\seed-2\checkpoints\erm__lambda-0.00.pt,adbacbc76ce7085f4da644b358074ed663742d2383a2a8e6f469ce4fdcd556ee,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-1\seed-2\evaluation\erm__lambda-0.00\embeddings.npz,8fd930a3966f4fcee7a2b4aee3fb67deffb8c9a934e580a8b36cddf7b44cbe96,8,800,True,,
S1,2,0,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-2\seed-0\checkpoints\erm__lambda-0.00.pt,4d807d82c24c00eeb546102fed8d4c0cfdb857f128ed6fb509328685c640317c,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-2\seed-0\evaluation\erm__lambda-0.00\embeddings.npz,6292b9d7b4fe5c9bdc0e8372fda1d69af71ed9e716461c4fbe0eba1c9e1ce606,8,800,True,,
S1,2,1,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-2\seed-1\checkpoints\erm__lambda-0.00.pt,d226b3a3b1344cc6ad8f480ffde5daae147a74528eadbc747dc0ba73f4787391,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-2\seed-1\evaluation\erm__lambda-0.00\embeddings.npz,5a18dc3ace1e11790db5439607ea02f383ccd1c88e61bc535ebd94654c2c3870,8,800,True,,
S1,2,2,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-2\seed-2\checkpoints\erm__lambda-0.00.pt,f13383f48e3b034fa0d7f5bdc89df49a5629157407d7fe28919c4945556dad39,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-2\seed-2\evaluation\erm__lambda-0.00\embeddings.npz,d308ec9d621c5ebb5d500b0620a0841fe6c17faa3d26cee3038eb1d85529d3c8,8,800,True,,
S1,3,0,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-3\seed-0\checkpoints\erm__lambda-0.00.pt,c85f65816255814d93c9d35a11cba6073371f8b0ca2219fde660b2161d27a22e,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_subject_invariance_stress_test_v1\runtime\runs\eegnet\fold-3\seed-0\evaluation\erm__lambda-0.00\embeddings.npz,94f3212ff373db4edb83819069e03bed8d4a5433014f726cd66dc4bfea417902,8,800,True,,
