dataset,method,EEGNet_BA,LiteBN_BA,Frozen_LOGIT50_BA,BNLOCK_BA,gain_vs_EEGNet_pp,median_subject_delta_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,gain_vs_LOGIT50_pp,positive_folds,worst_fold_delta_pp,harm_le_minus_1pp,delta_vs_previous_stage2_same_loss_pp,old_method,old_BA
OpenBMI,BNLOCK-JOINTCE,0.7577499999999999,0.7915,0.8,0.8005000000000001,4.275000000000001,3.9999999999999982,2.7500000000000004,5.900000000000001,0.0500000000000006,5,2.1250000000000004,0.125,0.09999999999999565,JOINT-CE,0.7995
OpenBMI,BNLOCK-NRRF,0.7577499999999999,0.7915,0.8,0.8004999999999999,4.275000000000001,3.9999999999999925,2.7000000000000015,5.950000000000002,0.05000000000000033,5,2.0000000000000004,0.125,0.3250000000000086,NRRF-v1,0.79725
WBCIC,BNLOCK-JOINTCE,0.78268022971652,0.7870401596611275,0.7939839931573802,0.7951095633756924,1.2429333659172375,1.4999999999999902,-0.27419354838709525,2.661290322580646,0.11255702183121591,4,-1.0833333333333381,0.25806451612903225,4.685001803751798,JOINT-CE,0.7462685320951449
WBCIC,BNLOCK-NRRF,0.78268022971652,0.7870401596611275,0.7939839931573802,0.794143450635386,1.1463220918866073,1.0000000000000009,-0.3363880742913014,2.5495478983382203,0.01594574780058562,4,-1.416666666666668,0.2903225806451613,5.4582160894660925,NRRF-v1,0.7381653225806454
