dataset,fold,seed,subject_id,method,variant,trials,EEGNet_BA,LiteBN_BA,FROZEN_LOGIT50_BA,BA,macro_F1,accuracy,delta_vs_EEGNet_pp,delta_vs_LiteBN_pp,delta_vs_FROZEN_LOGIT50_pp
OpenBMI,0,0,15,BNLOCK-JOINTCE,ema,100,0.8300000000000001,0.87,0.8999999999999999,0.9,0.8999599839935974,0.9,6.999999999999995,3.0000000000000027,1.1102230246251565e-14
OpenBMI,0,0,15,BNLOCK-NRRF,ema,100,0.8300000000000001,0.87,0.8999999999999999,0.9,0.8999599839935974,0.9,6.999999999999995,3.0000000000000027,1.1102230246251565e-14
OpenBMI,0,0,38,BNLOCK-JOINTCE,ema,100,0.76,0.77,0.75,0.72,0.7083333333333334,0.72,-4.0000000000000036,-5.000000000000004,-3.0000000000000027
OpenBMI,0,0,38,BNLOCK-NRRF,ema,100,0.76,0.77,0.75,0.74,0.7291666666666667,0.74,-2.0000000000000018,-3.0000000000000027,-1.0000000000000009
OpenBMI,0,0,6,BNLOCK-JOINTCE,ema,100,0.93,0.91,0.95,0.95,0.94999499949995,0.95,1.9999999999999907,3.9999999999999925,0.0
OpenBMI,0,0,6,BNLOCK-NRRF,ema,100,0.93,0.91,0.95,0.95,0.94999499949995,0.95,1.9999999999999907,3.9999999999999925,0.0
OpenBMI,0,0,33,BNLOCK-JOINTCE,ema,100,0.76,0.88,0.85,0.86,0.859775641025641,0.86,9.999999999999998,-2.0000000000000018,1.0000000000000009
OpenBMI,0,0,33,BNLOCK-NRRF,ema,100,0.76,0.88,0.85,0.85,0.8498648783905515,0.85,8.999999999999996,-3.0000000000000027,0.0
OpenBMI,0,0,32,BNLOCK-JOINTCE,ema,100,0.65,0.7,0.63,0.65,0.64996499649965,0.65,0.0,-4.999999999999993,2.0000000000000018
OpenBMI,0,0,32,BNLOCK-NRRF,ema,100,0.65,0.7,0.63,0.64,0.64,0.64,-1.0000000000000009,-5.999999999999995,1.0000000000000009
OpenBMI,0,0,3,BNLOCK-JOINTCE,ema,100,0.84,0.87,0.86,0.8600000000000001,0.8594941790445605,0.86,2.000000000000013,-0.9999999999999898,1.1102230246251565e-14
OpenBMI,0,0,3,BNLOCK-NRRF,ema,100,0.84,0.87,0.86,0.8600000000000001,0.8594941790445605,0.86,2.000000000000013,-0.9999999999999898,1.1102230246251565e-14
OpenBMI,0,0,5,BNLOCK-JOINTCE,ema,100,0.73,0.75,0.75,0.74,0.7383252818035426,0.74,1.0000000000000009,-1.0000000000000009,-1.0000000000000009
OpenBMI,0,0,5,BNLOCK-NRRF,ema,100,0.73,0.75,0.75,0.73,0.7277951406391774,0.73,0.0,-2.0000000000000018,-2.0000000000000018
OpenBMI,0,0,47,BNLOCK-JOINTCE,ema,100,0.8999999999999999,0.86,0.92,0.89,0.8886526976414617,0.89,-0.9999999999999898,3.0000000000000027,-3.0000000000000027
OpenBMI,0,0,47,BNLOCK-NRRF,ema,100,0.8999999999999999,0.86,0.92,0.89,0.8886526976414617,0.89,-0.9999999999999898,3.0000000000000027,-3.0000000000000027
OpenBMI,1,0,26,BNLOCK-JOINTCE,ema,100,0.86,0.85,0.87,0.8600000000000001,0.8594941790445605,0.86,1.1102230246251565e-14,1.000000000000012,-0.9999999999999898
OpenBMI,1,0,26,BNLOCK-NRRF,ema,100,0.86,0.85,0.87,0.86,0.859775641025641,0.86,0.0,1.0000000000000009,-1.0000000000000009
OpenBMI,1,0,2,BNLOCK-JOINTCE,ema,100,0.81,0.78,0.79,0.8,0.7999199679871949,0.8,-1.0000000000000009,2.0000000000000018,1.0000000000000009
OpenBMI,1,0,2,BNLOCK-NRRF,ema,100,0.81,0.78,0.79,0.8,0.7996794871794872,0.8,-1.0000000000000009,2.0000000000000018,1.0000000000000009
OpenBMI,1,0,14,BNLOCK-JOINTCE,ema,100,0.72,0.75,0.73,0.72,0.719551282051282,0.72,0.0,-3.0000000000000027,-1.0000000000000009
OpenBMI,1,0,14,BNLOCK-NRRF,ema,100,0.72,0.75,0.73,0.73,0.7297567811029927,0.73,1.0000000000000009,-2.0000000000000018,0.0
OpenBMI,1,0,31,BNLOCK-JOINTCE,ema,100,0.8,0.79,0.8,0.81,0.8056265984654731,0.81,1.0000000000000009,2.0000000000000018,1.0000000000000009
OpenBMI,1,0,31,BNLOCK-NRRF,ema,100,0.8,0.79,0.8,0.8,0.7947454844006567,0.8,0.0,1.0000000000000009,0.0
OpenBMI,1,0,28,BNLOCK-JOINTCE,ema,100,0.78,0.93,0.92,0.92,0.9197109594540344,0.92,14.000000000000002,-1.0000000000000009,0.0
OpenBMI,1,0,28,BNLOCK-NRRF,ema,100,0.78,0.93,0.92,0.92,0.9197109594540344,0.92,14.000000000000002,-1.0000000000000009,0.0
OpenBMI,1,0,35,BNLOCK-JOINTCE,ema,100,0.86,0.8,0.8300000000000001,0.81,0.8028841166096068,0.81,-4.999999999999993,1.0000000000000009,-2.0000000000000018
OpenBMI,1,0,35,BNLOCK-NRRF,ema,100,0.86,0.8,0.8300000000000001,0.81,0.8028841166096068,0.81,-4.999999999999993,1.0000000000000009,-2.0000000000000018
OpenBMI,1,0,40,BNLOCK-JOINTCE,ema,100,0.8200000000000001,0.81,0.86,0.89,0.8899009108197378,0.89,6.999999999999995,7.9999999999999964,3.0000000000000027
OpenBMI,1,0,40,BNLOCK-NRRF,ema,100,0.8200000000000001,0.81,0.86,0.88,0.8798076923076923,0.88,5.999999999999995,6.999999999999995,2.0000000000000018
OpenBMI,1,0,43,BNLOCK-JOINTCE,ema,100,0.85,0.95,0.94,0.93,0.929936943248924,0.93,8.000000000000007,-1.9999999999999907,-0.9999999999999898
OpenBMI,1,0,43,BNLOCK-NRRF,ema,100,0.85,0.95,0.94,0.93,0.929936943248924,0.93,8.000000000000007,-1.9999999999999907,-0.9999999999999898
OpenBMI,2,0,50,BNLOCK-JOINTCE,ema,100,0.6699999999999999,0.63,0.6599999999999999,0.6799999999999999,0.6767676767676768,0.68,1.0000000000000009,4.999999999999993,2.0000000000000018
OpenBMI,2,0,50,BNLOCK-NRRF,ema,100,0.6699999999999999,0.63,0.6599999999999999,0.6699999999999999,0.6673051718923279,0.67,0.0,3.9999999999999925,1.0000000000000009
OpenBMI,2,0,52,BNLOCK-JOINTCE,ema,100,0.78,0.81,0.8400000000000001,0.85,0.84998499849985,0.85,6.999999999999995,3.9999999999999925,0.9999999999999898
OpenBMI,2,0,52,BNLOCK-NRRF,ema,100,0.78,0.81,0.8400000000000001,0.85,0.84998499849985,0.85,6.999999999999995,3.9999999999999925,0.9999999999999898
OpenBMI,2,0,23,BNLOCK-JOINTCE,ema,100,0.7,0.74,0.77,0.79,0.7851662404092072,0.79,9.000000000000007,5.000000000000004,2.0000000000000018
OpenBMI,2,0,23,BNLOCK-NRRF,ema,100,0.7,0.74,0.77,0.79,0.7851662404092072,0.79,9.000000000000007,5.000000000000004,2.0000000000000018
OpenBMI,2,0,1,BNLOCK-JOINTCE,ema,100,0.63,0.65,0.65,0.67,0.648,0.67,4.0000000000000036,2.0000000000000018,2.0000000000000018
OpenBMI,2,0,1,BNLOCK-NRRF,ema,100,0.63,0.65,0.65,0.67,0.648,0.67,4.0000000000000036,2.0000000000000018,2.0000000000000018
OpenBMI,2,0,30,BNLOCK-JOINTCE,ema,100,0.69,0.75,0.78,0.73,0.7286704853783539,0.73,4.0000000000000036,-2.0000000000000018,-5.000000000000004
OpenBMI,2,0,30,BNLOCK-NRRF,ema,100,0.69,0.75,0.78,0.73,0.7286704853783539,0.73,4.0000000000000036,-2.0000000000000018,-5.000000000000004
OpenBMI,2,0,48,BNLOCK-JOINTCE,ema,100,0.6699999999999999,0.66,0.7,0.72,0.72,0.72,5.000000000000004,5.999999999999995,2.0000000000000018
OpenBMI,2,0,48,BNLOCK-NRRF,ema,100,0.6699999999999999,0.66,0.7,0.73,0.72997299729973,0.73,6.000000000000005,6.999999999999995,3.0000000000000027
OpenBMI,2,0,11,BNLOCK-JOINTCE,ema,100,0.71,0.73,0.74,0.69,0.6828644501278772,0.69,-2.0000000000000018,-4.0000000000000036,-5.000000000000004
OpenBMI,2,0,11,BNLOCK-NRRF,ema,100,0.71,0.73,0.74,0.7,0.6921182266009853,0.7,-1.0000000000000009,-3.0000000000000027,-4.0000000000000036
OpenBMI,2,0,8,BNLOCK-JOINTCE,ema,100,0.65,0.8500000000000001,0.8400000000000001,0.8200000000000001,0.8164014687882497,0.82,17.000000000000004,-3.0000000000000027,-2.0000000000000018
OpenBMI,2,0,8,BNLOCK-NRRF,ema,100,0.65,0.8500000000000001,0.8400000000000001,0.84,0.8376623376623377,0.84,18.999999999999993,-1.000000000000012,-1.1102230246251565e-14
OpenBMI,3,0,45,BNLOCK-JOINTCE,ema,100,0.76,0.74,0.79,0.79,0.78997899789979,0.79,3.0000000000000027,5.000000000000004,0.0
OpenBMI,3,0,45,BNLOCK-NRRF,ema,100,0.76,0.74,0.79,0.76,0.7591328783621036,0.76,0.0,2.0000000000000018,-3.0000000000000027
OpenBMI,3,0,34,BNLOCK-JOINTCE,ema,100,0.6599999999999999,0.61,0.73,0.69,0.6828644501278772,0.69,3.0000000000000027,7.9999999999999964,-4.0000000000000036
OpenBMI,3,0,34,BNLOCK-NRRF,ema,100,0.6599999999999999,0.61,0.73,0.6799999999999999,0.6715927750410509,0.68,2.0000000000000018,6.999999999999995,-5.000000000000004
OpenBMI,3,0,27,BNLOCK-JOINTCE,ema,100,0.92,0.95,0.95,0.94,0.9399759903961584,0.94,1.9999999999999907,-1.0000000000000009,-1.0000000000000009
OpenBMI,3,0,27,BNLOCK-NRRF,ema,100,0.92,0.95,0.95,0.94,0.9399759903961584,0.94,1.9999999999999907,-1.0000000000000009,-1.0000000000000009
OpenBMI,3,0,49,BNLOCK-JOINTCE,ema,100,0.84,0.84,0.8400000000000001,0.8799999999999999,0.8795664391810518,0.88,3.9999999999999925,3.9999999999999925,3.9999999999999813
OpenBMI,3,0,49,BNLOCK-NRRF,ema,100,0.84,0.84,0.8400000000000001,0.87,0.8693598633303186,0.87,3.0000000000000027,3.0000000000000027,2.9999999999999916
OpenBMI,3,0,10,BNLOCK-JOINTCE,ema,100,0.71,0.81,0.81,0.8400000000000001,0.8389694041867954,0.84,13.00000000000001,3.0000000000000027,3.0000000000000027
OpenBMI,3,0,10,BNLOCK-NRRF,ema,100,0.71,0.81,0.81,0.86,0.8590982286634461,0.86,15.000000000000002,4.999999999999993,4.999999999999993
OpenBMI,3,0,22,BNLOCK-JOINTCE,ema,100,0.66,0.7,0.6799999999999999,0.71,0.7076318177235609,0.71,4.999999999999993,1.0000000000000009,3.0000000000000027
OpenBMI,3,0,22,BNLOCK-NRRF,ema,100,0.66,0.7,0.6799999999999999,0.7,0.6980676328502415,0.7,3.9999999999999925,0.0,2.0000000000000018
OpenBMI,3,0,19,BNLOCK-JOINTCE,ema,100,0.73,0.78,0.76,0.78,0.78,0.78,5.000000000000004,0.0,2.0000000000000018
OpenBMI,3,0,19,BNLOCK-NRRF,ema,100,0.73,0.78,0.76,0.78,0.78,0.78,5.000000000000004,0.0,2.0000000000000018
