dataset,fold,seed,method,mean_subject_BA,mean_subject_macro_F1,mean_subject_accuracy,delta_vs_EEGNet_pp,delta_vs_LiteBN_pp,delta_vs_FROZEN_LOGIT50_pp,median_subject_delta_pp,harm_le_minus_1pp,harm_le_minus_3pp,harm_le_minus_5pp,gain_ge_plus_1pp,tie_abs_lt_0_5pp,worst_subject_delta_pp,n_subjects,old_method,old_stage2_BA,delta_vs_previous_stage2_same_loss_pp
OpenBMI,0,0,BNLOCK-JOINTCE,0.82125,0.819312639105217,0.82125,2.1250000000000004,-0.49999999999999906,-0.49999999999999767,1.4999999999999958,0.125,0.125,0.0,0.625,0.125,-4.0000000000000036,8,JOINT-CE,0.8187500000000001,0.24999999999999467
OpenBMI,0,0,BNLOCK-NRRF,0.8200000000000001,0.8181160682344957,0.8200000000000001,2.0000000000000004,-0.6249999999999991,-0.6249999999999978,0.9999999999999953,0.25,0.0,0.0,0.5,0.125,-2.0000000000000018,8,NRRF-v1,0.8175,0.2500000000000058
OpenBMI,1,0,BNLOCK-JOINTCE,0.8425,0.8408781197101016,0.8425,3.0000000000000027,1.0000000000000022,2.7755575615628914e-15,0.500000000000006,0.25,0.125,0.0,0.5,0.25,-4.999999999999993,8,JOINT-CE,0.8425,0.0
OpenBMI,1,0,BNLOCK-NRRF,0.84125,0.8395371381661294,0.84125,2.8750000000000013,0.8750000000000008,-0.12499999999999872,0.5000000000000004,0.25,0.125,0.0,0.5,0.25,-4.999999999999993,8,NRRF-v1,0.8362499999999999,0.5000000000000115
OpenBMI,2,0,BNLOCK-JOINTCE,0.7437499999999999,0.7384819149964019,0.74375,5.625000000000002,1.6249999999999973,-0.3750000000000017,4.5000000000000036,0.125,0.0,0.0,0.875,0.0,-2.0000000000000018,8,JOINT-CE,0.74625,-0.2500000000000058
OpenBMI,2,0,BNLOCK-NRRF,0.7475,0.7423600572178489,0.7475,6.000000000000001,1.9999999999999962,-2.7755575615628914e-15,5.000000000000004,0.125,0.0,0.0,0.75,0.125,-1.0000000000000009,8,NRRF-v1,0.74625,0.12500000000000844
OpenBMI,3,0,BNLOCK-JOINTCE,0.81375,0.8123673850384437,0.81375,5.374999999999999,2.6249999999999996,1.1249999999999982,4.499999999999993,0.0,0.0,0.0,1.0,0.0,1.9999999999999907,8,JOINT-CE,0.81125,0.24999999999999467
OpenBMI,3,0,BNLOCK-NRRF,0.8087500000000001,0.8071474186794545,0.8087500000000001,4.874999999999999,2.124999999999999,0.6249999999999978,3.4999999999999973,0.0,0.0,0.0,0.875,0.125,0.0,8,NRRF-v1,0.80875,1.1102230246251565e-14
OpenBMI,4,0,BNLOCK-JOINTCE,0.78125,0.7768939228848647,0.78125,5.250000000000002,-0.24999999999999883,1.3877787807814457e-15,4.0000000000000036,0.125,0.0,0.0,0.75,0.0,-1.0000000000000009,8,JOINT-CE,0.77875,0.24999999999999467
OpenBMI,4,0,BNLOCK-NRRF,0.7850000000000001,0.7807540141096987,0.785,5.6250000000000036,0.1250000000000029,0.3750000000000031,4.0000000000000036,0.0,0.0,0.0,0.75,0.125,-0.9999999999999898,8,NRRF-v1,0.7775000000000001,0.7500000000000062
WBCIC,0,0,BNLOCK-JOINTCE,0.785,0.7846374427401445,0.785,1.3571428571428568,0.5714285714285704,-1.3571428571428583,1.5000000000000013,0.2857142857142857,0.2857142857142857,0.0,0.5714285714285714,0.0,-4.500000000000015,7,JOINT-CE,0.6764285714285715,10.857142857142854
WBCIC,0,0,BNLOCK-NRRF,0.7821428571428571,0.7817108539361531,0.7821428571428571,1.0714285714285692,0.2857142857142828,-1.642857142857146,1.0000000000000009,0.2857142857142857,0.14285714285714285,0.0,0.7142857142857143,0.0,-4.0000000000000036,7,NRRF-v1,0.6842857142857143,9.785714285714286
WBCIC,1,0,BNLOCK-JOINTCE,0.8016666666666666,0.7857003528425744,0.8016666666666666,-1.0833333333333381,2.833333333333328,0.8333333333333323,0.9999999999999898,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666,-11.5,6,JOINT-CE,0.7983333333333332,0.33333333333334103
