 dataset  seed  alpha  intervention_rate  mean_set_size_gain  mean_degradation  harmful_intervention_rate
eegmmidb     0    0.1           0.000000            0.000000          0.000000                   0.000000
eegmmidb     0    0.2           0.000000            0.000000          0.000000                   0.000000
eegmmidb     1    0.1           0.000000            0.000000          0.000000                   0.000000
eegmmidb     1    0.2           0.000000            0.000000          0.000000                   0.000000
eegmmidb     2    0.1           0.000000            0.000000          0.000000                   0.000000
eegmmidb     2    0.2           0.000000            0.000000          0.000000                   0.000000
eegmmidb     3    0.1           0.000000            0.000000          0.000000                   0.000000
eegmmidb     3    0.2           0.000000            0.000000          0.000000                   0.000000
eegmmidb     4    0.1           0.000000            0.000000          0.000000                   0.000000
eegmmidb     4    0.2           0.000000            0.000000          0.000000                   0.000000
     hmc     0    0.1           0.228571           -0.005238         -0.000357                   0.000000
     hmc     0    0.2           0.285714           -0.002143         -0.000238                   0.000000
     hmc     1    0.1           0.085714           -0.003214          0.000119                   0.000000
     hmc     1    0.2           0.114286           -0.002381          0.000357                   0.000000
     hmc     2    0.1           0.342857            0.004643          0.000357                   0.028571
     hmc     2    0.2           0.342857            0.005238          0.000357                   0.028571
     hmc     3    0.1           0.114286           -0.002500          0.000238                   0.000000
     hmc     3    0.2           0.114286           -0.002143          0.000238                   0.000000
     hmc     4    0.1           0.000000            0.000000          0.000000                   0.000000
     hmc     4    0.2           0.000000            0.000000          0.000000                   0.000000
