dataset,fold,K,same_auroc,different_auroc,same_minus_different_auroc,same_spearman,different_spearman,same_minus_different_spearman,harm_prevalence,subject_count,observation_count
OpenBMI,0,1,0.7347368421052631,0.4126315789473684,0.32210526315789473,0.43453136011275545,-0.25158562367864695,0.6861169837914024,0.4318181818181818,35,44
OpenBMI,0,2,0.7789473684210526,0.45473684210526316,0.32421052631578945,0.513601127554616,-0.19140239605355885,0.7050035236081749,0.4318181818181818,35,44
OpenBMI,0,4,0.7305263157894737,0.35368421052631577,0.3768421052631579,0.42790697674418604,-0.4094432699083862,0.8373502466525722,0.4318181818181818,35,44
OpenBMI,1,1,0.6410256410256411,0.4722222222222222,0.16880341880341887,0.31374207188160674,-0.173784355179704,0.4875264270613108,0.5909090909090909,35,44
OpenBMI,1,2,0.7735042735042735,0.5128205128205128,0.26068376068376076,0.5515151515151515,-0.06948555320648343,0.6210007047216349,0.5909090909090909,35,44
OpenBMI,1,4,0.7799145299145299,0.4829059829059829,0.297008547008547,0.5763213530655391,-0.09880197322057788,0.6751233262861169,0.5909090909090909,35,44
OpenBMI,2,1,0.5520833333333334,0.32708333333333334,0.22500000000000003,0.12078928823114869,-0.240169133192389,0.3609584214235377,0.45454545454545453,35,44
OpenBMI,2,2,0.6083333333333333,0.425,0.1833333333333333,0.2796335447498238,-0.004792107117688513,0.28442565186751234,0.45454545454545453,35,44
OpenBMI,2,4,0.6083333333333333,0.3375,0.27083333333333326,0.2690627202255109,-0.19408033826638477,0.4631430584918957,0.45454545454545453,35,44
OpenBMI,3,1,0.4336842105263158,0.5452631578947369,-0.11157894736842111,-0.03749119097956307,-0.003946441155743482,-0.03354474982381959,0.4318181818181818,35,44
OpenBMI,3,2,0.48210526315789476,0.4189473684210526,0.06315789473684214,-0.027343199436222692,-0.24073291050035237,0.21338971106412968,0.4318181818181818,35,44
OpenBMI,3,4,0.5684210526315789,0.5515789473684211,0.01684210526315788,0.1671599718111346,0.041014799154334036,0.12614517265680056,0.4318181818181818,35,44
OpenBMI,4,1,0.8344226579520697,0.5250544662309368,0.30936819172113295,0.7302325581395349,0.06201550387596899,0.6682170542635659,0.38636363636363635,44,44
OpenBMI,4,2,0.8888888888888888,0.45098039215686275,0.4379084967320261,0.7696969696969697,-0.06807610993657505,0.8377730796335447,0.38636363636363635,44,44
OpenBMI,4,4,0.8562091503267973,0.4596949891067538,0.3965141612200435,0.773784355179704,0.023255813953488372,0.7505285412262156,0.38636363636363635,44,44
WBCIC,0,1,0.6111111111111112,0.5299145299145299,0.08119658119658124,0.32846053196462743,0.054440972148833276,0.2740195598157942,0.41935483870967744,13,31
WBCIC,0,2,0.6153846153846154,0.43162393162393164,0.18376068376068377,0.28853715238881633,-0.11815707288598629,0.4066942252748026,0.41935483870967744,13,31
WBCIC,0,4,0.717948717948718,0.36324786324786323,0.3547008547008547,0.3762476075174922,-0.21937695443678001,0.5956245619542722,0.41935483870967744,13,31
WBCIC,1,1,0.6410256410256411,0.6593406593406593,-0.01831501831501825,0.39587471352177234,0.30084033613445377,0.09503437738731857,0.38235294117647056,27,34
WBCIC,1,2,0.5970695970695971,0.6446886446886447,-0.04761904761904767,0.35584415584415585,0.29961802902979373,0.05622612681436212,0.38235294117647056,27,34
WBCIC,1,4,0.6959706959706959,0.5824175824175825,0.11355311355311348,0.48846447669977083,0.22994652406417113,0.25851795263559973,0.38235294117647056,27,34
WBCIC,2,1,0.5243055555555556,0.5069444444444444,0.01736111111111116,-0.06554621848739496,0.013903743315508022,-0.07944996180290298,0.5294117647058824,27,34
WBCIC,2,2,0.6527777777777778,0.5798611111111112,0.07291666666666663,0.21252864782276548,0.2287242169595111,-0.016195569136745608,0.5294117647058824,27,34
WBCIC,2,4,0.6597222222222222,0.5104166666666666,0.14930555555555558,0.15630252100840336,0.015126050420168067,0.1411764705882353,0.5294117647058824,27,34
WBCIC,3,1,0.6284722222222222,0.5277777777777778,0.10069444444444442,0.23636363636363636,0.09365928189457601,0.14270435446906035,0.47058823529411764,27,34
WBCIC,3,2,0.6840277777777778,0.5451388888888888,0.13888888888888895,0.2568372803666921,0.10282658517952635,0.15401069518716576,0.47058823529411764,27,34
WBCIC,3,4,0.7222222222222222,0.5763888888888888,0.14583333333333337,0.41451489686783805,0.22475171886936593,0.18976317799847212,0.47058823529411764,27,34
WBCIC,4,1,0.5789473684210527,0.5614035087719298,0.01754385964912286,0.2779220779220779,0.119938884644767,0.15798319327731092,0.5588235294117647,27,34
WBCIC,4,2,0.5894736842105263,0.5859649122807018,0.0035087719298244613,0.26814362108479756,0.11046600458365165,0.15767761650114592,0.5588235294117647,27,34
WBCIC,4,4,0.5157894736842106,0.5614035087719298,-0.04561403508771922,0.23575248281130634,0.0013750954927425516,0.23437738731856378,0.5588235294117647,27,34
