dataset,fold,K,random_auroc,same_auroc,random_spearman,same_spearman,norm_match_max_abs_error
OpenBMI,0,1,0.6421052631578947,0.7347368421052631,0.06004228329809725,0.43453136011275545,3.337860107421875e-06
OpenBMI,0,2,0.5073684210526316,0.7789473684210526,0.030021141649048625,0.513601127554616,2.384185791015625e-06
OpenBMI,0,4,0.6126315789473684,0.7305263157894737,0.13192389006342495,0.42790697674418604,9.5367431640625e-07
OpenBMI,1,1,0.405982905982906,0.6410256410256411,-0.030866807610993658,0.31374207188160674,2.86102294921875e-06
OpenBMI,1,2,0.5576923076923077,0.7735042735042735,0.13474277660324172,0.5515151515151515,1.9073486328125e-06
OpenBMI,1,4,0.41025641025641024,0.7799145299145299,-0.22804792107117688,0.5763213530655391,2.86102294921875e-06
OpenBMI,2,1,0.3875,0.5520833333333334,-0.1460183227625088,0.12078928823114869,2.86102294921875e-06
OpenBMI,2,2,0.5375,0.6083333333333333,0.048484848484848485,0.2796335447498238,2.384185791015625e-06
OpenBMI,2,4,0.5416666666666666,0.6083333333333333,0.09344608879492601,0.2690627202255109,1.9073486328125e-06
OpenBMI,3,1,0.3957894736842105,0.4336842105263158,-0.2878083157152925,-0.03749119097956307,2.86102294921875e-06
OpenBMI,3,2,0.4589473684210526,0.48210526315789476,-0.07357293868921776,-0.027343199436222692,1.430511474609375e-06
OpenBMI,3,4,0.5031578947368421,0.5684210526315789,-0.12022551092318534,0.1671599718111346,1.1920928955078125e-06
OpenBMI,4,1,0.4749455337690632,0.8344226579520697,0.013953488372093023,0.7302325581395349,1.9073486328125e-06
OpenBMI,4,2,0.681917211328976,0.8888888888888888,0.2940098661028894,0.7696969696969697,1.9073486328125e-06
OpenBMI,4,4,0.24618736383442266,0.8562091503267973,-0.1463002114164905,0.773784355179704,1.430511474609375e-06
WBCIC,0,1,0.6709401709401709,0.6111111111111112,0.2328863808588979,0.32846053196462743,9.5367431640625e-07
WBCIC,0,2,0.5598290598290598,0.6153846153846154,0.17703397609879856,0.28853715238881633,9.5367431640625e-07
WBCIC,0,4,0.44871794871794873,0.717948717948718,-0.06250630135606783,0.3762476075174922,9.5367431640625e-07
WBCIC,1,1,0.5494505494505495,0.6410256410256411,-0.08632543926661573,0.39587471352177234,1.1920928955078125e-06
WBCIC,1,2,0.5714285714285714,0.5970695970695971,0.10160427807486631,0.35584415584415585,1.6689300537109375e-06
WBCIC,1,4,0.4358974358974359,0.6959706959706959,-0.280672268907563,0.48846447669977083,7.152557373046875e-07
WBCIC,2,1,0.5,0.5243055555555556,0.039877769289533994,-0.06554621848739496,9.5367431640625e-07
WBCIC,2,2,0.4236111111111111,0.6527777777777778,0.002291825821237586,0.21252864782276548,7.152557373046875e-07
WBCIC,2,4,0.375,0.6597222222222222,-0.36134453781512604,0.15630252100840336,7.152557373046875e-07
WBCIC,3,1,0.3402777777777778,0.6284722222222222,-0.3500381970970206,0.23636363636363636,9.5367431640625e-07
WBCIC,3,2,0.6006944444444444,0.6840277777777778,0.21558441558441557,0.2568372803666921,1.1920928955078125e-06
WBCIC,3,4,0.4444444444444444,0.7222222222222222,0.11902215431627196,0.41451489686783805,5.960464477539062e-07
WBCIC,4,1,0.4105263157894737,0.5789473684210527,-0.12910618792971734,0.2779220779220779,9.5367431640625e-07
WBCIC,4,2,0.6280701754385964,0.5894736842105263,0.22230710466004583,0.26814362108479756,9.5367431640625e-07
WBCIC,4,4,0.5333333333333333,0.5157894736842106,0.034988540870893814,0.23575248281130634,7.152557373046875e-07
