dataset,fold,K,same_auroc,different_auroc,permuted_auroc,random_auroc,same_minus_different_auroc,same_minus_permuted_auroc,same_minus_random_auroc
OpenBMI,0,1,0.7347368421052631,0.4126315789473684,0.6736842105263158,0.6421052631578947,0.32210526315789473,0.06105263157894736,0.0926315789473684
OpenBMI,0,2,0.7789473684210526,0.45473684210526316,0.4863157894736842,0.5073684210526316,0.32421052631578945,0.2926315789473684,0.27157894736842103
OpenBMI,0,4,0.7305263157894737,0.35368421052631577,0.5494736842105263,0.6126315789473684,0.3768421052631579,0.18105263157894735,0.11789473684210527
OpenBMI,1,1,0.6410256410256411,0.4722222222222222,0.4423076923076923,0.405982905982906,0.16880341880341887,0.1987179487179488,0.2350427350427351
OpenBMI,1,2,0.7735042735042735,0.5128205128205128,0.4700854700854701,0.5576923076923077,0.26068376068376076,0.30341880341880345,0.21581196581196582
OpenBMI,1,4,0.7799145299145299,0.4829059829059829,0.4551282051282051,0.41025641025641024,0.297008547008547,0.3247863247863248,0.3696581196581197
OpenBMI,2,1,0.5520833333333334,0.32708333333333334,0.4583333333333333,0.3875,0.22500000000000003,0.09375000000000006,0.16458333333333336
OpenBMI,2,2,0.6083333333333333,0.425,0.5020833333333333,0.5375,0.1833333333333333,0.10624999999999996,0.0708333333333333
OpenBMI,2,4,0.6083333333333333,0.3375,0.4708333333333333,0.5416666666666666,0.27083333333333326,0.13749999999999996,0.06666666666666665
OpenBMI,3,1,0.4336842105263158,0.5452631578947369,0.6357894736842106,0.3957894736842105,-0.11157894736842111,-0.2021052631578948,0.03789473684210526
OpenBMI,3,2,0.48210526315789476,0.4189473684210526,0.5347368421052632,0.4589473684210526,0.06315789473684214,-0.05263157894736842,0.023157894736842155
OpenBMI,3,4,0.5684210526315789,0.5515789473684211,0.5915789473684211,0.5031578947368421,0.01684210526315788,-0.023157894736842155,0.0652631578947368
OpenBMI,4,1,0.8344226579520697,0.5250544662309368,0.3899782135076253,0.4749455337690632,0.30936819172113295,0.4444444444444444,0.35947712418300654
OpenBMI,4,2,0.8888888888888888,0.45098039215686275,0.4466230936819172,0.681917211328976,0.4379084967320261,0.4422657952069716,0.20697167755991286
OpenBMI,4,4,0.8562091503267973,0.4596949891067538,0.4684095860566449,0.24618736383442266,0.3965141612200435,0.38779956427015244,0.6100217864923747
WBCIC,0,1,0.6111111111111112,0.5299145299145299,0.3418803418803419,0.6709401709401709,0.08119658119658124,0.2692307692307693,-0.05982905982905973
WBCIC,0,2,0.6153846153846154,0.43162393162393164,0.3888888888888889,0.5598290598290598,0.18376068376068377,0.22649572649572652,0.05555555555555558
WBCIC,0,4,0.717948717948718,0.36324786324786323,0.37606837606837606,0.44871794871794873,0.3547008547008547,0.3418803418803419,0.2692307692307692
WBCIC,1,1,0.6410256410256411,0.6593406593406593,0.6153846153846154,0.5494505494505495,-0.01831501831501825,0.02564102564102566,0.09157509157509158
WBCIC,1,2,0.5970695970695971,0.6446886446886447,0.5457875457875457,0.5714285714285714,-0.04761904761904767,0.05128205128205132,0.02564102564102566
WBCIC,1,4,0.6959706959706959,0.5824175824175825,0.6410256410256411,0.4358974358974359,0.11355311355311348,0.05494505494505486,0.26007326007326004
WBCIC,2,1,0.5243055555555556,0.5069444444444444,0.5208333333333334,0.5,0.01736111111111116,0.00347222222222221,0.02430555555555558
WBCIC,2,2,0.6527777777777778,0.5798611111111112,0.6145833333333334,0.4236111111111111,0.07291666666666663,0.03819444444444442,0.22916666666666669
WBCIC,2,4,0.6597222222222222,0.5104166666666666,0.5972222222222222,0.375,0.14930555555555558,0.0625,0.2847222222222222
WBCIC,3,1,0.6284722222222222,0.5277777777777778,0.6423611111111112,0.3402777777777778,0.10069444444444442,-0.01388888888888895,0.2881944444444444
WBCIC,3,2,0.6840277777777778,0.5451388888888888,0.6215277777777778,0.6006944444444444,0.13888888888888895,0.0625,0.08333333333333337
WBCIC,3,4,0.7222222222222222,0.5763888888888888,0.6770833333333334,0.4444444444444444,0.14583333333333337,0.04513888888888884,0.2777777777777778
WBCIC,4,1,0.5789473684210527,0.5614035087719298,0.47017543859649125,0.4105263157894737,0.01754385964912286,0.10877192982456141,0.16842105263157897
WBCIC,4,2,0.5894736842105263,0.5859649122807018,0.5017543859649123,0.6280701754385964,0.0035087719298244613,0.08771929824561397,-0.038596491228070184
WBCIC,4,4,0.5157894736842106,0.5614035087719298,0.5403508771929825,0.5333333333333333,-0.04561403508771922,-0.024561403508771895,-0.01754385964912275
