dataset,K,bin,mean_certificate,mean_H,harm_frequency,subject_count,observation_count
OpenBMI,4,0,-0.0006608787453759228,-0.0005923277190462794,0.18181818181818182,32,44
OpenBMI,4,1,-0.00011897613463089872,-0.00010446768084709126,0.38636363636363635,30,44
OpenBMI,4,2,-1.3399429617906703e-05,3.374554216862698e-05,0.38636363636363635,32,44
OpenBMI,4,3,0.00010450552355737984,7.37737017598885e-05,0.6136363636363636,31,44
OpenBMI,4,4,0.0005328821326573705,0.0002510611983862563,0.7272727272727273,31,44
WBCIC,4,0,-0.0004290949809193324,-0.0003453042796429325,0.23529411764705882,22,34
WBCIC,4,1,-0.00010981426256712225,-3.227394293335409e-05,0.4117647058823529,23,34
WBCIC,4,2,-2.5207694077070382e-05,-2.9603753126031263e-05,0.45454545454545453,23,33
WBCIC,4,3,2.5207627996595956e-05,3.7646880655511634e-06,0.6060606060606061,22,33
WBCIC,4,4,0.00019091878824503878,0.0001155992574763944,0.6666666666666666,21,33
