dataset,fold,K,subject_id,n_observations,harm_rate,mean_H,same_auroc,same_spearman,same_sign_accuracy,different_auroc,different_spearman,different_sign_accuracy,permuted_auroc,permuted_spearman,permuted_sign_accuracy,random_auroc,random_spearman,random_sign_accuracy
OpenBMI,0,1,1,2,1.0,0.0006750524044036692,,1.0,1.0,,1.0,0.5,,-1.0,1.0,,-1.0,0.5
OpenBMI,0,1,10,1,1.0,0.0002328753471374,,,1.0,,,0.0,,,1.0,,,1.0
OpenBMI,0,1,11,1,0.0,-0.0005924403667449,,,1.0,,,1.0,,,1.0,,,1.0
OpenBMI,0,1,12,1,1.0,0.0003437995910644,,,0.0,,,0.0,,,1.0,,,0.0
OpenBMI,0,1,15,1,0.0,-5.1334500312805176e-05,,,1.0,,,0.0,,,1.0,,,1.0
OpenBMI,0,1,16,1,0.0,-0.0002306997776031,,,0.0,,,1.0,,,0.0,,,0.0
OpenBMI,0,1,17,1,1.0,0.0002172887325286,,,1.0,,,1.0,,,1.0,,,1.0
OpenBMI,0,1,18,2,0.0,-0.0002701282501220408,,-1.0,0.5,,-1.0,0.0,,-1.0,0.5,,-1.0,0.5
OpenBMI,0,1,22,1,0.0,-0.0006333887577056,,,1.0,,,0.0,,,0.0,,,0.0
OpenBMI,0,1,24,1,1.0,0.0001686811447143,,,1.0,,,0.0,,,1.0,,,1.0
OpenBMI,0,1,25,1,0.0,-0.0002347528934478,,,0.0,,,0.0,,,1.0,,,1.0
OpenBMI,0,1,26,2,0.5,0.00011208653450014999,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OpenBMI,0,1,27,1,1.0,2.9414892196655277e-05,,,0.0,,,1.0,,,0.0,,,1.0
OpenBMI,0,1,28,1,0.0,-0.0001467168331146,,,0.0,,,0.0,,,1.0,,,1.0
OpenBMI,0,1,29,1,1.0,4.70280647277832e-05,,,1.0,,,1.0,,,0.0,,,1.0
OpenBMI,0,1,30,1,0.0,-0.0002152323722839,,,1.0,,,1.0,,,1.0,,,0.0
OpenBMI,0,1,31,2,0.5,8.822232484815e-05,1.0,1.0,1.0,0.0,-1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
OpenBMI,0,1,34,1,1.0,0.0005300045013427,,,1.0,,,1.0,,,1.0,,,0.0
OpenBMI,0,1,35,1,0.0,-0.0002155900001525,,,0.0,,,0.0,,,0.0,,,0.0
OpenBMI,0,1,37,2,1.0,0.0006852895021438408,,-1.0,1.0,,-1.0,0.5,,-1.0,1.0,,1.0,1.0
OpenBMI,0,1,38,1,1.0,0.0002043545246124,,,0.0,,,1.0,,,0.0,,,1.0
OpenBMI,0,1,4,1,0.0,-8.64863395690918e-05,,,1.0,,,1.0,,,1.0,,,1.0
OpenBMI,0,1,41,1,1.0,0.000544935464859,,,1.0,,,0.0,,,1.0,,,1.0
OpenBMI,0,1,42,1,0.0,-5.7309865951538086e-05,,,1.0,,,1.0,,,0.0,,,1.0
OpenBMI,0,1,43,1,0.0,-4.017353057861328e-05,,,0.0,,,1.0,,,0.0,,,1.0
OpenBMI,0,1,44,1,0.0,-0.0003627240657806,,,1.0,,,0.0,,,0.0,,,0.0
OpenBMI,0,1,45,1,0.0,-0.0001780986785888,,,0.0,,,0.0,,,0.0,,,0.0
OpenBMI,0,1,46,1,1.0,7.894635200500488e-05,,,1.0,,,1.0,,,0.0,,,0.0
OpenBMI,0,1,5,2,0.0,-0.00014380365610115,,-1.0,0.5,,-1.0,0.5,,-1.0,0.5,,1.0,1.0
OpenBMI,0,1,51,2,0.5,-0.000571645796299,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
OpenBMI,0,1,52,1,0.0,-3.734230995178223e-05,,,0.0,,,0.0,,,0.0,,,0.0
OpenBMI,0,1,54,2,0.0,-0.0002995431423187,,-1.0,0.5,,-1.0,0.0,,1.0,0.5,,-1.0,0.5
OpenBMI,0,1,6,1,1.0,0.0001379624009132,,,1.0,,,0.0,,,1.0,,,1.0
OpenBMI,0,1,7,2,0.5,0.00025402009487155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
