task,TFFormer_mean,TFFormer_std,LiteBN_mean,LiteBN_std,paired_delta_mean_pp,paired_delta_std_pp,benchmark,delta_mean_vs_benchmark_pp,benchmark_pass_seeds
OpenBMI_SSVEP,0.9129047619047618,0.0017043362064927895,0.9102380952380953,0.002861900800250803,0.2666666666666672,0.4051538718363048,0.9234,-1.0495238095238224,0
OpenBMI_ERP,0.8494559884559885,0.0032651178553074417,0.8479668109668109,0.00434883840178759,0.14891774891775056,0.1788130334599238,0.8557,-0.6244011544011552,0
OpenBMI_MI,0.7482380952380954,0.0060648423660611805,0.749047619047619,0.003654277151037963,-0.08095238095238233,0.31341871756008194,0.7555,-0.7261904761904581,0
WBCIC_MI,0.7963333333333334,0.0015695009822658465,0.794,0.002233830790368853,0.2333333333333317,0.1101514109457229,0.7918,0.45333333333335,3
