seed,equal_task_TFFormer_mean,equal_task_LiteBN_mean,equal_task_delta_pp,benchmark_pass_tasks
0,0.8253655844155845,0.8226506493506494,0.27149350649350806,1
1,0.8271397186147186,0.8257516233766233,0.13880952380952186,1
2,0.8276938311688311,0.8275371212121212,0.015670995670995398,1
