dataset,fold,EEGNet_BA,LiteBN_BA,REF50_BA,AMSE_Stable_BA,AMSE_Expressive_BA,AMSE_Final_BA,AMSE_Final_minus_best_ref_pp,AMSE_Final_minus_REF50_pp,Final_minus_strongest_internal_pp,Stable_minus_EEGNet_pp,Expressive_minus_LiteBN_pp
OpenBMI,0,0.8,0.8262499999999999,0.8262499999999999,0.7849999999999999,0.85625,0.8674999999999999,3.375,4.125000000000001,-0.24999999999999878,-1.5000000000000004,2.9999999999999982
OpenBMI,1,0.8125,0.8325,0.8425,0.7737499999999999,0.8200000000000001,0.81125,-3.625,-3.125,-2.0000000000000004,-3.8750000000000018,-1.2499999999999982
OpenBMI,2,0.6875,0.7275,0.7475,0.705,0.7075,0.725,-0.8749999999999993,-2.2500000000000004,0.49999999999999906,1.7500000000000044,-2.0000000000000018
OpenBMI,3,0.76,0.7875000000000001,0.8025,0.70875,0.7825,0.7675000000000001,-2.8749999999999987,-3.500000000000001,-1.5,-5.124999999999998,-0.4999999999999991
OpenBMI,4,0.72875,0.78375,0.78125,0.7,0.7274999999999999,0.73875,-4.624999999999998,-4.25,-1.2499999999999998,-2.875000000000001,-5.625
WBCIC,0,0.7714285714285715,0.7792857142857141,0.7985714285714286,0.7400000000000001,0.772142857142857,0.7814285714285715,-0.9285714285714312,-1.7142857142857129,-0.1428571428571414,-3.142857142857143,-0.7142857142857181
WBCIC,1,0.8125,0.7733333333333333,0.7933333333333333,0.7716666666666666,0.7991666666666667,0.7966666666666667,-2.166666666666665,0.33333333333333925,-0.6666666666666636,-4.083333333333338,2.5833333333333335
WBCIC,2,0.7491666666666666,0.7558333333333334,0.7566666666666665,0.7399999999999999,0.7424999999999998,0.7433333333333333,-3.1666666666666696,-1.3333333333333346,-1.500000000000001,-0.9166666666666674,-1.3333333333333317
WBCIC,3,0.8146811868686868,0.8405408249158249,0.8405839646464646,0.7902251683501683,0.8314520202020202,0.8480755471380471,0.25347222222222293,0.7491582491582531,-0.17098063973063718,-2.4456018518518494,-0.9088804713804727
WBCIC,4,0.7675,0.7875000000000001,0.7800000000000001,0.7483333333333334,0.7533333333333334,0.7708333333333334,-1.916666666666665,-0.9166666666666656,0.33333333333332993,-1.916666666666665,-3.416666666666662
