dataset,stable_minus_EEGNet_pp,expressive_minus_LiteBN_pp,stable_positive_folds,expressive_positive_folds,final_minus_strongest_internal_pp
OpenBMI,-2.3249999999999993,-1.2750000000000004,1,1,-0.9
WBCIC,-2.5217293906810037,-0.7565575105897685,0,1,-0.42018980123818783
