dataset,fold,subject_id,both_correct,both_wrong,stable_only_correct,expressive_only_correct,trials
OpenBMI,0,15,85,5,8,2,100
OpenBMI,0,38,66,10,3,21,100
OpenBMI,0,6,91,2,6,1,100
OpenBMI,0,33,78,7,6,9,100
OpenBMI,0,32,48,17,10,25,100
OpenBMI,0,3,80,2,4,14,100
OpenBMI,0,5,59,14,11,16,100
OpenBMI,0,47,67,4,6,23,100
OpenBMI,1,26,79,3,7,11,100
OpenBMI,1,2,61,12,12,15,100
OpenBMI,1,14,52,16,12,20,100
OpenBMI,1,31,58,19,4,19,100
OpenBMI,1,28,85,4,8,3,100
OpenBMI,1,35,73,3,14,10,100
OpenBMI,1,40,66,16,4,14,100
OpenBMI,1,43,80,6,4,10,100
OpenBMI,2,50,44,31,14,11,100
OpenBMI,2,52,67,17,4,12,100
OpenBMI,2,23,68,12,12,8,100
OpenBMI,2,1,66,11,13,10,100
OpenBMI,2,30,64,19,8,9,100
OpenBMI,2,48,50,30,10,10,100
OpenBMI,2,11,47,16,17,20,100
OpenBMI,2,8,68,8,12,12,100
OpenBMI,3,45,63,11,7,19,100
OpenBMI,3,34,53,25,11,11,100
OpenBMI,3,27,86,7,1,6,100
OpenBMI,3,49,69,11,1,19,100
OpenBMI,3,10,48,15,14,23,100
OpenBMI,3,22,51,23,13,13,100
OpenBMI,3,19,60,17,9,14,100
OpenBMI,3,16,79,7,2,12,100
OpenBMI,4,9,43,20,15,22,100
OpenBMI,4,53,60,15,16,9,100
OpenBMI,4,7,62,12,14,12,100
OpenBMI,4,20,70,8,5,17,100
OpenBMI,4,41,48,16,13,23,100
OpenBMI,4,46,57,28,11,4,100
OpenBMI,4,21,65,7,8,20,100
OpenBMI,4,44,62,19,11,8,100
WBCIC,0,sub-6,174,6,11,9,200
WBCIC,0,sub-22,105,33,27,35,200
WBCIC,0,sub-44,139,25,12,24,200
WBCIC,0,sub-35,151,13,3,33,200
WBCIC,0,sub-18,88,39,39,34,200
WBCIC,0,sub-9,88,56,32,24,200
WBCIC,0,sub-49,155,11,12,22,200
WBCIC,1,sub-28,104,49,26,21,200
WBCIC,1,sub-37,135,17,13,35,200
WBCIC,1,sub-12,128,34,19,19,200
WBCIC,1,sub-30,154,20,11,15,200
WBCIC,1,sub-45,173,7,7,13,200
WBCIC,1,sub-7,141,23,15,21,200
WBCIC,2,sub-50,182,8,4,6,200
WBCIC,2,sub-14,68,61,38,33,200
WBCIC,2,sub-1,171,2,9,18,200
WBCIC,2,sub-32,92,49,24,35,200
WBCIC,2,sub-23,187,0,9,4,200
WBCIC,2,sub-34,67,68,37,28,200
WBCIC,3,sub-24,151,10,3,31,195
WBCIC,3,sub-13,165,10,10,15,200
WBCIC,3,sub-11,119,26,27,28,200
WBCIC,3,sub-29,147,11,15,27,200
WBCIC,3,sub-26,96,22,52,30,200
WBCIC,3,sub-47,152,9,7,32,200
WBCIC,4,sub-36,190,2,2,6,200
WBCIC,4,sub-16,74,53,40,33,200
WBCIC,4,sub-48,134,18,18,30,200
WBCIC,4,sub-41,155,18,10,17,200
WBCIC,4,sub-5,127,29,23,21,200
WBCIC,4,sub-27,86,44,39,31,200
