dataset,EEGNet_BA,LiteBN_BA,REF50_BA,AMSE_Stable_BA,AMSE_Expressive_BA,AMSE_Final_BA,best_single_ref_BA,G_REF_pp,G_AMSE_pp,R,G_INTERNAL_pp,final_positive_folds,final_bootstrap_ci_low_pp,final_bootstrap_ci_high_pp,final_vs_REF50_ci_low_pp,final_vs_REF50_ci_high_pp
OpenBMI,0.7577499999999999,0.7915,0.8,0.7345,0.7787499999999999,0.782,0.79925,0.07500000000000284,-1.7249999999999988,-22.999999999999112,0.3250000000000086,1,-3.4,0.025000000000000803,-3.575,0.05000000000000036
WBCIC,0.78268022971652,0.7870401596611275,0.7939839931573802,0.7574629358097101,0.7794745845552299,0.7878533317041384,0.8034917725643532,-0.9507779406973005,-1.563844086021482,,0.8378747148908516,1,-2.7096774193548394,-0.5477150537634404,-1.613229064841966,0.30645161290322676
