dataset,G_REF_pp,G_AMSE_pp,R,G_INTERNAL_pp,final_vs_REF50
OpenBMI,0.07500000000000284,-1.7249999999999988,-22.999999999999112,0.3250000000000086,"{'n_subjects': 40, 'mean_delta_pp': -1.8, 'median_delta_pp': -3.9999999999999925, 'ci_low_pp': -3.575, 'ci_high_pp': 0.05000000000000036, 'positive_subjects': 14, 'negative_subjects': 25}"
WBCIC,-0.9507779406973005,-1.563844086021482,,0.8378747148908516,"{'n_subjects': 31, 'mean_delta_pp': -0.6130661453242076, 'median_delta_pp': -0.49999999999998934, 'ci_low_pp': -1.613229064841966, 'ci_high_pp': 0.30645161290322676, 'positive_subjects': 12, 'negative_subjects': 16}"
