dataset,fold,subject_id,EEGNet_BA,EEGNet_macro_F1,EEGNet_accuracy,EEGNet_trials,LiteBN_BA,LiteBN_macro_F1,LiteBN_accuracy,LiteBN_trials,REF50_BA,REF50_macro_F1,REF50_accuracy,REF50_trials,AMSE_Stable_BA,AMSE_Stable_macro_F1,AMSE_Stable_accuracy,AMSE_Stable_trials,AMSE_Expressive_BA,AMSE_Expressive_macro_F1,AMSE_Expressive_accuracy,AMSE_Expressive_trials,AMSE_Final_BA,AMSE_Final_macro_F1,AMSE_Final_accuracy,AMSE_Final_trials,AMSE_Final_minus_best_ref_pp,AMSE_Final_minus_REF50_pp,Stable_minus_EEGNet_pp,Expressive_minus_LiteBN_pp,Final_minus_strongest_internal_pp
OpenBMI,0,15,0.8300000000000001,0.8298468621759583,0.83,100,0.87,0.8698828946051447,0.87,100,0.8999999999999999,0.8998397435897436,0.9,100,0.9299999999999999,0.9299369432489241,0.93,100,0.87,0.8696741854636592,0.87,100,0.89,0.8899009108197378,0.89,100,2.0000000000000018,-0.9999999999999898,9.999999999999986,0.0,-3.9999999999999925
OpenBMI,0,38,0.76,0.7519636213311285,0.76,100,0.77,0.757153415690001,0.77,100,0.75,0.736036321402175,0.75,100,0.69,0.6897207486738064,0.69,100,0.87,0.8689384010484928,0.87,100,0.86,0.8590982286634461,0.86,100,8.999999999999996,10.999999999999998,-7.000000000000006,9.999999999999998,-1.0000000000000009
OpenBMI,0,6,0.9299999999999999,0.9298245614035088,0.93,100,0.9099999999999999,0.9099189270343309,0.91,100,0.95,0.9499949994999499,0.95,100,0.97,0.96999699969997,0.97,100,0.9199999999999999,0.9199679871948779,0.92,100,0.97,0.96999699969997,0.97,100,4.0000000000000036,2.0000000000000018,4.0000000000000036,1.0000000000000009,0.0
OpenBMI,0,33,0.76,0.7552019583843329,0.76,100,0.88,0.8799519807923168,0.88,100,0.85,0.8487750781328763,0.85,100,0.8400000000000001,0.839421918908069,0.84,100,0.87,0.8689384010484928,0.87,100,0.9099999999999999,0.9097744360902256,0.91,100,2.9999999999999916,5.999999999999995,8.000000000000007,-1.0000000000000009,3.9999999999999925
OpenBMI,0,32,0.65,0.6496847162446202,0.65,100,0.7,0.6998799519807923,0.7,100,0.63,0.6290726817042607,0.63,100,0.5800000000000001,0.5757575757575757,0.58,100,0.73,0.7277951406391774,0.73,100,0.73,0.7286704853783539,0.73,100,3.0000000000000027,9.999999999999998,-6.999999999999995,3.0000000000000027,0.0
OpenBMI,0,3,0.84,0.8383838383838383,0.84,100,0.87,0.8699869986998701,0.87,100,0.86,0.8590982286634461,0.86,100,0.84,0.84,0.84,100,0.94,0.9399038461538461,0.94,100,0.9299999999999999,0.9299369432489241,0.93,100,5.999999999999995,6.999999999999995,0.0,6.999999999999995,-1.0000000000000009
OpenBMI,0,5,0.73,0.72997299729973,0.73,100,0.75,0.7469379491851402,0.75,100,0.75,0.7487689679429204,0.75,100,0.7,0.7,0.7,100,0.75,0.7487689679429204,0.75,100,0.77,0.769792813532179,0.77,100,2.0000000000000018,2.0000000000000018,-3.0000000000000027,0.0,2.0000000000000018
OpenBMI,0,47,0.8999999999999999,0.8993558776167472,0.9,100,0.86,0.8579545454545454,0.86,100,0.9199999999999999,0.9194847020933977,0.92,100,0.73,0.7087692805522597,0.73,100,0.8999999999999999,0.8998397435897436,0.9,100,0.88,0.8792270531400965,0.88,100,-1.9999999999999907,-3.9999999999999925,-16.999999999999993,3.9999999999999925,-1.9999999999999907
OpenBMI,1,26,0.86,0.859775641025641,0.86,100,0.85,0.84998499849985,0.85,100,0.87,0.8698828946051447,0.87,100,0.86,0.8590982286634461,0.86,100,0.9,0.8999599839935974,0.9,100,0.91,0.90999099909991,0.91,100,5.000000000000004,4.0000000000000036,0.0,5.000000000000004,1.0000000000000009
OpenBMI,1,2,0.81,0.8090644156366193,0.81,100,0.78,0.7796474358974359,0.78,100,0.79,0.78997899789979,0.79,100,0.73,0.7286704853783539,0.73,100,0.76,0.7552019583843329,0.76,100,0.75,0.7442455242966752,0.75,100,-6.000000000000005,-4.0000000000000036,-8.000000000000007,-2.0000000000000018,-1.0000000000000009
