dataset,fold,subject_id,EEGNet_BA,EEGNet_macro_F1,EEGNet_accuracy,EEGNet_trials,LiteBN_BA,LiteBN_macro_F1,LiteBN_accuracy,LiteBN_trials,REF50_BA,REF50_macro_F1,REF50_accuracy,REF50_trials,AMSE_Stable_BA,AMSE_Stable_macro_F1,AMSE_Stable_accuracy,AMSE_Stable_trials,AMSE_Expressive_BA,AMSE_Expressive_macro_F1,AMSE_Expressive_accuracy,AMSE_Expressive_trials,AMSE_Final_BA,AMSE_Final_macro_F1,AMSE_Final_accuracy,AMSE_Final_trials,AMSE_Final_minus_best_ref_pp,AMSE_Final_minus_REF50_pp,Stable_minus_EEGNet_pp,Expressive_minus_LiteBN_pp,Final_minus_strongest_internal_pp
OpenBMI,1,14,0.72,0.7126436781609196,0.72,100,0.75,0.7457023700539112,0.75,100,0.73,0.7297567811029927,0.73,100,0.64,0.6305418719211823,0.64,100,0.72,0.7181964573268921,0.72,100,0.6699999999999999,0.6673051718923279,0.67,100,-8.000000000000007,-6.000000000000005,-7.9999999999999964,-3.0000000000000027,-5.000000000000004
OpenBMI,1,31,0.8,0.7960016319869441,0.8,100,0.79,0.7874278773155178,0.79,100,0.8,0.7947454844006567,0.8,100,0.62,0.6161616161616161,0.62,100,0.77,0.7613860358958398,0.77,100,0.75,0.7406369955389562,0.75,100,-5.000000000000004,-5.000000000000004,-18.000000000000004,-2.0000000000000018,-2.0000000000000018
OpenBMI,1,28,0.78,0.7726333195535345,0.78,100,0.9299999999999999,0.9298245614035088,0.93,100,0.9199999999999999,0.9197109594540345,0.92,100,0.9299999999999999,0.9296553110240177,0.93,100,0.88,0.8792270531400965,0.88,100,0.87,0.8689384010484928,0.87,100,-5.999999999999995,-4.999999999999993,14.999999999999991,-4.999999999999993,-5.999999999999995
OpenBMI,1,35,0.86,0.8590982286634461,0.86,100,0.8,0.7933030177759405,0.8,100,0.8300000000000001,0.8260869565217391,0.83,100,0.87,0.8693598633303186,0.87,100,0.8300000000000001,0.8249407887962105,0.83,100,0.85,0.8481627695110842,0.85,100,-1.0000000000000009,1.9999999999999907,1.0000000000000009,3.0000000000000027,-2.0000000000000018
OpenBMI,1,40,0.8200000000000001,0.8197115384615384,0.82,100,0.81,0.8067338012409724,0.81,100,0.86,0.8585858585858586,0.86,100,0.7,0.6847414880201765,0.7,100,0.8,0.7987117552334944,0.8,100,0.79,0.7863899908452854,0.79,100,-3.0000000000000027,-6.999999999999995,-12.00000000000001,-1.0000000000000009,-1.0000000000000009
OpenBMI,1,43,0.85,0.84998499849985,0.85,100,0.95,0.9499549594635172,0.95,100,0.94,0.9399759903961584,0.94,100,0.8400000000000001,0.8389694041867954,0.84,100,0.9,0.9,0.9,100,0.9,0.9,0.9,100,-4.999999999999993,-3.9999999999999925,-0.9999999999999898,-4.999999999999993,0.0
OpenBMI,2,50,0.6699999999999999,0.6697027324592133,0.67,100,0.63,0.6236395076797885,0.63,100,0.6599999999999999,0.6594551282051282,0.66,100,0.5800000000000001,0.5320855614973261,0.58,100,0.55,0.5366079703429101,0.55,100,0.59,0.5577607593571352,0.59,100,-7.9999999999999964,-6.999999999999995,-8.999999999999986,-7.9999999999999964,0.9999999999999898
OpenBMI,2,52,0.78,0.779205138498595,0.78,100,0.81,0.8090644156366193,0.81,100,0.8400000000000001,0.8397435897435898,0.84,100,0.71,0.7085720028137876,0.71,100,0.79,0.7821350762527233,0.79,100,0.79,0.7851662404092072,0.79,100,-2.0000000000000018,-5.000000000000004,-7.000000000000006,-2.0000000000000018,0.0
OpenBMI,2,23,0.7,0.6980676328502415,0.7,100,0.74,0.7348021215830274,0.74,100,0.77,0.7660461804495982,0.77,100,0.8,0.7996794871794872,0.8,100,0.76,0.7552019583843329,0.76,100,0.8,0.797077922077922,0.8,100,6.000000000000005,3.0000000000000027,10.000000000000009,2.0000000000000018,0.0
OpenBMI,2,1,0.63,0.6254681647940075,0.63,100,0.65,0.6266666666666667,0.65,100,0.65,0.6266666666666667,0.65,100,0.79,0.7863899908452854,0.79,100,0.76,0.7552019583843329,0.76,100,0.78,0.7742200328407225,0.78,100,13.0,13.0,16.000000000000004,10.999999999999998,-1.0000000000000009
OpenBMI,2,30,0.69,0.6862030569895738,0.69,100,0.75,0.7493734335839599,0.75,100,0.78,0.7796474358974359,0.78,100,0.72,0.7106242248863166,0.72,100,0.73,0.7149192271143491,0.73,100,0.73,0.7149192271143491,0.73,100,-2.0000000000000018,-5.000000000000004,3.0000000000000027,-2.0000000000000018,0.0
OpenBMI,2,48,0.6699999999999999,0.6624040920716112,0.67,100,0.66,0.6565656565656566,0.66,100,0.7,0.7,0.7,100,0.6,0.570999570999571,0.6,100,0.6,0.5659722222222222,0.6,100,0.61,0.5793334052421529,0.61,100,-5.999999999999995,-8.999999999999996,-6.999999999999995,-6.000000000000005,1.0000000000000009
OpenBMI,2,11,0.71,0.6991389148251893,0.71,100,0.73,0.7286704853783539,0.73,100,0.74,0.7348021215830274,0.74,100,0.64,0.6347402597402598,0.64,100,0.6699999999999999,0.6601791782514674,0.67,100,0.66,0.6458333333333333,0.66,100,-6.999999999999995,-7.9999999999999964,-6.999999999999995,-6.000000000000005,-0.9999999999999898
OpenBMI,2,8,0.65,0.6496847162446202,0.65,100,0.8500000000000001,0.8492613807657522,0.85,100,0.8400000000000001,0.8389694041867954,0.84,100,0.8,0.797979797979798,0.8,100,0.8,0.7992773986350863,0.8,100,0.84,0.84,0.84,100,-1.000000000000012,-1.1102230246251565e-14,15.000000000000002,-5.000000000000004,3.9999999999999925
OpenBMI,3,45,0.76,0.7596153846153846,0.76,100,0.74,0.74,0.74,100,0.79,0.78997899789979,0.79,100,0.7,0.6940024479804161,0.7,100,0.8200000000000001,0.8199279711884754,0.82,100,0.79,0.7882851093860268,0.79,100,3.0000000000000027,0.0,-6.000000000000005,8.000000000000007,-3.0000000000000027
OpenBMI,3,34,0.6599999999999999,0.6594551282051282,0.66,100,0.61,0.5953937130407718,0.61,100,0.73,0.7237851662404092,0.73,100,0.64,0.6279454319966928,0.64,100,0.64,0.6328029375764994,0.64,100,0.64,0.6305418719211823,0.64,100,-1.9999999999999907,-8.999999999999996,-1.9999999999999907,3.0000000000000027,0.0
OpenBMI,3,27,0.9199999999999999,0.9197109594540345,0.92,100,0.95,0.9499549594635172,0.95,100,0.95,0.9499549594635172,0.95,100,0.87,0.8684077335762729,0.87,100,0.9199999999999999,0.9197109594540345,0.92,100,0.9099999999999999,0.9097744360902256,0.91,100,-4.0000000000000036,-4.0000000000000036,-4.999999999999993,-3.0000000000000027,-1.0000000000000009
OpenBMI,3,49,0.84,0.84,0.84,100,0.84,0.8383838383838383,0.84,100,0.8400000000000001,0.839421918908069,0.84,100,0.7,0.6921182266009853,0.7,100,0.88,0.8799519807923168,0.88,100,0.8600000000000001,0.8594941790445605,0.86,100,2.000000000000013,2.0000000000000018,-14.000000000000002,4.0000000000000036,-1.9999999999999907
OpenBMI,3,10,0.71,0.7097387648883995,0.71,100,0.81,0.8095238095238095,0.81,100,0.81,0.8090644156366193,0.81,100,0.62,0.6100164203612479,0.62,100,0.71,0.7085720028137876,0.71,100,0.7,0.7,0.7,100,-11.00000000000001,-11.00000000000001,-8.999999999999996,-10.000000000000009,-1.0000000000000009
OpenBMI,3,22,0.66,0.6550324675324675,0.66,100,0.7,0.6980676328502415,0.7,100,0.6799999999999999,0.6767676767676768,0.68,100,0.64,0.6394230769230769,0.64,100,0.64,0.6279454319966928,0.64,100,0.64,0.6328029375764994,0.64,100,-5.999999999999995,-3.9999999999999925,-2.0000000000000018,-5.999999999999995,0.0
OpenBMI,3,19,0.73,0.7253585596582239,0.73,100,0.78,0.7799119647859143,0.78,100,0.76,0.7591328783621036,0.76,100,0.69,0.6862030569895738,0.69,100,0.74,0.7331691297208538,0.74,100,0.72,0.7126436781609196,0.72,100,-6.000000000000005,-4.0000000000000036,-4.0000000000000036,-4.0000000000000036,-2.0000000000000018
OpenBMI,3,16,0.8,0.7996794871794872,0.8,100,0.87,0.8699869986998701,0.87,100,0.86,0.86,0.86,100,0.81,0.8095238095238095,0.81,100,0.91,0.90999099909991,0.91,100,0.88,0.88,0.88,100,1.0000000000000009,2.0000000000000018,1.0000000000000009,4.0000000000000036,-3.0000000000000027
OpenBMI,4,9,0.61,0.6068152031454783,0.61,100,0.6,0.586606035551881,0.6,100,0.62,0.6124031007751938,0.62,100,0.58,0.58,0.58,100,0.65,0.6439833180754755,0.65,100,0.64,0.6376811594202898,0.64,100,3.0000000000000027,2.0000000000000018,-3.0000000000000027,5.000000000000004,-1.0000000000000009
OpenBMI,4,53,0.77,0.767182913250329,0.77,100,0.8200000000000001,0.818840579710145,0.82,100,0.8200000000000001,0.8193496587715776,0.82,100,0.76,0.7584541062801933,0.76,100,0.69,0.6783898744683059,0.69,100,0.73,0.721964782205746,0.73,100,-9.000000000000007,-9.000000000000007,-1.0000000000000009,-13.00000000000001,-3.0000000000000027
OpenBMI,4,7,0.72,0.72,0.72,100,0.73,0.7237851662404092,0.73,100,0.74,0.7383252818035426,0.74,100,0.76,0.7599039615846338,0.76,100,0.74,0.7395833333333333,0.74,100,0.78,0.7796474358974359,0.78,100,5.000000000000004,4.0000000000000036,4.0000000000000036,1.0000000000000009,2.0000000000000018
OpenBMI,4,20,0.88,0.88,0.88,100,0.9099999999999999,0.9095568284594513,0.91,100,0.9099999999999999,0.9095568284594513,0.91,100,0.75,0.742559983523839,0.75,100,0.87,0.8693598633303186,0.87,100,0.84,0.8383838383838383,0.84,100,-6.999999999999995,-6.999999999999995,-13.0,-3.9999999999999925,-3.0000000000000027
OpenBMI,4,41,0.6799999999999999,0.6767676767676768,0.68,100,0.77,0.7647058823529411,0.77,100,0.75,0.7487689679429204,0.75,100,0.61,0.5623386825272135,0.61,100,0.71,0.7092731829573935,0.71,100,0.72,0.7106242248863166,0.72,100,-5.000000000000004,-3.0000000000000027,-6.999999999999995,-6.000000000000005,1.0000000000000009
OpenBMI,4,46,0.66,0.6458333333333333,0.66,100,0.69,0.6615351020853806,0.69,100,0.6799999999999999,0.6567996567996568,0.68,100,0.6799999999999999,0.6527777777777778,0.68,100,0.61,0.568536342515765,0.61,100,0.62,0.5766488413547237,0.62,100,-6.999999999999995,-5.999999999999995,1.9999999999999907,-7.9999999999999964,-5.999999999999995
OpenBMI,4,21,0.84,0.84,0.84,100,0.9099999999999999,0.9097744360902256,0.91,100,0.91,0.90999099909991,0.91,100,0.73,0.7293233082706767,0.73,100,0.85,0.84998499849985,0.85,100,0.86,0.859775641025641,0.86,100,-4.999999999999993,-5.000000000000004,-10.999999999999998,-5.999999999999995,1.0000000000000009
OpenBMI,4,44,0.67,0.66996699669967,0.67,100,0.84,0.8368013055895553,0.84,100,0.82,0.8173701298701299,0.82,100,0.73,0.7149192271143491,0.73,100,0.7,0.6847414880201765,0.7,100,0.72,0.7028862478777589,0.72,100,-12.0,-9.999999999999998,5.999999999999995,-14.000000000000002,-1.0000000000000009
WBCIC,0,sub-6,0.9099999999999999,0.9097744360902256,0.91,200,0.935,0.934998374959374,0.935,200,0.9299999999999999,0.9299719887955182,0.93,200,0.925,0.9249530956848031,0.925,200,0.915,0.9149808706959066,0.915,200,0.935,0.934998374959374,0.935,200,0.0,0.5000000000000115,1.5000000000000124,-2.0000000000000018,1.0000000000000009
WBCIC,0,sub-22,0.72,0.7177134791813691,0.72,200,0.78,0.7794486215538847,0.78,200,0.765,0.7628598097832942,0.765,200,0.6599999999999999,0.6591478696741855,0.66,200,0.7,0.6940024479804161,0.7,200,0.74,0.7362012987012987,0.74,200,-4.0000000000000036,-2.500000000000002,-6.000000000000005,-8.000000000000007,4.0000000000000036
WBCIC,0,sub-44,0.77,0.7685185185185186,0.77,200,0.785,0.7826032002831214,0.785,200,0.795,0.7922525398393758,0.795,200,0.755,0.7549448625940837,0.755,200,0.815,0.8147730970438787,0.815,200,0.81,0.8098288459613652,0.81,200,2.500000000000002,1.5000000000000013,-1.5000000000000013,2.9999999999999916,-0.49999999999998934
WBCIC,0,sub-35,0.925,0.9249080123150859,0.925,200,0.885,0.8841630782402861,0.885,200,0.9299999999999999,0.9299719887955182,0.93,200,0.77,0.7593890574327858,0.77,200,0.9199999999999999,0.9199279351416274,0.92,200,0.9199999999999999,0.9198717948717949,0.92,200,-0.5000000000000115,-1.0000000000000009,-15.500000000000004,3.499999999999992,0.0
WBCIC,0,sub-18,0.61,0.5953937130407718,0.61,200,0.645,0.6410424934907354,0.645,200,0.675,0.6743405395926751,0.675,200,0.635,0.6301081806896203,0.635,200,0.61,0.6060606060606061,0.61,200,0.645,0.6447779862414009,0.645,200,0.0,-3.0000000000000027,2.500000000000002,-3.500000000000003,1.0000000000000009
WBCIC,0,sub-9,0.5900000000000001,0.5729166666666666,0.59,200,0.55,0.5471014492753623,0.55,200,0.6,0.5931237920862578,0.6,200,0.6000000000000001,0.5985547972701726,0.6,200,0.56,0.5599559955995599,0.56,200,0.54,0.5398159263705482,0.54,200,-5.000000000000004,-5.999999999999995,1.0000000000000009,1.0000000000000009,-6.000000000000005
WBCIC,0,sub-49,0.875,0.8749968749218731,0.875,200,0.875,0.8744696342045141,0.875,200,0.895,0.8947869435607105,0.895,200,0.835,0.8337991992143234,0.835,200,0.885,0.8848589522164652,0.885,200,0.88,0.8799519807923168,0.88,200,0.5000000000000004,-1.5000000000000013,-4.0000000000000036,1.0000000000000009,-0.5000000000000004
WBCIC,1,sub-28,0.675,0.6747967479674797,0.675,200,0.545,0.4326506437233081,0.545,200,0.575,0.49161159125571935,0.575,200,0.6499999999999999,0.6178622120318812,0.65,200,0.625,0.5807127882599581,0.625,200,0.605,0.5442877332641112,0.605,200,-7.000000000000006,3.0000000000000027,-2.5000000000000133,7.9999999999999964,-4.499999999999993
WBCIC,1,sub-37,0.885,0.8849280800500312,0.885,200,0.855,0.8547057792028858,0.855,200,0.8999999999999999,0.899749373433584,0.9,200,0.74,0.7378768020969856,0.74,200,0.8500000000000001,0.849624060150376,0.85,200,0.8400000000000001,0.8395989974937343,0.84,200,-4.499999999999993,-5.999999999999983,-14.500000000000002,-0.49999999999998934,-1.0000000000000009
WBCIC,1,sub-12,0.715,0.7148217636022514,0.715,200,0.75,0.74997499749975,0.75,200,0.73,0.72997299729973,0.73,200,0.735,0.7346749768466372,0.735,200,0.735,0.7349403615813558,0.735,200,0.75,0.7498999599839936,0.75,200,0.0,2.0000000000000018,2.0000000000000018,-1.5000000000000013,1.5000000000000013
WBCIC,1,sub-30,0.835,0.8342999171499585,0.835,200,0.77,0.7622984704423315,0.77,200,0.8049999999999999,0.8013801532937791,0.805,200,0.825,0.8246449059345173,0.825,200,0.845,0.8448098921178444,0.845,200,0.8400000000000001,0.8395989974937343,0.84,200,0.5000000000000115,3.500000000000014,-1.0000000000000009,7.499999999999996,-0.49999999999998934
WBCIC,1,sub-45,0.935,0.9349853717086345,0.935,200,0.925,0.9249981249531238,0.925,200,0.92,0.92,0.92,200,0.8999999999999999,0.8998397435897436,0.9,200,0.93,0.93,0.93,200,0.935,0.934998374959374,0.935,200,0.0,1.5000000000000013,-3.500000000000014,0.5000000000000004,0.5000000000000004
WBCIC,1,sub-7,0.8300000000000001,0.8289049919484701,0.83,200,0.795,0.7949538646195394,0.795,200,0.8300000000000001,0.8298468621759583,0.83,200,0.78,0.7773053952829234,0.78,200,0.81,0.81,0.81,200,0.81,0.8099809980998101,0.81,200,-2.0000000000000018,-2.0000000000000018,-5.000000000000004,1.5000000000000013,0.0
WBCIC,2,sub-50,0.9550000000000001,0.9549718574108819,0.955,200,0.94,0.9399038461538461,0.94,200,0.95,0.9499198717948718,0.95,200,0.9299999999999999,0.9298878205128205,0.93,200,0.94,0.9398496240601504,0.94,200,0.935,0.9349202773397411,0.935,200,-2.0000000000000018,-1.4999999999999902,-2.5000000000000133,0.0,-0.49999999999998934
WBCIC,2,sub-14,0.575,0.5671105905120827,0.575,200,0.515,0.5144051463042227,0.515,200,0.52,0.5169082125603865,0.52,200,0.53,0.5160127690248172,0.53,200,0.505,0.5034980816971338,0.505,200,0.52,0.5160802500252042,0.52,200,-5.499999999999994,0.0,-4.499999999999993,-1.0000000000000009,-1.0000000000000009
WBCIC,2,sub-1,0.9450000000000001,0.9449656035021888,0.945,200,0.905,0.9045969219954307,0.905,200,0.9450000000000001,0.9449656035021888,0.945,200,0.9,0.8999599839935974,0.9,200,0.9450000000000001,0.9449325423643964,0.945,200,0.94,0.9399459513562206,0.94,200,-0.5000000000000115,-0.5000000000000115,-4.5000000000000036,4.0000000000000036,-0.5000000000000115
WBCIC,2,sub-32,0.545,0.5416887008637405,0.545,200,0.605,0.6005965772643393,0.605,200,0.595,0.5927089880578253,0.595,200,0.5800000000000001,0.5642701525054467,0.58,200,0.635,0.6301081806896203,0.635,200,0.61,0.5997536945812808,0.61,200,0.5000000000000004,1.5000000000000013,3.500000000000003,3.0000000000000027,-2.500000000000002
WBCIC,2,sub-23,0.965,0.9649991249781245,0.965,200,0.97,0.9699729756781104,0.97,200,0.97,0.9699879951980792,0.97,200,0.98,0.9799979997999799,0.98,200,0.9550000000000001,0.9549448073890516,0.955,200,0.975,0.9749993749843746,0.975,200,0.5000000000000004,0.5000000000000004,1.5000000000000013,-1.4999999999999902,-0.5000000000000004
WBCIC,2,sub-34,0.51,0.4987212276214834,0.51,200,0.6000000000000001,0.5980303487086724,0.6,200,0.56,0.5596036432789511,0.56,200,0.52,0.45725915875169604,0.52,200,0.47500000000000003,0.4711792702273929,0.475,200,0.48,0.45095554851652414,0.48,200,-12.00000000000001,-8.000000000000007,1.0000000000000009,-12.500000000000005,-4.0000000000000036
WBCIC,3,sub-24,0.9180871212121212,0.9179465600673259,0.9179487179487179,195,0.9182449494949495,0.9179465600673259,0.9179487179487179,195,0.9285037878787878,0.9282032400589102,0.9282051282051282,195,0.7913510101010102,0.787936659505053,0.7897435897435897,195,0.9337121212121212,0.933326319665448,0.9333333333333333,195,0.9234532828282829,0.9230688303832093,0.9230769230769231,195,0.520833333333337,-0.5050505050504972,-12.673611111111105,1.5467171717171713,-1.0258838383838342
WBCIC,3,sub-13,0.8799999999999999,0.8795664391810518,0.88,200,0.89,0.89,0.89,200,0.885,0.8847666524712543,0.885,200,0.875,0.8742928975487115,0.875,200,0.9,0.9,0.9,200,0.915,0.9148957472904308,0.915,200,2.500000000000002,3.0000000000000027,-0.49999999999998934,1.0000000000000009,1.5000000000000013
WBCIC,3,sub-11,0.625,0.6238621831038893,0.625,200,0.6950000000000001,0.6940745755911633,0.695,200,0.7,0.6985227615315044,0.7,200,0.73,0.7298919567827131,0.73,200,0.7350000000000001,0.7338756245135698,0.735,200,0.73,0.7298919567827131,0.73,200,3.499999999999992,3.0000000000000027,10.499999999999998,4.0000000000000036,-0.5000000000000115
WBCIC,3,sub-29,0.85,0.84998499849985,0.85,200,0.895,0.8944060339409177,0.895,200,0.885,0.8846510694851927,0.885,200,0.81,0.81,0.81,200,0.87,0.8699869986998701,0.87,200,0.91,0.91,0.91,200,1.5000000000000013,2.500000000000002,-3.9999999999999925,-2.500000000000002,4.0000000000000036
WBCIC,3,sub-26,0.6699999999999999,0.6683750376846548,0.67,200,0.73,0.7282608695652174,0.73,200,0.69,0.6892230576441103,0.69,200,0.74,0.7390606182256123,0.74,200,0.63,0.6145833333333333,0.63,200,0.685,0.6772458310919849,0.685,200,-4.499999999999993,-0.49999999999998934,7.000000000000006,-9.999999999999998,-5.499999999999994
WBCIC,3,sub-47,0.9450000000000001,0.9449325423643964,0.945,200,0.915,0.9148957472904308,0.915,200,0.9550000000000001,0.9549718574108819,0.955,200,0.7949999999999999,0.7938403519798869,0.795,200,0.9199999999999999,0.9198717948717949,0.92,200,0.925,0.9247724366207779,0.925,200,-2.0000000000000018,-3.0000000000000027,-15.000000000000014,0.49999999999998934,0.5000000000000115
WBCIC,4,sub-36,0.98,0.98,0.98,200,0.965,0.9649781113195748,0.965,200,0.975,0.9749943737340903,0.975,200,0.96,0.95999599959996,0.96,200,0.98,0.9799979997999799,0.98,200,0.975,0.9749943737340903,0.975,200,-0.5000000000000004,0.0,-2.0000000000000018,1.5000000000000013,-0.5000000000000004
WBCIC,4,sub-16,0.5549999999999999,0.552482715273413,0.555,200,0.575,0.5658724686534385,0.575,200,0.5449999999999999,0.5337995337995338,0.545,200,0.5700000000000001,0.5656565656565657,0.57,200,0.535,0.5298162238681463,0.535,200,0.5499999999999999,0.5410036719706243,0.55,200,-2.500000000000002,0.5000000000000004,1.5000000000000124,-3.9999999999999925,-2.000000000000013
WBCIC,4,sub-48,0.84,0.84,0.84,200,0.865,0.8649696181640869,0.865,200,0.87,0.87,0.87,200,0.76,0.7599039615846338,0.76,200,0.8200000000000001,0.81998199819982,0.82,200,0.8300000000000001,0.8299319727891157,0.83,200,-3.499999999999992,-3.9999999999999925,-7.9999999999999964,-4.499999999999993,1.0000000000000009
WBCIC,4,sub-41,0.87,0.8691626409017714,0.87,200,0.87,0.8699869986998701,0.87,200,0.865,0.8648344221671547,0.865,200,0.825,0.8246449059345173,0.825,200,0.8600000000000001,0.8594941790445605,0.86,200,0.855,0.8543847756772364,0.855,200,-1.5000000000000013,-1.0000000000000009,-4.5000000000000036,-0.9999999999999898,-0.5000000000000115
WBCIC,4,sub-5,0.765,0.7648530331457161,0.765,200,0.78,0.7794486215538847,0.78,200,0.77,0.769792813532179,0.77,200,0.75,0.7497747973175859,0.75,200,0.74,0.7399739973997399,0.74,200,0.76,0.7597838054248824,0.76,200,-2.0000000000000018,-1.0000000000000009,-1.5000000000000013,-4.0000000000000036,1.0000000000000009
WBCIC,4,sub-27,0.595,0.5822050290135397,0.595,200,0.6699999999999999,0.6683750376846548,0.67,200,0.655,0.6495238095238096,0.655,200,0.625,0.6157688465380773,0.625,200,0.585,0.5847404627892432,0.585,200,0.655,0.6549223575304444,0.655,200,-1.4999999999999902,0.0,3.0000000000000027,-8.499999999999996,3.0000000000000027
