dataset,method_id,subject_id,balanced_accuracy,accuracy,macro_f1,NLL,Brier,ECE,base_balanced_accuracy,delta_BA_vs_B_STRONG,OUTER_TEST_USED
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,1,0.8,0.8,0.7960016319869441,0.4033978147469389,0.1318821146230061,0.1299253926651594,0.8,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,10,0.81,0.81,0.8099809980998101,0.4309891354293079,0.1360596592147046,0.0904371563009943,0.8,0.01,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,11,0.75,0.75,0.74997499749975,0.5326549533732503,0.1786911790167705,0.0503304720777127,0.76,-0.01,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,12,0.85,0.85,0.8498648783905515,0.3684498450643295,0.115787614276279,0.0842830029358263,0.835,0.015,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,13,0.72,0.72,0.7171717171717171,0.5859125752623661,0.1984023314580119,0.1099773372005015,0.71,0.01,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,14,0.8,0.8,0.7999799979998,0.4378305525685239,0.1369132434994104,0.0658495388059327,0.815,-0.0149999999999999,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,15,0.905,0.905,0.9048072346501664,0.2766597088238314,0.0781482534095541,0.0889490819085866,0.91,-0.0049999999999998,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,16,0.885,0.885,0.8849741191768148,0.2564510825852994,0.0761824754292259,0.0505691516426234,0.885,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,18,0.915,0.915,0.9146393512590696,0.2009287693860363,0.0599853296978752,0.1016784628628069,0.91,0.0050000000000001,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,19,0.855,0.855,0.8541797611565054,0.3634620308830841,0.1094191388432729,0.0806934755908175,0.85,0.005,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,2,0.845,0.845,0.8449030644152595,0.4336100968206804,0.1351482498263302,0.089735068596313,0.825,0.02,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,20,0.8999999999999999,0.9,0.899749373433584,0.2779497470273591,0.081427704393166,0.0868417658944142,0.8999999999999999,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,21,0.97,0.97,0.9699729756781104,0.0924900330169445,0.0222033385534799,0.0338497757584885,0.965,0.0049999999999998,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,22,0.83,0.83,0.8299829982998299,0.4006774969936142,0.1255230886084512,0.07799284630783,0.8300000000000001,-1.1102230246251563e-16,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,23,0.905,0.905,0.9049786201895428,0.249325435414827,0.0711480872729619,0.0796480635587748,0.91,-0.005,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,24,0.7050000000000001,0.705,0.6967438513530878,0.6242969271636896,0.2107671593856719,0.1780303188835883,0.69,0.0150000000000001,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,25,0.89,0.89,0.8892914653784219,0.2549195723746314,0.0837413334070114,0.0824800200506411,0.875,0.015,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,26,0.84,0.84,0.83998399839984,0.3235383676318644,0.1036201667113149,0.0523307541545198,0.85,-0.01,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,27,0.93,0.93,0.93,0.3048599249370319,0.085785199172245,0.1374172327824096,0.895,0.035,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,28,0.985,0.985,0.9849996249906248,0.0646193370247667,0.0157061978057032,0.0361681659773475,0.985,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,29,0.92,0.92,0.9196060697417344,0.242409402210238,0.0715734006488245,0.0577202289606629,0.915,0.0049999999999998,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,3,0.925,0.925,0.9249530956848032,0.1785075871530489,0.0526738599330159,0.0420453693301058,0.925,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,30,0.855,0.855,0.8549963749093727,0.3363625774270654,0.1068551259717076,0.0600477051980232,0.83,0.025,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,31,0.865,0.865,0.8642363293526085,0.3497299059974466,0.1076514411477392,0.0975022776098842,0.8600000000000001,0.0049999999999998,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,32,0.965,0.965,0.9649991249781243,0.0995928590795668,0.0279785564049871,0.0424262491447676,0.965,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,33,0.985,0.985,0.9849996249906248,0.0452782403697758,0.0114030592306651,0.0334134129898067,0.98,0.005,False
