method,mean_subject_BA
Single model,0.8233173076923076
Static B_STRONG,0.8464423076923075
Dynamic KEEP,0.8509615384615383
KEEP oracle,0.9230769230769231
KEEP+ACTION oracle,0.9534615384615386
