fold,task,intervention,balanced_accuracy,delta,selected_c,n_test_subjects,probe_epochs,probe_refit
0,mi,raw,0.760909090909091,0.0,10.0,11,1,True
0,mi,erase_UL,0.7204545454545455,-0.04045454545454552,10.0,11,1,True
0,mi,erase_UM,0.7340909090909091,-0.026818181818181852,10.0,11,1,True
0,mi,erase_UL+UM,0.6668181818181818,-0.09409090909090922,10.0,11,1,True
0,mi,UL_only,0.7377272727272728,-0.023181818181818192,10.0,11,1,True
0,mi,UM_only,0.739090909090909,-0.02181818181818196,10.0,11,1,True
0,mi,residualized,0.7586363636363636,-0.002272727272727426,10.0,11,1,True
0,erp,raw,0.6498209366391186,0.0,1.0,11,1,True
0,erp,erase_UL,0.6502617079889808,0.00044077134986220123,1.0,11,1,True
0,erp,erase_UM,0.6538567493112948,0.004035812672176231,1.0,11,1,True
0,erp,erase_UL+UM,0.6470661157024793,-0.0027548209366392573,1.0,11,1,True
0,erp,UL_only,0.5500964187327824,-0.09972451790633619,1.0,11,1,True
0,erp,UM_only,0.5544352617079891,-0.09538567493112948,1.0,11,1,True
0,erp,residualized,0.6498347107438016,1.377410468306195e-05,1.0,11,1,True
0,ssvep,raw,0.9086363636363636,0.0,0.01,11,1,True
0,ssvep,erase_UL,0.8577272727272727,-0.050909090909090904,0.01,11,1,True
0,ssvep,erase_UM,0.849090909090909,-0.05954545454545457,0.01,11,1,True
0,ssvep,erase_UL+UM,0.8545454545454545,-0.05409090909090908,0.01,11,1,True
0,ssvep,UL_only,0.8509090909090908,-0.05772727272727274,0.01,11,1,True
0,ssvep,UM_only,0.9068181818181817,-0.0018181818181818299,0.01,11,1,True
0,ssvep,residualized,0.9163636363636363,0.007727272727272694,0.01,11,1,True
1,mi,raw,0.7486363636363635,0.0,0.01,11,1,True
1,mi,erase_UL,0.7159090909090909,-0.032727272727272605,0.01,11,1,True
1,mi,erase_UM,0.7072727272727273,-0.04136363636363627,0.01,11,1,True
1,mi,erase_UL+UM,0.6795454545454546,-0.06909090909090898,0.01,11,1,True
1,mi,UL_only,0.6945454545454546,-0.05409090909090897,0.01,11,1,True
1,mi,UM_only,0.645,-0.10363636363636353,0.01,11,1,True
1,mi,residualized,0.7418181818181818,-0.006818181818181723,0.01,11,1,True
1,erp,raw,0.649724517906336,0.0,100.0,11,1,True
1,erp,erase_UL,0.6490771349862259,-0.0006473829201101289,100.0,11,1,True
1,erp,erase_UM,0.6479889807162534,-0.00173553719008257,100.0,11,1,True
1,erp,erase_UL+UM,0.6450550964187327,-0.004669421487603298,100.0,11,1,True
1,erp,UL_only,0.5397245179063361,-0.10999999999999988,100.0,11,1,True
1,erp,UM_only,0.542465564738292,-0.10725895316804401,100.0,11,1,True
1,erp,residualized,0.6488429752066116,-0.0008815426997244025,100.0,11,1,True
1,ssvep,raw,0.9272727272727274,0.0,100.0,11,1,True
1,ssvep,erase_UL,0.9204545454545455,-0.006818181818181834,100.0,11,1,True
1,ssvep,erase_UM,0.9127272727272727,-0.014545454545454639,100.0,11,1,True
1,ssvep,erase_UL+UM,0.9013636363636364,-0.025909090909090993,100.0,11,1,True
1,ssvep,UL_only,0.85,-0.07727272727272738,100.0,11,1,True
1,ssvep,UM_only,0.8745454545454546,-0.052727272727272734,100.0,11,1,True
1,ssvep,residualized,0.9245454545454546,-0.0027272727272728003,100.0,11,1,True
2,mi,raw,0.6818181818181819,0.0,0.1,11,1,True
2,mi,erase_UL,0.6577272727272727,-0.024090909090909163,0.1,11,1,True
