fold,seed,subject_id,method,perturbation,draw,BA,logit_RMS,margin_RMS
0,0,15,B0_VANILLA_EEGNET,channel_dropout,0,0.86,1.1603517532348633,2.2424070835113525
0,0,15,A2_SOURCE_ONLY,channel_dropout,0,0.87,1.2753124237060547,2.3044917583465576
0,0,15,PUD_SOURCE_ONLY,channel_dropout,0,0.75,1.23167085647583,2.350094795227051
0,0,15,IDENTITY_SOURCE_ONLY,channel_dropout,0,0.8200000000000001,1.129854440689087,2.1703898906707764
0,0,15,RANDOM_SOURCE_ONLY,channel_dropout,0,0.8799999999999999,1.1044362783432007,2.1212334632873535
0,0,15,B0_VANILLA_EEGNET,channel_dropout,1,0.74,1.1605159044265747,2.2408065795898438
0,0,15,A2_SOURCE_ONLY,channel_dropout,1,0.86,1.3092679977416992,2.391144037246704
0,0,15,PUD_SOURCE_ONLY,channel_dropout,1,0.72,1.2128832340240479,2.3188536167144775
0,0,15,IDENTITY_SOURCE_ONLY,channel_dropout,1,0.76,1.0932201147079468,2.095228672027588
0,0,15,RANDOM_SOURCE_ONLY,channel_dropout,1,0.75,1.1461749076843262,2.2130770683288574
0,0,15,B0_VANILLA_EEGNET,channel_dropout,2,0.85,1.051804780960083,1.9897409677505493
0,0,15,A2_SOURCE_ONLY,channel_dropout,2,0.8500000000000001,1.3260079622268677,2.3605499267578125
0,0,15,PUD_SOURCE_ONLY,channel_dropout,2,0.64,1.3177045583724976,2.5207161903381348
0,0,15,IDENTITY_SOURCE_ONLY,channel_dropout,2,0.77,1.159937858581543,2.222686767578125
0,0,15,RANDOM_SOURCE_ONLY,channel_dropout,2,0.81,1.149249792098999,2.1959214210510254
0,0,15,B0_VANILLA_EEGNET,channel_dropout,3,0.79,1.027611494064331,1.967995285987854
0,0,15,A2_SOURCE_ONLY,channel_dropout,3,0.84,1.269134521484375,2.2837913036346436
0,0,15,PUD_SOURCE_ONLY,channel_dropout,3,0.68,1.2254422903060913,2.3354451656341553
0,0,15,IDENTITY_SOURCE_ONLY,channel_dropout,3,0.79,1.08900785446167,2.076366901397705
0,0,15,RANDOM_SOURCE_ONLY,channel_dropout,3,0.81,1.126683235168457,2.1666903495788574
0,0,15,B0_VANILLA_EEGNET,channel_dropout,4,0.9099999999999999,1.177583932876587,2.2714831829071045
