method,seed,BA
Full-Teacher-KD-Aux,0,0.7785
Full-Teacher-KD-Aux,1,0.78025
Full-Teacher-KD-Aux,2,0.7787499999999999
Identity-Aux,0,0.7695000000000001
Identity-Aux,1,0.77
Identity-Aux,2,0.77525
P-only-Aux,0,0.77675
P-only-Aux,1,0.7809999999999999
P-only-Aux,2,0.78
PUD-Aux,0,0.7755
PUD-Aux,1,0.7665
PUD-Aux,2,0.7885
Random-Aux,0,0.7775000000000001
Random-Aux,1,0.76875
Random-Aux,2,0.782
Vanilla,0,0.78425
Vanilla,1,0.78625
Vanilla,2,0.788
