method,pooled_BA,delta_vs_vanilla
Full-Teacher-KD-Aux,0.7791666666666667,-0.007000000000000006
Identity-Aux,0.7715833333333334,-0.014583333333333282
P-only-Aux,0.77925,-0.006916666666666682
PUD-Aux,0.7768333333333334,-0.009333333333333305
Random-Aux,0.7760833333333333,-0.010083333333333333
Vanilla,0.7861666666666667,0.0
