fold,seed,method,lambda,inner_validation_BA,selected,epochs
0,0,Random-Aux,0.05,0.729375,False,38
0,0,Random-Aux,0.1,0.746875,False,40
0,0,Random-Aux,0.25,0.746875,True,35
0,0,Identity-Aux,0.05,0.74875,False,40
0,0,Identity-Aux,0.1,0.76,False,39
0,0,Identity-Aux,0.25,0.7462500000000001,True,36
0,0,Full-Teacher-KD-Aux,0.05,0.753125,False,34
0,0,Full-Teacher-KD-Aux,0.1,0.76625,False,39
0,0,Full-Teacher-KD-Aux,0.25,0.776875,True,38
0,0,P-only-Aux,0.05,0.76,False,36
0,0,P-only-Aux,0.1,0.7625,False,38
0,0,P-only-Aux,0.25,0.7581249999999999,True,38
0,0,PUD-Aux,0.05,0.753125,False,39
0,0,PUD-Aux,0.1,0.74875,False,39
0,0,PUD-Aux,0.25,0.78,True,38
0,1,Random-Aux,0.05,0.76125,False,39
0,1,Random-Aux,0.1,0.74,False,40
0,1,Random-Aux,0.25,0.7625,True,40
0,1,Identity-Aux,0.05,0.748125,False,35
0,1,Identity-Aux,0.1,0.7537499999999999,False,40
0,1,Identity-Aux,0.25,0.7362500000000001,True,39
0,1,Full-Teacher-KD-Aux,0.05,0.77,False,38
0,1,Full-Teacher-KD-Aux,0.1,0.75375,False,39
0,1,Full-Teacher-KD-Aux,0.25,0.750625,True,40
0,1,P-only-Aux,0.05,0.7262500000000001,False,40
0,1,P-only-Aux,0.1,0.73375,False,36
0,1,P-only-Aux,0.25,0.75625,True,40
0,1,PUD-Aux,0.05,0.7337500000000001,False,23
0,1,PUD-Aux,0.1,0.7525,False,40
0,1,PUD-Aux,0.25,0.77125,True,40
0,2,Random-Aux,0.05,0.756875,False,40
0,2,Random-Aux,0.1,0.746875,False,40
0,2,Random-Aux,0.25,0.7418750000000001,True,38
0,2,Identity-Aux,0.05,0.763125,False,40
0,2,Identity-Aux,0.1,0.73,False,34
0,2,Identity-Aux,0.25,0.745,True,39
0,2,Full-Teacher-KD-Aux,0.05,0.7487499999999999,False,35
0,2,Full-Teacher-KD-Aux,0.1,0.75875,False,40
0,2,Full-Teacher-KD-Aux,0.25,0.764375,True,36
0,2,P-only-Aux,0.05,0.765625,False,40
0,2,P-only-Aux,0.1,0.756875,False,39
