fold,seed,component,directions
0,0,PUD,6
0,0,P,19
0,0,PU,19
0,0,PD,19
0,0,IDENTITY,0
0,0,RANDOM,0
0,0,PCA,0
0,1,PUD,4
0,1,P,18
0,1,PU,18
0,1,PD,18
0,1,IDENTITY,0
0,1,RANDOM,0
0,1,PCA,0
0,2,PUD,7
0,2,P,17
0,2,PU,17
0,2,PD,17
0,2,IDENTITY,0
0,2,RANDOM,0
0,2,PCA,0
1,0,PUD,8
1,0,P,19
1,0,PU,19
1,0,PD,19
1,0,IDENTITY,0
1,0,RANDOM,0
1,0,PCA,0
1,1,PUD,6
1,1,P,18
1,1,PU,18
1,1,PD,18
1,1,IDENTITY,0
1,1,RANDOM,0
1,1,PCA,0
1,2,PUD,5
1,2,P,19
1,2,PU,19
1,2,PD,19
1,2,IDENTITY,0
1,2,RANDOM,0
1,2,PCA,0
2,0,PUD,5
2,0,P,19
2,0,PU,19
2,0,PD,19
2,0,IDENTITY,0
2,0,RANDOM,0
2,0,PCA,0
2,1,PUD,6
2,1,P,20
2,1,PU,20
2,1,PD,20
2,1,IDENTITY,0
2,1,RANDOM,0
2,1,PCA,0
2,2,PUD,6
2,2,P,18
2,2,PU,18
2,2,PD,18
2,2,IDENTITY,0
2,2,RANDOM,0
2,2,PCA,0
3,0,PUD,7
3,0,P,17
3,0,PU,17
3,0,PD,17
3,0,IDENTITY,0
3,0,RANDOM,0
3,0,PCA,0
3,1,PUD,6
3,1,P,19
3,1,PU,19
3,1,PD,19
3,1,IDENTITY,0
3,1,RANDOM,0
3,1,PCA,0
3,2,PUD,6
3,2,P,17
3,2,PU,17
3,2,PD,17
3,2,IDENTITY,0
3,2,RANDOM,0
3,2,PCA,0
4,0,PUD,4
4,0,P,18
4,0,PU,18
4,0,PD,18
4,0,IDENTITY,0
4,0,RANDOM,0
4,0,PCA,0
4,1,PUD,5
4,1,P,20
4,1,PU,20
4,1,PD,20
4,1,IDENTITY,0
4,1,RANDOM,0
4,1,PCA,0
4,2,PUD,4
4,2,P,20
4,2,PU,20
4,2,PD,20
4,2,IDENTITY,0
4,2,RANDOM,0
4,2,PCA,0
