method,fold,seed,subject_id,protected_logit_RMS,adaptive_logit_RMS,protected_margin_RMS,adaptive_margin_RMS,R_P,prediction_disagreement,combined_BA,protected_only_BA,adaptive_only_BA,protected_erase_harm
A2_SOURCE_ONLY,0,0,15,0.7116989493370056,0.9172863364219666,1.1507245302200317,1.5884445905685425,0.4200998544692993,0.2,0.89,0.71,0.87,0.020000000000000018
A2_SOURCE_ONLY,0,0,19,0.6854889392852783,0.9425322413444519,1.124607801437378,1.607886552810669,0.41156819462776184,0.34,0.73,0.6,0.76,-0.030000000000000027
A2_SOURCE_ONLY,0,0,32,0.9062401056289673,0.8528023362159729,1.3708477020263672,1.4909027814865112,0.47902417182922363,0.36,0.7,0.5900000000000001,0.73,-0.030000000000000027
A2_SOURCE_ONLY,0,0,33,0.7773565053939819,1.1128666400909424,1.2377783060073853,2.068331241607666,0.37439119815826416,0.26,0.79,0.78,0.76,0.030000000000000027
A2_SOURCE_ONLY,0,0,41,0.7590000033378601,0.8482052683830261,1.2670400142669678,1.4604085683822632,0.4645514190196991,0.34,0.78,0.77,0.63,0.15000000000000002
A2_SOURCE_ONLY,0,0,46,0.8987876176834106,0.8998691439628601,1.557525873184204,1.6510615348815918,0.4854241609573364,0.4,0.6699999999999999,0.5900000000000001,0.77,-0.10000000000000009
A2_SOURCE_ONLY,0,0,47,0.8533427119255066,0.9586200714111328,1.4902479648590088,1.8196741342544556,0.45023655891418457,0.16,0.96,0.87,0.9099999999999999,0.050000000000000044
A2_SOURCE_ONLY,0,0,49,0.7997498512268066,0.9738725423812866,1.3196203708648682,1.716412901878357,0.43465280532836914,0.3,0.85,0.79,0.85,0.0
PUD_SOURCE_ONLY,0,0,15,1.02211332321167,0.6121872067451477,1.9863008260726929,0.97011399269104,0.6718613505363464,0.51,0.77,0.8400000000000001,0.55,0.21999999999999997
PUD_SOURCE_ONLY,0,0,19,0.8024792075157166,0.596015214920044,1.5206944942474365,0.9221583604812622,0.6225075721740723,0.47,0.7,0.71,0.54,0.15999999999999992
PUD_SOURCE_ONLY,0,0,32,1.1041728258132935,0.6859272718429565,2.1400370597839355,1.2133522033691406,0.638171374797821,0.51,0.63,0.6599999999999999,0.63,0.0
PUD_SOURCE_ONLY,0,0,33,0.9328262209892273,0.6070394515991211,1.778701901435852,1.0282145738601685,0.6336853504180908,0.4,0.8,0.81,0.5900000000000001,0.20999999999999996
PUD_SOURCE_ONLY,0,0,41,1.0127451419830322,0.6712844371795654,1.9642584323883057,1.0356050729751587,0.6547825932502747,0.45,0.74,0.74,0.61,0.13
PUD_SOURCE_ONLY,0,0,46,1.0684723854064941,0.6490651965141296,2.0897111892700195,1.0439050197601318,0.6668689250946045,0.37,0.61,0.6000000000000001,0.59,0.020000000000000018
PUD_SOURCE_ONLY,0,0,47,0.995542049407959,0.658261775970459,1.942591905593872,0.9102247357368469,0.6809382438659668,0.45,0.94,0.8200000000000001,0.69,0.25
PUD_SOURCE_ONLY,0,0,49,1.0869581699371338,0.6708775162696838,2.1208980083465576,1.0927263498306274,0.6599707007408142,0.44,0.79,0.76,0.7,0.09000000000000008
IDENTITY_SOURCE_ONLY,0,0,15,0.3583775758743286,1.1431230306625366,0.3823015093803406,2.1766278743743896,0.14939899742603302,0.42,0.8400000000000001,0.54,0.8,0.040000000000000036
IDENTITY_SOURCE_ONLY,0,0,19,0.3891655504703522,1.068658471107483,0.39519500732421875,1.9375278949737549,0.16941361129283905,0.48,0.7,0.62,0.7,0.0
IDENTITY_SOURCE_ONLY,0,0,32,0.4412120580673218,1.109484314918518,0.6392695307731628,2.1128571033477783,0.23228201270103455,0.37,0.6599999999999999,0.6599999999999999,0.63,0.029999999999999916
IDENTITY_SOURCE_ONLY,0,0,33,0.38181623816490173,1.2062788009643555,0.3754211664199829,2.328026294708252,0.1388675719499588,0.41,0.8400000000000001,0.5800000000000001,0.8300000000000001,0.010000000000000009
IDENTITY_SOURCE_ONLY,0,0,41,0.40422290563583374,1.159118413925171,0.6049484014511108,2.163194179534912,0.21853946149349213,0.44,0.77,0.56,0.76,0.010000000000000009
IDENTITY_SOURCE_ONLY,0,0,46,0.3893822431564331,1.2556095123291016,0.5209847092628479,2.4293086528778076,0.17658743262290955,0.41,0.6599999999999999,0.5,0.67,-0.01000000000000012
IDENTITY_SOURCE_ONLY,0,0,47,0.3878718912601471,1.307224988937378,0.5029821991920471,2.4834744930267334,0.16842105984687805,0.42,0.8999999999999999,0.5700000000000001,0.9299999999999999,-0.030000000000000027
IDENTITY_SOURCE_ONLY,0,0,49,0.4104698896408081,1.2014597654342651,0.46039968729019165,2.2796356678009033,0.16802692413330078,0.39,0.86,0.59,0.86,0.0
RANDOM_SOURCE_ONLY,0,0,15,0.5005011558532715,1.0596919059753418,0.7127591967582703,2.009011745452881,0.2618733048439026,0.46,0.8500000000000001,0.55,0.83,0.02000000000000013
RANDOM_SOURCE_ONLY,0,0,19,0.444259911775589,1.0074036121368408,0.45070722699165344,1.8297401666641235,0.1976398229598999,0.5,0.7,0.49,0.69,0.010000000000000009
RANDOM_SOURCE_ONLY,0,0,32,0.563884437084198,1.0289915800094604,0.8963932394981384,1.948889970779419,0.3150453269481659,0.37,0.66,0.55,0.64,0.020000000000000018
RANDOM_SOURCE_ONLY,0,0,33,0.45692119002342224,1.1563619375228882,0.5110900402069092,2.2350263595581055,0.18611375987529755,0.47,0.8200000000000001,0.58,0.81,0.010000000000000009
RANDOM_SOURCE_ONLY,0,0,41,0.4668090045452118,1.1358410120010376,0.6475196480751038,2.1027908325195312,0.2354351133108139,0.46,0.79,0.61,0.75,0.040000000000000036
RANDOM_SOURCE_ONLY,0,0,46,0.48375415802001953,1.1447676420211792,0.73103266954422,2.213876724243164,0.2482360601425171,0.29,0.62,0.56,0.63,-0.010000000000000009
RANDOM_SOURCE_ONLY,0,0,47,0.44531333446502686,1.200494647026062,0.6301540732383728,2.2869675159454346,0.21601912379264832,0.39,0.88,0.6799999999999999,0.87,0.010000000000000009
RANDOM_SOURCE_ONLY,0,0,49,0.5004562735557556,1.0809879302978516,0.7078841328620911,2.0376312732696533,0.2578328847885132,0.29,0.81,0.72,0.83,-0.019999999999999907
A2_SOURCE_ONLY,0,1,15,0.7643933296203613,0.8509699106216431,1.2761828899383545,1.3864030838012695,0.4793020486831665,0.24,0.87,0.74,0.84,0.030000000000000027
A2_SOURCE_ONLY,0,1,19,0.6787603497505188,0.8856519460678101,1.1592650413513184,1.4513362646102905,0.4440605342388153,0.32,0.7,0.64,0.72,-0.020000000000000018
A2_SOURCE_ONLY,0,1,32,0.7834759950637817,0.897708535194397,1.3956080675125122,1.5541197061538696,0.4731311500072479,0.35,0.69,0.62,0.71,-0.020000000000000018
