method,fold,seed,subject_id,BA,macro_f1,n_trials
Full-Teacher-KD-Aux,0,0,15,0.88,0.8798076923076923,100
Full-Teacher-KD-Aux,0,0,19,0.75,0.7479584635547938,100
Full-Teacher-KD-Aux,0,0,32,0.6100000000000001,0.6090225563909775,100
Full-Teacher-KD-Aux,0,0,33,0.83,0.8270776116366596,100
Full-Teacher-KD-Aux,0,0,41,0.8,0.7992773986350863,100
Full-Teacher-KD-Aux,0,0,46,0.6699999999999999,0.6683750376846548,100
Full-Teacher-KD-Aux,0,0,47,0.8200000000000001,0.8152709359605912,100
Full-Teacher-KD-Aux,0,0,49,0.89,0.8899889988998899,100
Full-Teacher-KD-Aux,0,1,15,0.8500000000000001,0.849624060150376,100
Full-Teacher-KD-Aux,0,1,19,0.77,0.7694235588972431,100
Full-Teacher-KD-Aux,0,1,32,0.7,0.6989160979526294,100
Full-Teacher-KD-Aux,0,1,33,0.86,0.8590982286634461,100
Full-Teacher-KD-Aux,0,1,41,0.77,0.769792813532179,100
Full-Teacher-KD-Aux,0,1,46,0.65,0.612789025334661,100
Full-Teacher-KD-Aux,0,1,47,0.89,0.8891017239641092,100
Full-Teacher-KD-Aux,0,1,49,0.85,0.8481627695110842,100
Full-Teacher-KD-Aux,0,2,15,0.8500000000000001,0.849624060150376,100
Full-Teacher-KD-Aux,0,2,19,0.72,0.7171717171717171,100
Full-Teacher-KD-Aux,0,2,32,0.69,0.6899689968996899,100
Full-Teacher-KD-Aux,0,2,33,0.77,0.7660461804495982,100
Full-Teacher-KD-Aux,0,2,41,0.72,0.719551282051282,100
Full-Teacher-KD-Aux,0,2,46,0.64,0.6376811594202898,100
Full-Teacher-KD-Aux,0,2,47,0.88,0.8782467532467533,100
Full-Teacher-KD-Aux,0,2,49,0.82,0.8173701298701299,100
Full-Teacher-KD-Aux,1,0,2,0.77,0.769792813532179,100
Full-Teacher-KD-Aux,1,0,14,0.74,0.7373737373737375,100
Full-Teacher-KD-Aux,1,0,34,0.71,0.7085720028137876,100
Full-Teacher-KD-Aux,1,0,40,0.72,0.7028862478777589,100
Full-Teacher-KD-Aux,1,0,43,0.87,0.8693598633303186,100
Full-Teacher-KD-Aux,1,0,44,0.84,0.8368013055895553,100
Full-Teacher-KD-Aux,1,0,48,0.7,0.6998799519807923,100
Full-Teacher-KD-Aux,1,0,50,0.6,0.586606035551881,100
Full-Teacher-KD-Aux,1,1,2,0.81,0.8090644156366193,100
Full-Teacher-KD-Aux,1,1,14,0.72,0.7181964573268921,100
Full-Teacher-KD-Aux,1,1,34,0.72,0.7198879551820728,100
Full-Teacher-KD-Aux,1,1,40,0.8300000000000001,0.8295739348370927,100
Full-Teacher-KD-Aux,1,1,43,0.87,0.8689384010484928,100
Full-Teacher-KD-Aux,1,1,44,0.73,0.7149192271143491,100
