component,from,to,mean_delta,median_delta,ci95_l,ci95_u,positive_subjects,negative_subjects,n_subjects
T_factorization_Dual_minus_Vanilla,B0_VANILLA_EEGNET,A2_SOURCE_ONLY,-0.008500000000000013,0.0,-0.020249999999999983,0.002249999999999963,19,18,40
T_PUD_PUD_minus_Dual,A2_SOURCE_ONLY,PUD_SOURCE_ONLY,-0.021166666666666657,-0.014999999999999958,-0.029583333333333316,-0.013166666666666651,6,31,40
T_adaptation_Adapted_minus_PUD,PUD_SOURCE_ONLY,PUD_AFTER_ADAPT,0.007416666666666663,0.00666666666666671,0.0031666666666666623,0.011752083333333304,26,10,40
PUD_minus_Strong,B1_STRONG_EEGNET,PUD_SOURCE_ONLY,-0.034999999999999996,-0.030000000000000138,-0.04724999999999998,-0.023666666666666683,5,33,40
