method,fold,seed,subject_id,NLL,Brier,ECE,confidence,entropy,margin_mean,margin_std,overconfident_error_fraction
B0_VANILLA_EEGNET,0,0,15,0.3382708217875844,0.19474685807509953,0.059150334000587494,0.8274080157279968,0.40227648615837097,0.14235886931419373,2.244337797164917,0.03
B0_VANILLA_EEGNET,0,0,19,0.5215823214380378,0.3392021772003324,0.08504229962825775,0.8190107941627502,0.3960115313529968,-0.6266191005706787,2.2894089221954346,0.11
B0_VANILLA_EEGNET,0,0,32,0.6192751279313575,0.4085656052376445,0.11617923915386201,0.8161792755126953,0.4090036153793335,0.06019878387451172,2.3316774368286133,0.12
B0_VANILLA_EEGNET,0,0,33,0.3597859675081551,0.22831871156027844,0.04477536201477053,0.8282028436660767,0.3550160527229309,-1.1264445781707764,2.612360954284668,0.05
B0_VANILLA_EEGNET,0,0,41,0.5761313383715606,0.3728388893329906,0.09814464151859285,0.8022345900535583,0.4154890477657318,-1.042033076286316,2.1044487953186035,0.1
B0_VANILLA_EEGNET,0,0,46,0.8388830189266983,0.5207302306450279,0.22589364111423493,0.8598445653915405,0.3260723948478699,1.5725115537643433,2.3416051864624023,0.19
B0_VANILLA_EEGNET,0,0,47,0.23321442693489783,0.13292641666547955,0.09140684306621553,0.8430111408233643,0.3596761226654053,0.03959304094314575,2.5594642162323,0.0
B0_VANILLA_EEGNET,0,0,49,0.34292090777715745,0.21077770645400373,0.04433889567852022,0.8581854104995728,0.33561351895332336,-0.8940082788467407,2.5864639282226562,0.06
A2_SOURCE_ONLY,0,0,15,0.32701249365797613,0.18349027046624605,0.06873432517051699,0.8345391154289246,0.3835103511810303,0.0337115079164505,2.479027032852173,0.03
A2_SOURCE_ONLY,0,0,19,0.5987905367848818,0.389617844157154,0.09073325753211978,0.813209056854248,0.40885043144226074,-0.36781615018844604,2.2741613388061523,0.13
A2_SOURCE_ONLY,0,0,32,0.6582379228748829,0.4472942228528071,0.15852066457271574,0.8174054026603699,0.4092470407485962,0.5707141160964966,2.250836133956909,0.14
A2_SOURCE_ONLY,0,0,33,0.4480720408259142,0.2918229458957039,0.09296371996402739,0.8681150674819946,0.3191334009170532,-1.4937448501586914,2.59633469581604,0.08
A2_SOURCE_ONLY,0,0,41,0.5305120587091533,0.3420562134276714,0.10867350161075595,0.8226885795593262,0.3918973207473755,0.37993621826171875,2.3862788677215576,0.1
A2_SOURCE_ONLY,0,0,46,0.6113526674759171,0.42310374065544676,0.15474360287189481,0.8247437477111816,0.37677082419395447,0.9064110517501831,2.5034101009368896,0.14
A2_SOURCE_ONLY,0,0,47,0.1874738201420272,0.09952125939991721,0.0805736494064331,0.8794264793395996,0.3035225570201874,-0.25451943278312683,2.948603630065918,0.01
A2_SOURCE_ONLY,0,0,49,0.28770206303338375,0.17873665549712794,0.06856457173824311,0.8387344479560852,0.3612583875656128,-0.31097427010536194,2.6917500495910645,0.02
PUD_SOURCE_ONLY,0,0,15,0.4763420384414894,0.2925370394539225,0.05876039147377014,0.8040907979011536,0.41502636671066284,0.733894407749176,2.226630449295044,0.04
PUD_SOURCE_ONLY,0,0,19,0.6317559704043306,0.4229000778187171,0.12273380160331727,0.7664780616760254,0.47803452610969543,-0.07424897700548172,1.7870652675628662,0.09
PUD_SOURCE_ONLY,0,0,32,0.8160397511206172,0.5152253190777689,0.17788057029247284,0.8078805804252625,0.4106081426143646,0.14208121597766876,2.3682878017425537,0.17
PUD_SOURCE_ONLY,0,0,33,0.44263604685192603,0.29289176415343077,0.061063869595527634,0.8003126382827759,0.4311317205429077,-0.4188365042209625,2.085331678390503,0.05
PUD_SOURCE_ONLY,0,0,41,0.5584122405882104,0.3745359940532025,0.09901070356369018,0.8216468095779419,0.398396760225296,-0.15793882310390472,2.3834707736968994,0.13
PUD_SOURCE_ONLY,0,0,46,0.7550708417979007,0.5100456942072029,0.21294126868247987,0.8229413032531738,0.38852179050445557,0.4997209906578064,2.4813249111175537,0.17
PUD_SOURCE_ONLY,0,0,47,0.26476435409687826,0.1500958662544822,0.1270953446626663,0.8129047155380249,0.4011848568916321,0.25020039081573486,2.340754270553589,0.01
