method,fold,subject_id,BA,macro_f1,seeds,n_trials,B0_BA,Delta_BA_vs_B0,seed,combined_BA,protected_only_BA,adaptive_only_BA,protected_branch_erasure_harm_BA,adaptive_branch_erasure_harm_BA,protected_D_finite,adaptive_D_finite,functional_teacher_target,functional_teacher_RMSE,functional_teacher_correlation,target_history_labels_used,internal_holdout_used,WBCIC_outer_used,provenance_subject,provenance_mechanism,protocol,evaluation_session
A2_SOURCE_ONLY,0,15,0.8733333333333334,0.8732612684749608,3,300,0.8966666666666666,-0.0233333333333332,0.0,0.89,0.71,0.87,0.02,0.18,0.8136851144667038,1.1231998948381554,PUD_PROJECTED_TEACHER_LOGITS,0.7063954112219453,0.7232036935277117,False,False,False,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_subject_results.csv,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\mechanism_raw.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,2
A2_SOURCE_ONLY,0,15,0.8733333333333334,0.8732612684749608,3,300,0.8966666666666666,-0.0233333333333332,1.0,0.87,0.74,0.84,0.03,0.13,0.9023976339099428,0.9803350440182862,PUD_PROJECTED_TEACHER_LOGITS,0.7028188342827236,0.7376324672716165,False,False,False,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_subject_results.csv,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\mechanism_raw.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,2
A2_SOURCE_ONLY,0,15,0.8733333333333334,0.8732612684749608,3,300,0.8966666666666666,-0.0233333333333332,2.0,0.86,0.6,0.76,0.0999999999999999,0.26,1.0192230834794058,1.3319296292665794,PUD_PROJECTED_TEACHER_LOGITS,1.044778181271976,0.3245272172222702,False,False,False,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_subject_results.csv,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\mechanism_raw.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,2
A2_SOURCE_ONLY,0,19,0.6999999999999998,0.698366770843835,3,300,0.7333333333333334,-0.0333333333333335,0.0,0.73,0.6,0.76,-0.03,0.13,0.7952178013807005,1.13694753747212,PUD_PROJECTED_TEACHER_LOGITS,0.8452395739653302,0.543502450079073,False,False,False,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_subject_results.csv,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\mechanism_raw.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,2
A2_SOURCE_ONLY,0,19,0.6999999999999998,0.698366770843835,3,300,0.7333333333333334,-0.0333333333333335,1.0,0.7,0.64,0.72,-0.02,0.0599999999999999,0.8197242230031703,1.0262497299680011,PUD_PROJECTED_TEACHER_LOGITS,0.6639221732089352,0.6797367437355294,False,False,False,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_subject_results.csv,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\mechanism_raw.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,2
A2_SOURCE_ONLY,0,19,0.6999999999999998,0.698366770843835,3,300,0.7333333333333334,-0.0333333333333335,2.0,0.6699999999999999,0.71,0.63,0.0399999999999999,-0.04,0.9584991139177312,1.1537810897702343,PUD_PROJECTED_TEACHER_LOGITS,0.8040838926801315,0.4603785710750299,False,False,False,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_subject_results.csv,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\mechanism_raw.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,2
A2_SOURCE_ONLY,0,32,0.6866666666666665,0.6860193423943821,3,300,0.69,-0.0033333333333334,0.0,0.7,0.5900000000000001,0.73,-0.03,0.1099999999999998,0.9693356854366116,1.0542274789221453,PUD_PROJECTED_TEACHER_LOGITS,0.7602377682309787,0.6289145817000508,False,False,False,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_subject_results.csv,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\mechanism_raw.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,2
A2_SOURCE_ONLY,0,32,0.6866666666666665,0.6860193423943821,3,300,0.69,-0.0033333333333334,1.0,0.69,0.62,0.71,-0.02,0.0699999999999999,0.9868439078558444,1.0989285879191242,PUD_PROJECTED_TEACHER_LOGITS,0.7717675448647126,0.5132545906054635,False,False,False,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_subject_results.csv,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\mechanism_raw.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,2
A2_SOURCE_ONLY,0,32,0.6866666666666665,0.6860193423943821,3,300,0.69,-0.0033333333333334,2.0,0.6699999999999999,0.64,0.67,-1.1102230246251563e-16,0.0299999999999999,0.9632412408833088,1.3566477397012653,PUD_PROJECTED_TEACHER_LOGITS,0.9649370771956454,0.3674201147149666,False,False,False,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_subject_results.csv,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\mechanism_raw.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,2
A2_SOURCE_ONLY,0,33,0.8133333333333334,0.8086284874709161,3,300,0.8066666666666666,0.0066666666666667,0.0,0.79,0.78,0.76,0.03,0.01,0.8752414587771523,1.462531099686661,PUD_PROJECTED_TEACHER_LOGITS,0.9408598437239516,0.6568927671286374,False,False,False,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_subject_results.csv,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\mechanism_raw.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,2
