method,fold,BA
Full-Teacher-KD-Aux,0,0.7783333333333333
Full-Teacher-KD-Aux,1,0.7483333333333334
Full-Teacher-KD-Aux,2,0.7591666666666667
Full-Teacher-KD-Aux,3,0.8054166666666666
Full-Teacher-KD-Aux,4,0.8045833333333333
Identity-Aux,0,0.7766666666666667
Identity-Aux,1,0.7475
Identity-Aux,2,0.7629166666666666
Identity-Aux,3,0.7916666666666666
Identity-Aux,4,0.7791666666666667
P-only-Aux,0,0.7816666666666667
P-only-Aux,1,0.7316666666666666
P-only-Aux,2,0.78125
P-only-Aux,3,0.7958333333333334
P-only-Aux,4,0.8058333333333333
PUD-Aux,0,0.775
PUD-Aux,1,0.74375
PUD-Aux,2,0.7829166666666666
PUD-Aux,3,0.7912500000000001
PUD-Aux,4,0.7912499999999999
Random-Aux,0,0.7845833333333334
Random-Aux,1,0.745
Random-Aux,2,0.7529166666666667
Random-Aux,3,0.7958333333333334
Random-Aux,4,0.8020833333333334
Vanilla,0,0.7904166666666667
Vanilla,1,0.7466666666666666
Vanilla,2,0.7908333333333334
Vanilla,3,0.7925
Vanilla,4,0.8104166666666667
