method,fold,BA,macro_f1,B0_BA,Delta_BA_vs_B0,provenance,protocol,seed
A2_SOURCE_ONLY,0.0,0.7904166666666667,0.7881222520567529,0.7904166666666667,0.0,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
A2_SOURCE_ONLY,1.0,0.7487499999999999,0.7433188766791292,0.7466666666666666,0.0020833333333333,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
A2_SOURCE_ONLY,2.0,0.7470833333333333,0.7443935037321069,0.7908333333333334,-0.04375,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
A2_SOURCE_ONLY,3.0,0.7979166666666666,0.7941937108871064,0.7925,0.0054166666666666,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
A2_SOURCE_ONLY,4.0,0.8041666666666667,0.8015450526058104,0.8104166666666667,-0.0062499999999999,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
B0_VANILLA_EEGNET,0.0,0.7904166666666667,0.7867107331958255,0.7904166666666667,0.0,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
B0_VANILLA_EEGNET,1.0,0.7466666666666666,0.7396495854814468,0.7466666666666666,0.0,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
B0_VANILLA_EEGNET,2.0,0.7908333333333334,0.7898935400012128,0.7908333333333334,0.0,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
B0_VANILLA_EEGNET,3.0,0.7925,0.7888840417206532,0.7925,0.0,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
B0_VANILLA_EEGNET,4.0,0.8104166666666667,0.806584565230659,0.8104166666666667,0.0,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
B1_STRONG_EEGNET,0.0,0.7754166666666666,0.774080761753548,0.7904166666666667,-0.015,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
B1_STRONG_EEGNET,1.0,0.7604166666666666,0.755460542777053,0.7466666666666666,0.01375,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
B1_STRONG_EEGNET,2.0,0.7908333333333334,0.7898935400012128,0.7908333333333334,0.0,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
B1_STRONG_EEGNET,3.0,0.8204166666666667,0.8170062159424972,0.7925,0.0279166666666667,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
B1_STRONG_EEGNET,4.0,0.8104166666666667,0.806584565230659,0.8104166666666667,0.0,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
IDENTITY_SOURCE_ONLY,0.0,0.7704166666666666,0.7691802313333382,0.7904166666666667,-0.02,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
IDENTITY_SOURCE_ONLY,1.0,0.7400000000000001,0.7336727372618173,0.7466666666666666,-0.0066666666666664,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
IDENTITY_SOURCE_ONLY,2.0,0.7425,0.740350027029447,0.7908333333333334,-0.0483333333333333,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
