task,fold,session,variant,mean_relative_P_movement,median_relative_P_movement,max_C_preservation_abs_error,label
OpenBMI_MI,2,S1,PCA_POSITIVE_ONLY_ROUTING,0.09214199334383011,0.07430422306060791,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,SHUFFLED_UTILITY_ROUTING,0.07740554958581924,0.06221165135502815,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,PCA_SIGNED_UTILITY_ROUTING,0.09295366704463959,0.07533279061317444,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,RANDOM_BASIS_0,0.005814817268401384,0.0045928312465548515,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,RANDOM_BASIS_1,0.006077045574784279,0.005016074050217867,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,RANDOM_BASIS_2,0.005494351964443922,0.004400156904011965,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,RANDOM_BASIS_3,0.006216750014573336,0.005127210170030594,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,RANDOM_BASIS_4,0.006531801074743271,0.0053375354036688805,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,PCA_POSITIVE_ONLY_ROUTING,0.08486450463533401,0.07185513526201248,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,SHUFFLED_UTILITY_ROUTING,0.06943750381469727,0.057643525302410126,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,PCA_SIGNED_UTILITY_ROUTING,0.08528103679418564,0.07235351949930191,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,RANDOM_BASIS_0,0.005240901373326778,0.0039983936585485935,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,RANDOM_BASIS_1,0.005433636251837015,0.00433078920468688,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,RANDOM_BASIS_2,0.004876189865171909,0.003907851409167051,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,RANDOM_BASIS_3,0.005594821181148291,0.004580844659358263,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,RANDOM_BASIS_4,0.0059760501608252525,0.004800525493919849,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
