model,task,fold,seed,status,protected_rank,rank,JS,donor_centered_shift,flip_rate,logit_rms,pairs,recipient_margin_change,transfer_rate,random_JS,random_donor_centered_shift,random_flip_rate,random_logit_rms,random_recipient_margin_change,random_transfer_rate,same_label_pair_count,same_JS,same_centered_logit_rms,same_prediction_consistent,same_true_margin_change
EEGNet,OpenBMI_MI,0,0,COMPLETE,4,20,0.14437776757404208,1.1188915483653545,0.48749999999999993,1.612969994544983,800,2.237783096730709,0.65,0.0363529365247814,0.3171568342926912,0.17779999999999993,0.650938953757286,0.6343136694014538,0.333025,1600,0.06637455440902343,0.9532149735279382,0.78875,-0.40304650088772176
EEGNet,OpenBMI_MI,1,0,COMPLETE,3,20,0.17067890893667936,1.3609723076224327,0.495,1.822621151804924,800,2.7219446152448654,0.6499999999999999,0.030196033749080017,0.2778107229750549,0.13174999999999998,0.5695929251099006,0.5556214429629199,0.302175,1600,0.06682354294367329,0.8962430750043131,0.76875,-0.36391786695923656
EEGNet,OpenBMI_MI,2,0,COMPLETE,4,20,0.13127569667994976,0.746897853910923,0.44875,1.539932370185852,800,1.4937957525253296,0.56,0.04071501719838125,0.2291421621036352,0.1956625,0.7396336570754647,0.4582843281111127,0.39201249999999993,1600,0.08706259269603009,1.0325403841235845,0.686875,-0.2865285817347467
EEGNet,OpenBMI_MI,3,0,COMPLETE,8,20,0.18327989056706429,1.2275055572390556,0.5562499999999999,1.8144634515047073,800,2.455011159181595,0.71625,0.07138342974183615,0.5189863627839076,0.29456250000000006,1.0536967449635268,1.0379727269704744,0.45853749999999993,1600,0.0962563198323474,1.0456079498468898,0.643125,-0.32177071466576307
EEGNet,OpenBMI_MI,4,0,COMPLETE,5,20,0.1672427738085389,1.1381634548306465,0.5125,1.788763388991356,800,2.2763269245624542,0.68875,0.051453607514267787,0.3128329981324714,0.2292375,0.874298183247447,0.6256659960282559,0.40006249999999993,1600,0.08556495889719144,1.0392086580907927,0.7025,-0.33246113535948096
EEGNet,OpenBMI_SSVEP,0,0,COMPLETE,4,20,0.35829833149909973,4.164119392633438,0.6245833333333334,4.108651012182236,2400,7.259839415550232,0.4920833333333333,0.11184263253031532,1.594059807016165,0.21097916666666666,2.1924684431403874,2.8728799398476257,0.14375,1600,0.0831088921406149,1.8939419551100583,0.83125,-0.0660585780441761
EEGNet,OpenBMI_SSVEP,1,0,COMPLETE,8,20,0.5623186267912388,5.355514347553253,0.9391666666666667,4.135752260684967,2400,9.252853751182556,0.9245833333333333,0.20712684505910148,2.532818771190941,0.38877500000000004,2.615184939056635,4.394353624284268,0.29851666666666665,1600,0.03967398185106617,1.4253440974280238,0.928125,-0.20758299566805363
EEGNet,OpenBMI_SSVEP,2,0,COMPLETE,4,20,0.1523744617588818,2.3897858560085297,0.28125,2.9972250163555145,2400,4.025802552700043,0.18583333333333335,0.10279589333342301,1.5102685974095948,0.2014333333333333,2.2206436578184365,2.6704467672784813,0.1367708333333333,1600,0.057277650432569584,1.6901649887906387,0.8725,0.4303910082578659
EEGNet,OpenBMI_SSVEP,3,0,COMPLETE,8,20,0.5756466872990131,6.032012581825256,0.9266666666666667,4.736321687698364,2400,10.495281755924225,0.8979166666666667,0.2315183820197126,2.7801526651903985,0.41937916666666675,2.9864295430481436,4.884764062389731,0.3263375,1600,0.06644122981894299,1.7662787370197475,0.874375,-0.35629572737962006
EEGNet,OpenBMI_SSVEP,4,0,COMPLETE,8,20,0.6108817532658577,6.169639706611633,0.9658333333333333,4.70502781867981,2400,11.00138807296753,0.9491666666666667,0.2435921130364295,3.0472233936563136,0.43110833333333326,2.926352167725563,5.380537979900837,0.3558416666666666,1600,0.03133098128853334,1.420039880464319,0.945625,-0.22549737244844437
EEGConformer,OpenBMI_MI,0,0,COMPLETE,7,20,0.1983699770644307,1.5258645862340927,0.4825,2.161368742585182,800,3.051729142665863,0.6124999999999999,0.07596044947131304,0.5827283039305258,0.23798749999999994,1.153085174076259,1.165456616098818,0.3663625000000001,1600,0.060913895076671734,0.9830938623985276,0.828125,-0.4759056611964479
EEGConformer,OpenBMI_MI,1,0,COMPLETE,5,20,0.08218694850802422,0.7017678841948509,0.35625,1.124616526067257,800,1.4035357758402824,0.51875,0.022210842067725025,0.2247312543103726,0.136225,0.5255322718061507,0.44946251048575503,0.315225,1600,0.03514683482010923,0.5688878564664628,0.806875,-0.10942969857249409
EEGConformer,OpenBMI_MI,2,0,COMPLETE,5,20,0.07903542881831527,0.37714420817792416,0.3275,1.129887118935585,800,0.7542884163558483,0.5149999999999999,0.02808135732811934,0.11084078234761818,0.16075,0.5770702068321407,0.221681563871598,0.40897500000000003,1600,0.06554407387790206,0.7786024955520406,0.7175,-0.14738505316898226
EEGConformer,OpenBMI_MI,3,0,COMPLETE,8,20,0.13893753569573164,1.1180251464247704,0.32625,2.0324823409318924,800,2.236050322651863,0.52125,0.07339445970603264,0.5173545605230901,0.2086625,1.401930852048099,1.0347091251979874,0.39331250000000006,1600,0.06961038607130156,1.0516823746613226,0.800625,-0.133436815822497
EEGConformer,OpenBMI_MI,4,0,COMPLETE,8,20,0.17417887784540653,1.4500366225838661,0.365,2.1977333277463913,800,2.9000731855630875,0.5925,0.06672881355829303,0.5359568376324023,0.19372499999999998,1.177149312272668,1.0719136728535523,0.3959500000000001,1600,0.058821183634274805,0.9147374120727182,0.84,-0.3198907736223191
EEGConformer,OpenBMI_SSVEP,0,0,COMPLETE,4,18,0.22891024500131607,3.3705137968063354,0.38916666666666666,5.070298969745636,2400,6.591361612081528,0.2908333333333333,0.1121042574022431,1.7188465982039087,0.2128041666666667,3.361007324755192,3.5314261421374975,0.15072916666666666,1600,0.07039578630752412,2.034983144137077,0.85625,0.05149038496427238
EEGConformer,OpenBMI_SSVEP,1,0,COMPLETE,6,20,0.286539982073009,2.461151346564293,0.5666666666666667,2.8760075867176056,2400,4.526532143354416,0.4683333333333333,0.11864568713994231,1.162840579464537,0.29815416666666666,1.7693126463890076,2.048929368080644,0.2360750000000001,1600,0.05746597056117179,1.0327570565836504,0.83625,-0.030809712335467337
