final_heldout_accessed,finite_P,finite_normmatched_random,finite_random,fold,interaction_P,interaction_random,local_P,local_random,local_ratio,model,seed,subject_id,task,training_performed
False,"{'BA_change': 0.16000000000000003, 'CE_change': 0.26547178626060486, 'JS': 0.06105941906571388, 'TV': 0.23488672077655792, 'centered_logit_rms': 1.0268588066101074, 'flip_rate': 0.24, 'true_margin_change': 1.310455322265625}","{'BA_change': 0.058900000000000015, 'CE_change': 0.08439850872149691, 'JS': 0.019434450878761708, 'TV': 0.10616969810798764, 'centered_logit_rms': 0.5763016507029534, 'flip_rate': 0.10650000000000003, 'true_margin_change': 0.40811187715444247}","{'BA_change': 0.060200000000000004, 'CE_change': 0.08460356910480187, 'JS': 0.018811133749550207, 'TV': 0.10313816973939538, 'centered_logit_rms': 0.5115823732316493, 'flip_rate': 0.10980000000000002, 'true_margin_change': 0.4188185254111886}",0,1.930325765897578e-07,2.1141280043934784e-07,0.25121116638183594,0.08741847470402718,2.8736622004943673,EEGNet,0,3,OpenBMI_MI,False
False,"{'BA_change': 0.09999999999999998, 'CE_change': 0.10660288482904434, 'JS': 0.06165893375873566, 'TV': 0.2433527112007141, 'centered_logit_rms': 0.9869612455368042, 'flip_rate': 0.28, 'true_margin_change': 0.723006010055542}","{'BA_change': 0.005299999999999979, 'CE_change': 0.042729216939769686, 'JS': 0.020792261159513145, 'TV': 0.11695201318711042, 'centered_logit_rms': 0.5597566500306129, 'flip_rate': 0.13210000000000002, 'true_margin_change': 0.21943269251612946}","{'BA_change': 0.014099999999999984, 'CE_change': 0.05493753228278365, 'JS': 0.022459501223638653, 'TV': 0.12149657968431711, 'centered_logit_rms': 0.5411392894387245, 'flip_rate': 0.14450000000000002, 'true_margin_change': 0.250940955003025}",0,1.6426734816832322e-07,1.9352357767843388e-07,0.25121116638183594,0.08741847470402718,2.8736622004943673,EEGNet,0,5,OpenBMI_MI,False
False,"{'BA_change': 0.05999999999999994, 'CE_change': 0.22049568593502045, 'JS': 0.060894161462783813, 'TV': 0.21749058365821838, 'centered_logit_rms': 1.2770522832870483, 'flip_rate': 0.2, 'true_margin_change': 1.7741397619247437}","{'BA_change': 0.0134, 'CE_change': 0.0750058630190324, 'JS': 0.018911978136748074, 'TV': 0.09233499126508832, 'centered_logit_rms': 0.7196239492297173, 'flip_rate': 0.0818, 'true_margin_change': 0.6674089934164659}","{'BA_change': 0.022200000000000008, 'CE_change': 0.07961411060765386, 'JS': 0.017954486658563838, 'TV': 0.08933950643986463, 'centered_logit_rms': 0.5716368299722672, 'flip_rate': 0.09160000000000001, 'true_margin_change': 0.5792131456639618}",0,2.2106021901890927e-07,1.9829355323963683e-07,0.25121116638183594,0.08741847470402718,2.8736622004943673,EEGNet,0,6,OpenBMI_MI,False
False,"{'BA_change': 0.06000000000000005, 'CE_change': 0.0861862301826477, 'JS': 0.05457980930805206, 'TV': 0.22459383308887482, 'centered_logit_rms': 0.926699697971344, 'flip_rate': 0.32, 'true_margin_change': 0.4827536642551422}","{'BA_change': 0.06510000000000005, 'CE_change': 0.0668265335529577, 'JS': 0.01891973267076537, 'TV': 0.11589101448655129, 'centered_logit_rms': 0.5403509050607681, 'flip_rate': 0.16169999999999998, 'true_margin_change': 0.24613514182157814}","{'BA_change': 0.07870000000000006, 'CE_change': 0.0735437326040119, 'JS': 0.020395210564602168, 'TV': 0.12272559422999621, 'centered_logit_rms': 0.5030197185277939, 'flip_rate': 0.17889999999999998, 'true_margin_change': 0.24760684509528802}",0,1.7135329244410968e-07,1.6841775021703143e-07,0.25121116638183594,0.08741847470402718,2.8736622004943673,EEGNet,0,15,OpenBMI_MI,False
False,"{'BA_change': 0.05999999999999994, 'CE_change': -0.07735911011695862, 'JS': 0.03658893704414368, 'TV': 0.1727565973997116, 'centered_logit_rms': 0.7824001312255859, 'flip_rate': 0.2, 'true_margin_change': 0.3852648138999939}","{'BA_change': 0.02480000000000001, 'CE_change': -0.05291267245716881, 'JS': 0.015318907836917788, 'TV': 0.09988390117883682, 'centered_logit_rms': 0.49511077150702476, 'flip_rate': 0.12279999999999998, 'true_margin_change': 0.10801807477022521}","{'BA_change': 0.024800000000000023, 'CE_change': -0.03629202170355711, 'JS': 0.017548672246048228, 'TV': 0.10614612273871898, 'centered_logit_rms': 0.4981653894484043, 'flip_rate': 0.1298, 'true_margin_change': 0.13217005154117942}",0,2.0277903445276024e-07,1.9766556903277887e-07,0.25121116638183594,0.08741847470402718,2.8736622004943673,EEGNet,0,32,OpenBMI_MI,False
False,"{'BA_change': 0.030000000000000027, 'CE_change': 0.13986773788928986, 'JS': 0.052713483572006226, 'TV': 0.20989668369293213, 'centered_logit_rms': 0.9312655925750732, 'flip_rate': 0.21, 'true_margin_change': 0.7868952751159668}","{'BA_change': 0.012200000000000003, 'CE_change': 0.035420939440373334, 'JS': 0.019027761125471443, 'TV': 0.1064105387032032, 'centered_logit_rms': 0.5534955713152886, 'flip_rate': 0.10540000000000001, 'true_margin_change': 0.25350979227921927}","{'BA_change': 0.018000000000000006, 'CE_change': 0.0365743254996778, 'JS': 0.020351028902223334, 'TV': 0.110449921451509, 'centered_logit_rms': 0.528698248565197, 'flip_rate': 0.11720000000000003, 'true_margin_change': 0.26172368695028125}",0,1.8876518481647508e-07,1.863359540266174e-07,0.25121116638183594,0.08741847470402718,2.8736622004943673,EEGNet,0,33,OpenBMI_MI,False
False,"{'BA_change': 0.12, 'CE_change': 0.18645478785037994, 'JS': 0.05520366132259369, 'TV': 0.2238522171974182, 'centered_logit_rms': 0.9686910510063171, 'flip_rate': 0.26, 'true_margin_change': 0.9590176939964294}","{'BA_change': 0.0333, 'CE_change': 0.05948019359377213, 'JS': 0.020541878156363963, 'TV': 0.11729016445577145, 'centered_logit_rms': 0.5727730065584182, 'flip_rate': 0.1459, 'true_margin_change': 0.2917269024904817}","{'BA_change': 0.0379, 'CE_change': 0.06036402621713933, 'JS': 0.020517517642583697, 'TV': 0.11696000915020704, 'centered_logit_rms': 0.533781595826149, 'flip_rate': 0.14489999999999997, 'true_margin_change': 0.2910697832162259}",0,2.1162986740819179e-07,1.835737610633714e-07,0.25121116638183594,0.08741847470402718,2.8736622004943673,EEGNet,0,38,OpenBMI_MI,False
False,"{'BA_change': 0.19000000000000006, 'CE_change': 0.27364298701286316, 'JS': 0.04863420128822327, 'TV': 0.21596314013004303, 'centered_logit_rms': 0.8544726371765137, 'flip_rate': 0.31, 'true_margin_change': 0.7897273898124695}","{'BA_change': 0.09239999999999995, 'CE_change': 0.09646985835861414, 'JS': 0.019421628487762063, 'TV': 0.12003794003278018, 'centered_logit_rms': 0.5204488718509674, 'flip_rate': 0.14740000000000003, 'true_margin_change': 0.29461954573635013}","{'BA_change': 0.09139999999999995, 'CE_change': 0.09821333452651743, 'JS': 0.01954597908537835, 'TV': 0.12103993218392134, 'centered_logit_rms': 0.4873998433351517, 'flip_rate': 0.15800000000000003, 'true_margin_change': 0.30382065073587}",0,1.7264400753447262e-07,1.59728912905166e-07,0.25121116638183594,0.08741847470402718,2.8736622004943673,EEGNet,0,47,OpenBMI_MI,False
False,"{'BA_change': 0.08999999999999997, 'CE_change': 0.17896497249603271, 'JS': 0.06222286820411682, 'TV': 0.23302988708019257, 'centered_logit_rms': 1.0490047931671143, 'flip_rate': 0.27, 'true_margin_change': 1.0078448057174683}","{'BA_change': 0.01759999999999999, 'CE_change': 0.04156173385345028, 'JS': 0.017053485607721085, 'TV': 0.09771840659435839, 'centered_logit_rms': 0.522032186165452, 'flip_rate': 0.09960000000000001, 'true_margin_change': 0.2549538247653982}","{'BA_change': 0.004399999999999996, 'CE_change': 0.03616777695133351, 'JS': 0.01521328973940399, 'TV': 0.0894781114300713, 'centered_logit_rms': 0.44166198015213015, 'flip_rate': 0.095, 'true_margin_change': 0.2387719293613918}",1,1.7643723992932792e-07,1.8597717541979363e-07,0.324281245470047,0.08117110261810012,3.995033146164709,EEGNet,0,2,OpenBMI_MI,False
False,"{'BA_change': 0.1100000000000001, 'CE_change': 0.17131179571151733, 'JS': 0.04614734649658203, 'TV': 0.2117885798215866, 'centered_logit_rms': 0.8541760444641113, 'flip_rate': 0.25, 'true_margin_change': 0.7597119212150574}","{'BA_change': 0.020900000000000075, 'CE_change': 0.05179576410795562, 'JS': 0.016901407709592604, 'TV': 0.1085633335635066, 'centered_logit_rms': 0.47393601898103954, 'flip_rate': 0.1365, 'true_margin_change': 0.19095736775780098}","{'BA_change': 0.016300000000000064, 'CE_change': 0.03637901933863759, 'JS': 0.01573066712986474, 'TV': 0.1025966465100646, 'centered_logit_rms': 0.4244848335161805, 'flip_rate': 0.1305, 'true_margin_change': 0.15625075837699115}",1,1.7728018519846955e-07,1.6616342563224862e-07,0.324281245470047,0.08117110261810012,3.995033146164709,EEGNet,0,14,OpenBMI_MI,False
