model,task,fold,seed,status,protected_rank,rank,finite_P,finite_random_mean,finite_normmatched_random_mean,finite_ratio,local_P,local_random_mean,local_ratio,cross_label_P_transfer,random_transfer,same_label_crosssession_P_change,P_nonP_interaction,random_interaction
EEGNet,OpenBMI_MI,0,0,COMPLETE,4,20,0.9693001806735992,0.5219279110431672,0.5672326720319688,1.8571533734156462,0.25121116638183594,0.08741847470402718,2.8736622004943673,0.65,0.333025,0.9532149735279382,1.9069144130412496e-07,1.8736898482529796e-07
EEGNet,OpenBMI_MI,1,0,COMPLETE,3,20,1.0504265576601028,0.443403215862345,0.536755958152935,2.3690097863119894,0.324281245470047,0.08117110261810012,3.995033146164709,0.6499999999999999,0.302175,0.8962430750043131,1.9660187788872463e-07,1.8721224670059656e-07
EEGNet,OpenBMI_MI,2,0,COMPLETE,4,20,1.0221194475889206,0.583510981425643,0.6489246251992882,1.7516713140370772,0.3135400116443634,0.10554601806215942,2.9706474711315938,0.56,0.39201249999999993,1.0325403841235845,1.786301968564885e-07,1.6866839033014004e-07
EEGNet,OpenBMI_MI,3,0,COMPLETE,8,20,1.100259892642498,0.7566861248761415,0.7741464793309569,1.4540505719231929,0.16132120788097382,0.07904987411573529,2.040752242625798,0.71625,0.45853749999999993,1.0456079498468898,1.7675993291277337e-07,1.762156098727985e-07
EEGNet,OpenBMI_MI,4,0,COMPLETE,5,20,1.036122553050518,0.663827581424266,0.7237693498842419,1.5608308272269733,0.31085583567619324,0.10387804464437067,2.9925075769419487,0.68875,0.40006249999999993,1.0392086580907927,1.8719126870792024e-07,1.7980675179884997e-07
EEGNet,OpenBMI_SSVEP,0,0,COMPLETE,4,20,2.642680197954178,1.6856663566827774,2.399163896590471,1.5677362174770504,1.7210520505905151,0.6982953023910522,2.4646478999606805,0.4920833333333333,0.14375,1.8939419551100583,8.510927145266578e-07,8.477614954927048e-07
EEGNet,OpenBMI_SSVEP,1,0,COMPLETE,8,20,2.566327214241028,1.823977082744241,2.3287289261817934,1.4069953172766259,0.8764020800590515,0.4396714931726456,1.9933111281220026,0.9245833333333333,0.29851666666666665,1.4253440974280238,7.473562035897885e-07,7.519920251297662e-07
EEGNet,OpenBMI_SSVEP,2,0,COMPLETE,4,20,2.029555469751358,1.7427134831249713,1.8655245803296565,1.1645950349291105,0.8157986998558044,0.7063838490843772,1.1548943268072338,0.18583333333333335,0.1367708333333333,1.6901649887906387,8.632614196812938e-07,8.479022056917529e-07
EEGNet,OpenBMI_SSVEP,3,0,COMPLETE,8,20,2.9693762063980103,2.0791216772049665,2.743307483792305,1.4281877962957141,1.138385534286499,0.5725003528594971,1.9884451225235862,0.8979166666666667,0.3263375,1.7662787370197475,8.298402747186628e-07,8.291493988821231e-07
EEGNet,OpenBMI_SSVEP,4,0,COMPLETE,8,20,2.8228978514671326,1.9389830680936575,2.621105324923992,1.4558651377201093,0.982125461101532,0.5220932327210903,1.8811304179960469,0.9491666666666667,0.3558416666666666,1.420039880464319,7.962024994867534e-07,7.89073740747881e-07
