model,task,status,coverage,PSWA_pp,CI_low_pp,CI_high_pp,source_commit
EEGNet,OpenBMI_MI,COMPLETE,5/5,6.209821428571429,4.819626116071429,7.64154575892857,3fd6aad50c08144c95a58454ca76d58f21aedc25
EEGNet,OpenBMI_ERP,COMPLETE,5/5,10.908258928571428,9.74709263392857,12.057377232142859,3fd6aad50c08144c95a58454ca76d58f21aedc25
EEGNet,OpenBMI_SSVEP,COMPLETE,5/5,14.39885714285714,12.445135714285712,16.296003571428567,3fd6aad50c08144c95a58454ca76d58f21aedc25
EEGNet,WBCIC_MI,COMPLETE,5/5,20.1215625,12.374031250000002,28.649414062499996,3fd6aad50c08144c95a58454ca76d58f21aedc25
CBraMod,OpenBMI_MI,COMPLETE,3/5,0.665178571428572,-0.2786737351190473,1.753348214285715,3fd6aad50c08144c95a58454ca76d58f21aedc25
CBraMod,OpenBMI_ERP,COMPLETE,4/5,3.4874441964285716,2.385595703124999,4.473786272321427,3fd6aad50c08144c95a58454ca76d58f21aedc25
CBraMod,OpenBMI_SSVEP,COMPLETE,1/5,7.583571428571425,5.899982142857139,9.254999999999997,3fd6aad50c08144c95a58454ca76d58f21aedc25
CBraMod,WBCIC_MI,INCOMPLETE,3/5,,,,3fd6aad50c08144c95a58454ca76d58f21aedc25
TeCh,OpenBMI_MI,COMPLETE,5/5,7.998214285714285,6.059804687499998,9.992433035714283,3fd6aad50c08144c95a58454ca76d58f21aedc25
TeCh,OpenBMI_ERP,COMPLETE,5/5,7.7118303571428575,5.788828125,9.54510044642857,3fd6aad50c08144c95a58454ca76d58f21aedc25
TeCh,OpenBMI_SSVEP,COMPLETE,5/5,9.868999999999998,8.588253571428572,11.066164285714281,3fd6aad50c08144c95a58454ca76d58f21aedc25
TeCh,WBCIC_MI,COMPLETE,5/5,6.4712499999999995,3.754984374999999,9.285953124999997,3fd6aad50c08144c95a58454ca76d58f21aedc25
ModernTCN,OpenBMI_MI,INCOMPLETE,0/5,,,,3fd6aad50c08144c95a58454ca76d58f21aedc25
ModernTCN,OpenBMI_ERP,INCOMPLETE,0/5,,,,3fd6aad50c08144c95a58454ca76d58f21aedc25
ModernTCN,OpenBMI_SSVEP,INCOMPLETE,0/5,,,,3fd6aad50c08144c95a58454ca76d58f21aedc25
ModernTCN,WBCIC_MI,INCOMPLETE,0/5,,,,3fd6aad50c08144c95a58454ca76d58f21aedc25
Medformer,OpenBMI_MI,INCOMPLETE,0/5,,,,3fd6aad50c08144c95a58454ca76d58f21aedc25
Medformer,OpenBMI_ERP,INCOMPLETE,0/5,,,,3fd6aad50c08144c95a58454ca76d58f21aedc25
Medformer,OpenBMI_SSVEP,INCOMPLETE,0/5,,,,3fd6aad50c08144c95a58454ca76d58f21aedc25
Medformer,WBCIC_MI,INCOMPLETE,0/5,,,,3fd6aad50c08144c95a58454ca76d58f21aedc25
