task,benchmark_best,matched_LiteBN,LiteBN_G2,delta_vs_LiteBN_pp,delta_vs_benchmark_pp,selected_epochs,epoch0_fallback_count,mean_selected_normalized_attention_entropy,entropy_lt_097_folds,PASS,Executed,reason
OpenBMI_SSVEP,0.9234,0.9069999999999999,0.9122857142857145,0.528571428571456,-1.1114285714285521,34;26;32;9;0,1.0,0.9472469508647918,2.0,False,YES,SSVEP_BENCHMARK_FAIL
OpenBMI_ERP,0.8557,,,,,,,,,False,NO,EARLY_STOP
OpenBMI_MI,0.7555,,,,,,,,,False,NO,EARLY_STOP
WBCIC_MI,0.7918,,,,,,,,,False,NO,EARLY_STOP
