fold,seed,task,metric,subject,session,representation,value
2,0,mi,cross_session,31,2->1,protected,0.8158202108412668
2,0,mi,cross_session,32,1->2,protected,0.8250478212799097
2,0,mi,cross_session,32,2->1,protected,0.9532767341904371
2,0,mi,cross_session,33,1->2,protected,0.9339126547924282
2,0,mi,cross_session,33,2->1,protected,0.9313550160625672
2,0,mi,cross_session,35,1->2,protected,0.794937390326244
2,0,mi,cross_session,35,2->1,protected,0.6183021787085866
2,0,mi,cross_session,36,1->2,protected,0.8991886348734289
2,0,mi,cross_session,36,2->1,protected,0.8720550087972324
2,0,mi,cross_session,37,1->2,protected,0.9329734784961385
2,0,mi,cross_session,37,2->1,protected,0.9087971294115199
2,0,mi,cross_session,38,1->2,protected,0.927147632218729
2,0,mi,cross_session,38,2->1,protected,0.8164397665235184
2,0,mi,cross_session,39,1->2,protected,0.9023623849514937
2,0,mi,cross_session,39,2->1,protected,0.9230843495273016
2,0,mi,cross_session,40,1->2,protected,0.804265585203735
2,0,mi,cross_session,40,2->1,protected,0.7137526295215592
2,0,mi,cross_session,41,1->2,protected,0.7583168741292325
2,0,mi,cross_session,41,2->1,protected,0.20041236622109587
2,0,mi,cross_session,42,1->2,protected,0.620964522075476
2,0,mi,cross_session,42,2->1,protected,0.4492421997614102
2,0,mi,cross_session,43,1->2,protected,0.9341119800677486
2,0,mi,cross_session,43,2->1,protected,0.7699057181371971
2,0,mi,cross_session,45,1->2,protected,0.7000988604733758
2,0,mi,cross_session,45,2->1,protected,0.856629152535103
2,0,mi,cross_session,46,1->2,protected,0.7090094573619635
2,0,mi,cross_session,46,2->1,protected,0.7104990877015877
2,0,mi,cross_session,47,1->2,protected,0.9306325888462363
2,0,mi,cross_session,47,2->1,protected,0.5493891534907436
2,0,mi,cross_session,48,1->2,protected,0.7122064254772791
2,0,mi,cross_session,48,2->1,protected,0.6708352362683004
2,0,mi,cross_session,50,1->2,protected,0.5177762440352275
2,0,mi,cross_session,50,2->1,protected,0.4685994161399152
2,0,mi,cross_session,53,1->2,protected,0.71437533297645
2,0,mi,cross_session,53,2->1,protected,0.8358357442456689
2,0,mi,cross_session,8,1->2,protected,0.8357320103615137
2,0,mi,cross_session,8,2->1,protected,0.8712561212211444
2,0,mi,margin,1,both,protected,0.6153189032090218
2,0,mi,margin,10,both,protected,0.5714690431237334
2,0,mi,margin,11,both,protected,0.17512262320099686
2,0,mi,margin,12,both,protected,0.41246905195475314
2,0,mi,margin,13,both,protected,0.24419432024994042
2,0,mi,margin,15,both,protected,0.5477420423853914
2,0,mi,margin,19,both,protected,0.7517309320268878
2,0,mi,margin,2,both,protected,0.3706982857101645
2,0,mi,margin,20,both,protected,0.7227275470467638
2,0,mi,margin,21,both,protected,0.6865399258628162
2,0,mi,margin,23,both,protected,0.5993496794216675
2,0,mi,margin,24,both,protected,0.4019930677687251
2,0,mi,margin,27,both,protected,0.48174805513709074
2,0,mi,margin,28,both,protected,0.8207600767818563
2,0,mi,margin,3,both,protected,0.7413879094280044
2,0,mi,margin,31,both,protected,0.542461408377501
2,0,mi,margin,32,both,protected,0.7440433544417795
2,0,mi,margin,33,both,protected,0.7838404429038659
2,0,mi,margin,35,both,protected,0.5815111624129139
2,0,mi,margin,36,both,protected,0.7233449465203488
2,0,mi,margin,37,both,protected,0.7745046287529339
2,0,mi,margin,38,both,protected,0.3502259907156555
2,0,mi,margin,39,both,protected,0.7866037774031074
2,0,mi,margin,40,both,protected,0.4460752641660417
2,0,mi,margin,41,both,protected,0.21794148323495677
2,0,mi,margin,42,both,protected,0.35604679061555966
2,0,mi,margin,43,both,protected,0.6993828317566515
2,0,mi,margin,45,both,protected,0.4194729870503704
2,0,mi,margin,46,both,protected,0.3327632848183014
2,0,mi,margin,47,both,protected,0.7014924475965544
2,0,mi,margin,48,both,protected,0.47440383896828
2,0,mi,margin,50,both,protected,0.3004169772525658
2,0,mi,margin,53,both,protected,0.5321286188754171
2,0,mi,margin,8,both,protected,0.6848008558779707
2,0,erp,alignment,1,1,protected,0.8388329648265617
2,0,erp,alignment,1,2,protected,0.49697864974622996
2,0,erp,alignment,10,1,protected,0.5807659870838866
2,0,erp,alignment,10,2,protected,0.8443502728581271
2,0,erp,alignment,11,1,protected,0.8886451466224566
2,0,erp,alignment,11,2,protected,0.4867556668301424
2,0,erp,alignment,12,1,protected,0.9020629227670899
2,0,erp,alignment,12,2,protected,0.9144555700385072
2,0,erp,alignment,13,1,protected,0.8318156827100742
2,0,erp,alignment,13,2,protected,0.9587938825561257
2,0,erp,alignment,15,1,protected,0.8658606176380699
2,0,erp,alignment,15,2,protected,0.21143894976718744
2,0,erp,alignment,19,1,protected,0.9414410033155273
2,0,erp,alignment,19,2,protected,0.7917450345249775
2,0,erp,alignment,2,1,protected,0.9247402728041424
2,0,erp,alignment,2,2,protected,0.953201481227566
2,0,erp,alignment,20,1,protected,0.9558202592339428
2,0,erp,alignment,20,2,protected,0.8896806740748946
2,0,erp,alignment,21,1,protected,0.7261998691912991
2,0,erp,alignment,21,2,protected,0.866607112049649
2,0,erp,alignment,23,1,protected,0.22547154024906219
2,0,erp,alignment,23,2,protected,-0.006191294093500109
2,0,erp,alignment,24,1,protected,0.8442722972014373
2,0,erp,alignment,24,2,protected,0.07968106638515571
2,0,erp,alignment,27,1,protected,0.8184757279885472
2,0,erp,alignment,27,2,protected,0.8878247533135234
2,0,erp,alignment,28,1,protected,0.8904088755890022
2,0,erp,alignment,28,2,protected,0.9800698328687174
2,0,erp,alignment,3,1,protected,0.5194686017076746
2,0,erp,alignment,3,2,protected,0.7934858824986983
2,0,erp,alignment,31,1,protected,0.8526509375074258
2,0,erp,alignment,31,2,protected,0.981062935775755
2,0,erp,alignment,32,1,protected,0.9308659732368514
2,0,erp,alignment,32,2,protected,0.9813812808888132
2,0,erp,alignment,33,1,protected,-0.6122262336305442
2,0,erp,alignment,33,2,protected,0.658862269832541
2,0,erp,alignment,35,1,protected,0.8975582788883897
2,0,erp,alignment,35,2,protected,0.805206865594121
2,0,erp,alignment,36,1,protected,0.9297077938510935
2,0,erp,alignment,36,2,protected,0.9895803620712111
2,0,erp,alignment,37,1,protected,0.8322325994222015
2,0,erp,alignment,37,2,protected,0.8828466109276796
2,0,erp,alignment,38,1,protected,0.6457663772475519
2,0,erp,alignment,38,2,protected,0.694374674606712
2,0,erp,alignment,39,1,protected,0.7780313230196608
2,0,erp,alignment,39,2,protected,0.8163487791587436
2,0,erp,alignment,40,1,protected,0.9289122484502683
2,0,erp,alignment,40,2,protected,0.7906879458588698
2,0,erp,alignment,41,1,protected,0.8824390188952614
2,0,erp,alignment,41,2,protected,0.7814790809372801
2,0,erp,alignment,42,1,protected,0.9774386216514175
2,0,erp,alignment,42,2,protected,0.9386519068669934
2,0,erp,alignment,43,1,protected,0.9722619749546073
2,0,erp,alignment,43,2,protected,0.9184060142119381
2,0,erp,alignment,45,1,protected,0.8973564324219641
2,0,erp,alignment,45,2,protected,0.8560169212980684
2,0,erp,alignment,46,1,protected,0.9361733297201339
2,0,erp,alignment,46,2,protected,0.9098727330799503
2,0,erp,alignment,47,1,protected,0.9774710133819823
2,0,erp,alignment,47,2,protected,0.9606077569139927
2,0,erp,alignment,48,1,protected,0.8778029460400492
2,0,erp,alignment,48,2,protected,0.9440337977287002
2,0,erp,alignment,50,1,protected,0.6684386108027813
2,0,erp,alignment,50,2,protected,0.9847675517126638
2,0,erp,alignment,53,1,protected,0.3838604639632323
2,0,erp,alignment,53,2,protected,0.7473325117968326
2,0,erp,alignment,8,1,protected,0.7908573772167643
2,0,erp,alignment,8,2,protected,0.8481596339355545
2,0,erp,cross_session,1,1->2,protected,0.5654359202466298
2,0,erp,cross_session,1,2->1,protected,0.8190703538188678
2,0,erp,cross_session,10,1->2,protected,0.8515196219428189
2,0,erp,cross_session,10,2->1,protected,0.5290119782592384
2,0,erp,cross_session,11,1->2,protected,0.522857662706043
2,0,erp,cross_session,11,2->1,protected,0.872341771577753
2,0,erp,cross_session,12,1->2,protected,0.9245498459485842
2,0,erp,cross_session,12,2->1,protected,0.9011207488668768
2,0,erp,cross_session,13,1->2,protected,0.961493435893128
2,0,erp,cross_session,13,2->1,protected,0.8718144001806006
2,0,erp,cross_session,15,1->2,protected,0.23848956293241452
2,0,erp,cross_session,15,2->1,protected,0.8821845983621531
2,0,erp,cross_session,19,1->2,protected,0.7575675043780719
2,0,erp,cross_session,19,2->1,protected,0.9446837665771078
2,0,erp,cross_session,2,1->2,protected,0.9386953249293502
2,0,erp,cross_session,2,2->1,protected,0.9439730067518626
2,0,erp,cross_session,20,1->2,protected,0.8772717951436747
2,0,erp,cross_session,20,2->1,protected,0.9422545981481031
2,0,erp,cross_session,21,1->2,protected,0.8346995782093074
2,0,erp,cross_session,21,2->1,protected,0.7661508208523488
2,0,erp,cross_session,23,1->2,protected,-0.007123438859356574
2,0,erp,cross_session,23,2->1,protected,0.23226123916273145
2,0,erp,cross_session,24,1->2,protected,0.12286702459641408
2,0,erp,cross_session,24,2->1,protected,0.8409480697467504
2,0,erp,cross_session,27,1->2,protected,0.9253019166891648
2,0,erp,cross_session,27,2->1,protected,0.8173841167372049
2,0,erp,cross_session,28,1->2,protected,0.9673381822564887
2,0,erp,cross_session,28,2->1,protected,0.8993122154582418
2,0,erp,cross_session,3,1->2,protected,0.7865860750731031
2,0,erp,cross_session,3,2->1,protected,0.5621608578084761
2,0,erp,cross_session,31,1->2,protected,0.984182998862991
2,0,erp,cross_session,31,2->1,protected,0.8743939550245028
2,0,erp,cross_session,32,1->2,protected,0.9928317974618774
2,0,erp,cross_session,32,2->1,protected,0.9613856916836476
2,0,erp,cross_session,33,1->2,protected,0.6540996611707218
2,0,erp,cross_session,33,2->1,protected,-0.5817183065084968
2,0,erp,cross_session,35,1->2,protected,0.7896919221875905
2,0,erp,cross_session,35,2->1,protected,0.891391331476493
2,0,erp,cross_session,36,1->2,protected,0.9960932794797214
2,0,erp,cross_session,36,2->1,protected,0.9336268708493368
2,0,erp,cross_session,37,1->2,protected,0.9144195511720491
2,0,erp,cross_session,37,2->1,protected,0.861947412618586
2,0,erp,cross_session,38,1->2,protected,0.6327253367869525
2,0,erp,cross_session,38,2->1,protected,0.6877567676807644
2,0,erp,cross_session,39,1->2,protected,0.8443793785500187
2,0,erp,cross_session,39,2->1,protected,0.7546329419513188
2,0,erp,cross_session,40,1->2,protected,0.7874402415008457
2,0,erp,cross_session,40,2->1,protected,0.953816310293253
2,0,erp,cross_session,41,1->2,protected,0.7916148873352293
2,0,erp,cross_session,41,2->1,protected,0.8456526507749336
2,0,erp,cross_session,42,1->2,protected,0.9731624383149318
2,0,erp,cross_session,42,2->1,protected,0.990614624395934
2,0,erp,cross_session,43,1->2,protected,0.9198366345162937
2,0,erp,cross_session,43,2->1,protected,0.9822477291984643
2,0,erp,cross_session,45,1->2,protected,0.8255147540707142
2,0,erp,cross_session,45,2->1,protected,0.9069086722575443
2,0,erp,cross_session,46,1->2,protected,0.9384589578175113
