fold,seed,task,rank,draws,primary_mean,cross_session_mean,margin_mean
2,0,mi,8,100,0.5088124497047776,0.5153825912396112,0.2598857302587977
2,0,erp,4,100,0.2954218747706741,0.33338506821289293,0.0693155161276807
2,0,ssvep,4,100,0.6800336134453783,0.6790924369747898,1.3248833492223728
