model,fold,checkpoint_sha256,selected_epoch,subject,session,BA,Macro_F1,trials
EEGNet,0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c,50,sub-03,S1,0.8,0.8,20
EEGNet,0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c,50,sub-12,S1,0.9,0.898989898989899,20
EEGNet,0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c,50,sub-14,S1,0.7,0.7,20
EEGNet,0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c,50,sub-21,S1,0.8,0.797979797979798,20
EEGNet,0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c,50,sub-24,S1,0.7,0.6875,20
EEGNet,0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c,50,sub-26,S1,0.45,0.44862155388471175,20
EEGNet,0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c,50,sub-03,S2,0.75,0.7493734335839599,20
EEGNet,0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c,50,sub-12,S2,0.6,0.595959595959596,20
EEGNet,0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c,50,sub-14,S2,0.65,0.6266666666666667,20
EEGNet,0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c,50,sub-21,S2,0.7,0.6703296703296704,20
EEGNet,0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c,50,sub-24,S2,0.65,0.6011396011396011,20
EEGNet,0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c,50,sub-26,S2,0.65,0.6266666666666667,20
EEGNet,0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c,50,sub-03,S3,0.75,0.7442455242966752,20
EEGNet,0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c,50,sub-12,S3,0.6,0.595959595959596,20
EEGNet,0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c,50,sub-14,S3,0.8,0.797979797979798,20
EEGNet,0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c,50,sub-21,S3,0.7,0.6875,20
EEGNet,0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c,50,sub-24,S3,0.7,0.6875,20
EEGNet,0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c,50,sub-26,S3,0.85,0.8465473145780051,20
EEGNet,1,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3,14,sub-06,S1,0.6,0.595959595959596,20
EEGNet,1,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3,14,sub-09,S1,0.7,0.7,20
EEGNet,1,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3,14,sub-15,S1,0.6,0.5604395604395604,20
EEGNet,1,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3,14,sub-17,S1,0.8500000000000001,0.849624060150376,20
EEGNet,1,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3,14,sub-27,S1,0.7,0.6875,20
EEGNet,1,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3,14,sub-28,S1,0.6,0.5238095238095238,20
EEGNet,1,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3,14,sub-06,S2,0.8,0.7916666666666667,20
EEGNet,1,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3,14,sub-09,S2,0.9,0.9,20
EEGNet,1,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3,14,sub-15,S2,0.65,0.6266666666666667,20
EEGNet,1,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3,14,sub-17,S2,0.8,0.797979797979798,20
EEGNet,1,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3,14,sub-27,S2,0.7,0.6875,20
EEGNet,1,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3,14,sub-28,S2,0.7,0.6703296703296704,20
EEGNet,1,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3,14,sub-06,S3,0.6499999999999999,0.6491228070175439,20
EEGNet,1,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3,14,sub-09,S3,0.8,0.797979797979798,20
EEGNet,1,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3,14,sub-15,S3,0.8,0.7916666666666667,20
EEGNet,1,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3,14,sub-17,S3,0.75,0.7442455242966752,20
EEGNet,1,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3,14,sub-27,S3,0.75,0.7442455242966752,20
EEGNet,1,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3,14,sub-28,S3,0.7,0.6875,20
EEGNet,2,6a95ba6ff8cd48d131f6a4952158e45cc2c30ce33e2faf794853e1d399b3b6fc,40,sub-02,S1,0.85,0.8465473145780051,20
EEGNet,2,6a95ba6ff8cd48d131f6a4952158e45cc2c30ce33e2faf794853e1d399b3b6fc,40,sub-07,S1,0.7,0.7,20
EEGNet,2,6a95ba6ff8cd48d131f6a4952158e45cc2c30ce33e2faf794853e1d399b3b6fc,40,sub-11,S1,0.9,0.9,20
EEGNet,2,6a95ba6ff8cd48d131f6a4952158e45cc2c30ce33e2faf794853e1d399b3b6fc,40,sub-18,S1,0.5,0.3333333333333333,20
EEGNet,2,6a95ba6ff8cd48d131f6a4952158e45cc2c30ce33e2faf794853e1d399b3b6fc,40,sub-23,S1,0.8,0.797979797979798,20
EEGNet,2,6a95ba6ff8cd48d131f6a4952158e45cc2c30ce33e2faf794853e1d399b3b6fc,40,sub-29,S1,0.65,0.6266666666666667,20
