model,fold,subject,status,protected_rank,intact_BA,protected_erased_BA,random_erased_BA,PEEH_pp,checkpoint_sha256
EEGNet,0,sub-03,EMPTY_PROTECTED,0,0.8,0.8,0.7999999999999998,-2.220446049250313e-14,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c
EEGNet,0,sub-12,EMPTY_PROTECTED,0,0.6499999999999999,0.6499999999999999,0.6500000000000001,2.220446049250313e-14,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c
EEGNet,0,sub-14,EMPTY_PROTECTED,0,0.75,0.75,0.75,0.0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c
EEGNet,0,sub-21,EMPTY_PROTECTED,0,0.65,0.65,0.6500000000000001,1.1102230246251565e-14,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c
EEGNet,0,sub-24,EMPTY_PROTECTED,0,0.75,0.75,0.75,0.0,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c
EEGNet,0,sub-26,EMPTY_PROTECTED,0,0.8,0.8,0.7999999999999998,-2.220446049250313e-14,b2a394aa35c2f82d7b334f58c46ce00f947e186beef5340f7b5c25638b69778c
SIRE-EEG,0,sub-03,EMPTY_PROTECTED,0,0.8,0.8,0.7999999999999998,-2.220446049250313e-14,37c1f45da6026050de23d14184fde9623a7e0f3baeefab4868eff821e34172e2
SIRE-EEG,0,sub-12,EMPTY_PROTECTED,0,0.2,0.2,0.19999999999999996,-5.551115123125783e-15,37c1f45da6026050de23d14184fde9623a7e0f3baeefab4868eff821e34172e2
SIRE-EEG,0,sub-14,EMPTY_PROTECTED,0,0.8,0.8,0.7999999999999998,-2.220446049250313e-14,37c1f45da6026050de23d14184fde9623a7e0f3baeefab4868eff821e34172e2
SIRE-EEG,0,sub-21,EMPTY_PROTECTED,0,0.65,0.65,0.6500000000000001,1.1102230246251565e-14,37c1f45da6026050de23d14184fde9623a7e0f3baeefab4868eff821e34172e2
SIRE-EEG,0,sub-24,EMPTY_PROTECTED,0,0.7,0.7,0.7000000000000002,2.220446049250313e-14,37c1f45da6026050de23d14184fde9623a7e0f3baeefab4868eff821e34172e2
SIRE-EEG,0,sub-26,EMPTY_PROTECTED,0,0.9,0.9,0.9000000000000005,4.440892098500626e-14,37c1f45da6026050de23d14184fde9623a7e0f3baeefab4868eff821e34172e2
EEGNet,1,sub-06,EMPTY_PROTECTED,0,0.55,0.55,0.5499999999999998,-2.220446049250313e-14,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3
EEGNet,1,sub-09,EMPTY_PROTECTED,0,0.8,0.8,0.7999999999999998,-2.220446049250313e-14,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3
EEGNet,1,sub-15,EMPTY_PROTECTED,0,0.75,0.75,0.75,0.0,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3
EEGNet,1,sub-17,EMPTY_PROTECTED,0,0.75,0.75,0.75,0.0,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3
EEGNet,1,sub-27,EMPTY_PROTECTED,0,0.65,0.65,0.6500000000000001,1.1102230246251565e-14,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3
EEGNet,1,sub-28,EMPTY_PROTECTED,0,0.65,0.65,0.6500000000000001,1.1102230246251565e-14,5af1a61a16b2f046a8f3e3017ad266b954006bfeb3f632b01557a567b51fb6e3
SIRE-EEG,1,sub-06,EMPTY_PROTECTED,0,0.8,0.8,0.7999999999999998,-2.220446049250313e-14,d1d15b73cd70c99aeb014fe4fa4eab81f3fee31452ca91f806cc7ebf5f410830
SIRE-EEG,1,sub-09,EMPTY_PROTECTED,0,0.6,0.6,0.6,0.0,d1d15b73cd70c99aeb014fe4fa4eab81f3fee31452ca91f806cc7ebf5f410830
SIRE-EEG,1,sub-15,EMPTY_PROTECTED,0,0.4,0.4,0.3999999999999999,-1.1102230246251565e-14,d1d15b73cd70c99aeb014fe4fa4eab81f3fee31452ca91f806cc7ebf5f410830
SIRE-EEG,1,sub-17,EMPTY_PROTECTED,0,0.55,0.55,0.5499999999999998,-2.220446049250313e-14,d1d15b73cd70c99aeb014fe4fa4eab81f3fee31452ca91f806cc7ebf5f410830
SIRE-EEG,1,sub-27,EMPTY_PROTECTED,0,0.6,0.6,0.6,0.0,d1d15b73cd70c99aeb014fe4fa4eab81f3fee31452ca91f806cc7ebf5f410830
SIRE-EEG,1,sub-28,EMPTY_PROTECTED,0,0.8,0.8,0.7999999999999998,-2.220446049250313e-14,d1d15b73cd70c99aeb014fe4fa4eab81f3fee31452ca91f806cc7ebf5f410830
EEGNet,2,sub-02,EMPTY_PROTECTED,0,0.85,0.85,0.8499999999999995,-4.440892098500626e-14,6a95ba6ff8cd48d131f6a4952158e45cc2c30ce33e2faf794853e1d399b3b6fc
EEGNet,2,sub-07,EMPTY_PROTECTED,0,0.8500000000000001,0.8500000000000001,0.8499999999999995,-5.551115123125783e-14,6a95ba6ff8cd48d131f6a4952158e45cc2c30ce33e2faf794853e1d399b3b6fc
EEGNet,2,sub-11,EMPTY_PROTECTED,0,0.95,0.95,0.95,0.0,6a95ba6ff8cd48d131f6a4952158e45cc2c30ce33e2faf794853e1d399b3b6fc
EEGNet,2,sub-18,EMPTY_PROTECTED,0,0.6,0.6,0.6,0.0,6a95ba6ff8cd48d131f6a4952158e45cc2c30ce33e2faf794853e1d399b3b6fc
EEGNet,2,sub-23,EMPTY_PROTECTED,0,0.6499999999999999,0.6499999999999999,0.6500000000000001,2.220446049250313e-14,6a95ba6ff8cd48d131f6a4952158e45cc2c30ce33e2faf794853e1d399b3b6fc
EEGNet,2,sub-29,EMPTY_PROTECTED,0,0.6499999999999999,0.6499999999999999,0.6500000000000001,2.220446049250313e-14,6a95ba6ff8cd48d131f6a4952158e45cc2c30ce33e2faf794853e1d399b3b6fc
SIRE-EEG,2,sub-02,EMPTY_PROTECTED,0,0.45,0.45,0.45000000000000023,2.220446049250313e-14,e42877221aae554fdad97da7471a7c483a78576f73f3f31fefa5061bd417eff7
SIRE-EEG,2,sub-07,EMPTY_PROTECTED,0,0.6,0.6,0.6,0.0,e42877221aae554fdad97da7471a7c483a78576f73f3f31fefa5061bd417eff7
SIRE-EEG,2,sub-11,EMPTY_PROTECTED,0,0.6,0.6,0.6,0.0,e42877221aae554fdad97da7471a7c483a78576f73f3f31fefa5061bd417eff7
