model,PEEH_pp,PEEH_CI95_low,PEEH_CI95_high,PEEH_subjects_including_empty_as_zero,PEEH_coverage,PSWA_pp,PSWA_CI95_low,PSWA_CI95_high,PSWA_subjects_nonempty_only,PSWA_coverage
EEGNet,1.9086206896551716,-0.6327586206896554,4.67775862068964,29,2/5,8.286363636363637,2.6545454545454557,14.672840909090905,11,2/5
SIRE-EEG,1.2051724137931006,-1.4293103448275875,3.9413793103448236,29,3/5,-0.5941176470588205,-6.952941176470582,5.144191176470586,17,3/5
