model,future BA,future Macro-F1,WS-BA,subjects,metric,mean,CI95_low,CI95_high,bootstrap_draws
EEGNet,0.7206896551724139,0.7118185766359745,0.6206896551724138,29,,,,,
SIRE-EEG,0.6051724137931035,0.5777637486623386,0.5327586206896552,29,,,,,
SIRE-EEG minus EEGNet,,,,,future BA contrast,-0.11551724137931031,-0.17413793103448275,-0.05862068965517239,20000
SIRE-EEG minus EEGNet,,,,,WS-BA contrast,-0.08793103448275862,-0.14482758620689654,-0.03103448275862067,20000
