method,classification,subjects,strict_unseen_subject,source_sessions,target_S1_used,target_adaptation,fold_correct,mean_BA,macro_F1,accuracy,delta_vs_vanilla,delta_vs_generic,negative_transfer_rate,valid_for_paper
Historical inferred EEGNet reference,VANILLA_EEGNET,54,unknown,unknown,unknown,unknown,unknown,0.75297,,,,,,False
Fresh Vanilla EEGNet S1+S2 source,VANILLA_EEGNET,40,True,1+2,False,False,True,0.7496666666666667,0.7449880923148804,0.7496666666666667,0.0,-0.08158333333333334,,True
Fresh Vanilla EEGNet S1-only source,VANILLA_EEGNET,40,True,1,False,False,True,0.7145,0.7108988891803242,0.7145,-0.03516666666666668,-0.11675000000000002,,True
Old invalid V2 NoAdapt,INVALID_OLD_RESULT,40,False,cached,False,False,False,0.88125,,,0.13158333333333327,0.04999999999999993,,False
Fold-correct cached NoAdapt,CONTROL,40,True,cached,False,False,True,0.8267499999999999,,,0.07708333333333317,-0.0045000000000001705,,True
V6 strong anchor,STRONG_ANCHOR,40,True,S1+S2,True,True,True,0.8377500000000001,,,0.0880833333333334,0.006500000000000061,,True
Fold-correct Generic,GENERIC_ADAPTATION,40,True,cached,True,True,True,0.83125,,,0.08158333333333334,0.0,0.15,True
