row_type,method,subject_id,source_fold,BA,FutureDeltaBA,NegativeTransfer,internal_holdout_used,outer_test_used,mean_BA,median_BA,SD_BA,negative_transfer_rate
subject,FOLD_CORRECT_CACHED_NOADAPT,14,0,0.8,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,14,0,0.8,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,19,0,0.73,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,19,0,0.78,0.050000000000000044,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,2,0,0.83,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,2,0,0.86,0.030000000000000027,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,32,0,0.8600000000000001,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,32,0,0.8600000000000001,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,33,0,0.95,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,33,0,0.95,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,40,0,0.8200000000000001,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,40,0,0.8200000000000001,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,47,0,0.95,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,47,0,0.94,-0.010000000000000009,1.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,50,0,0.63,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,50,0,0.63,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,53,0,0.8500000000000001,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,53,0,0.8500000000000001,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,1,1,0.75,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,1,1,0.75,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,10,1,0.79,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,10,1,0.8,0.010000000000000009,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,16,1,0.84,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,16,1,0.85,0.010000000000000009,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,35,1,0.86,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,35,1,0.86,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,43,1,0.8899999999999999,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,43,1,0.8899999999999999,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,45,1,0.95,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,45,1,0.95,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,48,1,0.61,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,48,1,0.6,-0.010000000000000009,1.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,5,1,0.72,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,5,1,0.72,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,6,1,0.97,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,6,1,0.97,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,22,2,0.8500000000000001,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,22,2,0.85,-1.1102230246251565e-16,1.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,26,2,0.87,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,26,2,0.8799999999999999,0.009999999999999898,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,34,2,0.7,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,34,2,0.71,0.010000000000000009,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,44,2,0.9299999999999999,0.0,0.0,False,False,,,,
