variant,seed,fold,subjects,mean_BA,macro_F1,accuracy,NLL,best_epoch,train_subjects,validation_subjects,test_subjects,OUTER_TEST_USED
S1S2_SOURCE_TO_S2,0,0,9,0.7200000000000001,0.7171383492836317,0.7200000000000001,0.5602360288588423,56,24,7,9,False
S1S2_SOURCE_TO_S2,0,1,9,0.7833333333333333,0.7808418472032849,0.7833333333333333,0.498255642790852,49,23,8,9,False
S1S2_SOURCE_TO_S2,0,2,6,0.7516666666666666,0.7450576444430289,0.7516666666666666,0.5790932584672566,57,27,7,6,False
S1S2_SOURCE_TO_S2,0,3,9,0.7711111111111111,0.7666992249199938,0.7711111111111111,0.4943348538054223,57,24,7,9,False
S1S2_SOURCE_TO_S2,0,4,7,0.7585714285714287,0.7508097488665557,0.7585714285714286,0.5021504350278568,58,25,8,7,False
S1S2_SOURCE_TO_S2,1,0,9,0.7077777777777778,0.7063359333180996,0.7077777777777778,0.6170848851016922,45,24,7,9,False
S1S2_SOURCE_TO_S2,1,1,9,0.7799999999999999,0.7758326895576968,0.7799999999999999,0.47339423917938983,54,23,8,9,False
S1S2_SOURCE_TO_S2,1,2,6,0.7200000000000001,0.7128180827974214,0.7200000000000001,0.5848664973153186,55,27,7,6,False
S1S2_SOURCE_TO_S2,1,3,9,0.7600000000000001,0.7549383442640528,0.7600000000000001,0.5208033808256778,60,24,7,9,False
S1S2_SOURCE_TO_S2,1,4,7,0.7185714285714285,0.7105620543870349,0.7185714285714285,0.5478224909107071,59,25,8,7,False
S1S2_SOURCE_TO_S2,2,0,9,0.7211111111111111,0.7162901971572487,0.7211111111111111,0.5805827545594883,59,24,7,9,False
S1S2_SOURCE_TO_S2,2,1,9,0.7855555555555556,0.7826018387420853,0.7855555555555556,0.4640720348358316,58,23,8,9,False
S1S2_SOURCE_TO_S2,2,2,6,0.7216666666666667,0.7151173048661342,0.7216666666666667,0.6163041400363355,60,27,7,6,False
S1S2_SOURCE_TO_S2,2,3,9,0.7766666666666667,0.7722293982426065,0.7766666666666667,0.4814316982538059,59,24,7,9,False
S1S2_SOURCE_TO_S2,2,4,7,0.7442857142857143,0.7392628368818147,0.7442857142857143,0.5192692974386273,60,25,8,7,False
S1_ONLY_SOURCE_TO_S2,0,0,9,0.6977777777777777,0.6944958178422295,0.6977777777777777,0.686257067008611,59,24,7,9,False
S1_ONLY_SOURCE_TO_S2,0,1,9,0.7144444444444445,0.7134914848329231,0.7144444444444445,0.5767533281212968,32,23,8,9,False
S1_ONLY_SOURCE_TO_S2,0,2,6,0.7166666666666668,0.7114877309202087,0.7166666666666668,0.5904227749812496,50,27,7,6,False
S1_ONLY_SOURCE_TO_S2,0,3,9,0.72,0.7162590192262839,0.72,0.5936774136973154,60,24,7,9,False
S1_ONLY_SOURCE_TO_S2,0,4,7,0.7657142857142857,0.7638135481182348,0.7657142857142857,0.5128731520719673,57,25,8,7,False
S1_ONLY_SOURCE_TO_S2,1,0,9,0.6799999999999999,0.6757350144555108,0.6799999999999999,0.6591860472804023,43,24,7,9,False
S1_ONLY_SOURCE_TO_S2,1,1,9,0.7388888888888888,0.7356357922246344,0.7388888888888888,0.5470388541206188,59,23,8,9,False
S1_ONLY_SOURCE_TO_S2,1,2,6,0.6900000000000001,0.682270122839733,0.6900000000000001,0.6125526797809926,29,27,7,6,False
S1_ONLY_SOURCE_TO_S2,1,3,9,0.73,0.7273851906782327,0.73,0.5455932561805641,52,24,7,9,False
S1_ONLY_SOURCE_TO_S2,1,4,7,0.7028571428571428,0.6972639888449786,0.7028571428571428,0.580419907659841,37,25,8,7,False
S1_ONLY_SOURCE_TO_S2,2,0,9,0.6966666666666667,0.6909051480565928,0.6966666666666667,0.647211429349541,33,24,7,9,False
S1_ONLY_SOURCE_TO_S2,2,1,9,0.7544444444444445,0.7526007059976288,0.7544444444444445,0.5244846016051631,56,23,8,9,False
S1_ONLY_SOURCE_TO_S2,2,2,6,0.6483333333333333,0.6426729949398307,0.6483333333333333,0.6714663991690198,59,27,7,6,False
S1_ONLY_SOURCE_TO_S2,2,3,9,0.7255555555555556,0.7231821456812775,0.7255555555555556,0.5626141891889018,45,24,7,9,False
S1_ONLY_SOURCE_TO_S2,2,4,7,0.7157142857142856,0.7135037113914201,0.7157142857142856,0.5828516275724365,53,25,8,7,False
