variant,seed,subjects,mean_BA,median_BA,SD_BA,macro_F1,accuracy,NLL,bootstrap_CI95_L,bootstrap_CI95_U,worst_subject_BA,best_subject_BA,target_S1_used,target_adaptation,strict_unseen_subject,OUTER_TEST_USED
S1S2_SOURCE_TO_S2,0,40,0.75725,0.75,0.09317718164597587,0.7527032225346564,0.75725,0.5241262831273646,0.7295,0.78675,0.55,0.9199999999999999,False,False,True,False
S1S2_SOURCE_TO_S2,1,40,0.7394999999999999,0.75,0.10200427341475353,0.7346201395438104,0.7394999999999999,0.5461374741556926,0.70825,0.77,0.56,0.97,False,False,True,False
S1S2_SOURCE_TO_S2,2,40,0.75225,0.755,0.09163717474296006,0.7476409148661742,0.75225,0.5266872077782634,0.725,0.7810062499999999,0.6,0.97,False,False,True,False
S1_ONLY_SOURCE_TO_S2,0,40,0.7212500000000001,0.735,0.09140463714882134,0.7183459529865457,0.7212500000000001,0.5960709748459069,0.69249375,0.7495,0.55,0.8899999999999999,False,False,True,False
S1_ONLY_SOURCE_TO_S2,1,40,0.71,0.695,0.09564893072438367,0.7055818158794662,0.71,0.5876154712634778,0.6805000000000001,0.7384999999999999,0.53,0.8999999999999999,False,False,True,False
S1_ONLY_SOURCE_TO_S2,2,40,0.7122499999999999,0.7,0.08648365786044829,0.7087688986749605,0.7122499999999999,0.5929387942328408,0.6872437499999999,0.7397499999999999,0.5700000000000001,0.94,False,False,True,False
