subject_id,source_fold,delta_P,delta_U,delta_D,slope_P,slope_U,slope_D,AUC_P,AUC_U,AUC_D,min_U,max_drop_U,max_drop_D,late_minus_early_U,late_minus_early_D,cumulative_predicted_utility_damage,max_predicted_utility_damage,fraction_steps_predicted_damage,cumulative_predicted_decision_damage,max_predicted_decision_damage,mean_actual_utility_delta_small_step,mean_predicted_utility_delta,mean_cos_task_G,final_history_BA,final_history_loss,P_static,U_static,D_static,I_static,history_BA_t0,history_loss_t0,history_margin_t0,history_gradient_norm_t0,BA_NoAdapt_S2,BA_Generic_S2,FutureDeltaBA,NegativeTransfer,role,R_raw
14,0,0.625816302075735,0.010000000000000009,0.01,0.08749222555968876,0.0022857142857142876,0.002285714285714285,0.5767300673373115,0.0030000000000000027,0.003,0.0,0.0,0.0,0.010000000000000009,0.01,0.0,0.0,0.0,0.0,0.0,0.0011810845152849358,0.0012197946999581587,-0.5981733354222109,0.76,0.44921833411823964,1.0,0.47,0.71,0.38468822668492864,0.75,0.46545897358490596,1.964633994475007,0.2673866285450336,0.8,0.8,0.0,0,outcome,0.0
19,0,0.9306677831071949,0.020000000000000018,0.02,0.1326113573242524,0.0028571428571428593,0.0028571428571428563,0.8403857255536684,0.0020000000000000018,0.002,0.0,0.0,0.0,0.010000000000000009,0.01,0.0,0.0,0.0,0.0,0.0,0.024015990984187097,0.024692792972290295,-0.8843408579718263,0.78,0.48144014673514834,1.0,0.5,0.94,0.41245950339233267,0.76,0.63365234109601,3.2452026061713695,0.8234765946547573,0.73,0.78,0.050000000000000044,0,outcome,0.0
2,0,0.8846514489215183,-0.039999999999999925,0.04,0.12487384683758741,-0.007428571428571406,0.007428571428571427,0.8068946354575022,-0.011999999999999933,0.012,-0.039999999999999925,0.039999999999999925,0.0,-0.029999999999999916,0.03,0.0,0.0,0.0,0.0,0.0,0.002704615916113484,0.002835495871073667,-0.8459417424466915,0.8300000000000001,0.3137087643942205,1.0,0.61,0.81,0.33160367967932153,0.86,0.33212241127785097,2.232056801915169,0.31115391613268717,0.83,0.86,0.030000000000000027,0,outcome,0.039999999999999925
32,0,0.7734393496832876,0.020000000000000018,0.02,0.10941494650801474,0.004000000000000003,0.003999999999999999,0.7039995482350548,0.014000000000000012,0.014000000000000002,0.0,0.0,0.0,0.015000000000000013,0.015,0.0,0.0,0.0,0.0,0.0,0.008167289081552254,0.008536618013927421,-0.7298563605335128,0.89,0.32572074475391044,1.0,0.69,0.93,0.5139882398922417,0.87,0.39951498047316397,2.728127067759633,0.6035675190386602,0.8600000000000001,0.8600000000000001,0.0,0,outcome,0.0
33,0,0.7847446768160034,0.0,0.0,0.11178800743806837,0.0,0.0,0.7084561278065001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009563507754316275,0.0009695978555657534,-0.7600105077412923,0.95,0.11302046205599608,1.0,0.82,0.9,0.691013437148157,0.95,0.1212258678552872,3.684355422258377,0.18529746684258216,0.95,0.95,0.0,0,outcome,0.0
40,0,0.6967490597030792,0.019999999999999907,0.04,0.09765746245444046,0.004857142857142832,0.007714285714285713,0.6400361168363674,0.019999999999999962,0.022,0.0,0.0,0.0,0.019999999999999907,0.030000000000000002,0.0,0.0,0.0,0.0,0.0,0.0019010751325797103,0.001972586941600335,-0.6487090567452563,0.8899999999999999,0.3104952226517802,1.0,0.59,0.79,0.3481444765597755,0.86,0.33253214630670747,2.16138343244791,0.3122564921482574,0.8200000000000001,0.8200000000000001,0.0,0,outcome,0.0
47,0,0.8390440392026289,0.0,0.0,0.11941529037398542,0.0,0.0,0.7582164891154889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001190575953090725,0.0012128498738066742,-0.8256749302723628,0.96,0.11598919063810396,1.0,0.82,0.86,0.49231591981332323,0.96,0.1246487762352606,3.279037057161331,0.1972661312031561,0.95,0.94,-0.010000000000000009,1,outcome,0.0
50,0,0.9432636371604154,-0.020000000000000018,0.04,0.13456808710196533,-0.0060000000000000045,0.008857142857142857,0.850435051883144,0.0040000000000000036,0.03,-0.020000000000000018,0.020000000000000018,0.0,-0.025000000000000022,0.034999999999999996,0.0,0.0,0.0,0.010000000000000002,0.010000000000000002,0.04270117166384764,0.04423194087704502,-0.9093238054987607,0.59,0.782262839007183,1.0,0.16999999999999998,0.75,0.23729827869834308,0.59,1.0364100527902491,2.303171021938324,1.115860938879715,0.63,0.63,0.0,0,outcome,0.03000000000000002
53,0,0.647556470415675,0.0,0.0,0.0917387906126326,-0.0008571428571428579,-0.0008571428571428573,0.5881279807582449,0.0020000000000000018,0.002,0.0,0.0,0.0,-0.0050000000000000044,-0.005,0.0,0.0,0.0,0.01,0.01,0.0007576629766654186,0.0007687304420735001,-0.6394612474358383,0.9,0.26626508354992384,1.0,0.71,0.83,0.5606868720171823,0.89,0.2754935747447218,2.7140729943662882,0.19872362465364468,0.8500000000000001,0.8500000000000001,0.0,0,outcome,0.01
1,1,0.8405174349085902,0.0,0.0,0.11945531637483578,0.0,0.0,0.7609526729896103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005033381526277058,0.00519792681481805,-0.7921350307863894,0.87,0.28589117679178233,1.0,0.61,0.83,0.3555602717686848,0.87,0.32511296449832483,2.734994565844536,0.4240029139913375,0.75,0.75,0.0,0,outcome,0.0
