variant,seed,fold,subject_id,BA,macro_F1,accuracy,NLL,source_sessions,target_S1_used,target_adaptation,strict_unseen_subject,best_epoch,OUTER_TEST_USED
S1S2_SOURCE_TO_S2,0,0,2,0.8,0.7996794871794872,0.8,0.45785528644674733,1+2,False,False,True,56,False
S1S2_SOURCE_TO_S2,0,0,14,0.7,0.6998799519807923,0.7,0.6860854325493787,1+2,False,False,True,56,False
S1S2_SOURCE_TO_S2,0,0,19,0.6599999999999999,0.6510673234811166,0.66,0.6482061529765253,1+2,False,False,True,56,False
S1S2_SOURCE_TO_S2,0,0,32,0.63,0.6296667000300271,0.63,0.6988715730530547,1+2,False,False,True,56,False
S1S2_SOURCE_TO_S2,0,0,33,0.8,0.7999199679871949,0.8,0.4444401773156047,1+2,False,False,True,56,False
S1S2_SOURCE_TO_S2,0,0,40,0.75,0.7479584635547938,0.75,0.43324810981824874,1+2,False,False,True,56,False
S1S2_SOURCE_TO_S2,0,0,47,0.84,0.8376623376623377,0.84,0.32640269246832715,1+2,False,False,True,56,False
S1S2_SOURCE_TO_S2,0,0,50,0.55,0.5396419437340154,0.55,0.8255825261974558,1+2,False,False,True,56,False
S1S2_SOURCE_TO_S2,0,0,53,0.75,0.7487689679429204,0.75,0.521432308904238,1+2,False,False,True,56,False
S1S2_SOURCE_TO_S2,0,1,1,0.72,0.7189883580891208,0.72,0.7665938905394165,1+2,False,False,True,49,False
S1S2_SOURCE_TO_S2,0,1,5,0.71,0.7033248081841432,0.71,0.6352914442619838,1+2,False,False,True,49,False
S1S2_SOURCE_TO_S2,0,1,6,0.9199999999999999,0.9198717948717949,0.92,0.1987426253814766,1+2,False,False,True,49,False
S1S2_SOURCE_TO_S2,0,1,10,0.7,0.6995192307692308,0.7,0.5677056769165272,1+2,False,False,True,49,False
S1S2_SOURCE_TO_S2,0,1,16,0.87,0.8696741854636592,0.87,0.3443428601708346,1+2,False,False,True,49,False
S1S2_SOURCE_TO_S2,0,1,35,0.8,0.7916666666666667,0.8,0.5641278461022402,1+2,False,False,True,49,False
S1S2_SOURCE_TO_S2,0,1,43,0.88,0.8792270531400965,0.88,0.3006879358522131,1+2,False,False,True,49,False
S1S2_SOURCE_TO_S2,0,1,45,0.78,0.7756017951856384,0.78,0.5164873317763664,1+2,False,False,True,49,False
S1S2_SOURCE_TO_S2,0,1,48,0.6699999999999999,0.6697027324592133,0.67,0.5903211741166091,1+2,False,False,True,49,False
S1S2_SOURCE_TO_S2,0,2,7,0.74,0.7373737373737375,0.74,0.5532114311663503,1+2,False,False,True,57,False
S1S2_SOURCE_TO_S2,0,2,22,0.6699999999999999,0.6576408341114224,0.67,0.833624789747859,1+2,False,False,True,57,False
S1S2_SOURCE_TO_S2,0,2,26,0.9,0.9,0.9,0.24219704186982344,1+2,False,False,True,57,False
S1S2_SOURCE_TO_S2,0,2,34,0.6799999999999999,0.6715927750410509,0.68,0.8728060696194637,1+2,False,False,True,57,False
S1S2_SOURCE_TO_S2,0,2,44,0.8,0.797979797979798,0.8,0.3816810198938697,1+2,False,False,True,57,False
S1S2_SOURCE_TO_S2,0,2,52,0.72,0.7057587221521648,0.72,0.5910391985061737,1+2,False,False,True,57,False
S1S2_SOURCE_TO_S2,0,3,9,0.64,0.6394230769230769,0.64,0.6967651098877545,1+2,False,False,True,57,False
S1S2_SOURCE_TO_S2,0,3,15,0.79,0.7889659330720531,0.79,0.4676191659471429,1+2,False,False,True,57,False
S1S2_SOURCE_TO_S2,0,3,20,0.84,0.8399359743897559,0.84,0.3644019015549043,1+2,False,False,True,57,False
S1S2_SOURCE_TO_S2,0,3,21,0.9,0.8999599839935974,0.9,0.31147500136279516,1+2,False,False,True,57,False
S1S2_SOURCE_TO_S2,0,3,27,0.88,0.8787878787878788,0.88,0.25085709433508785,1+2,False,False,True,57,False
S1S2_SOURCE_TO_S2,0,3,28,0.8500000000000001,0.849624060150376,0.85,0.34997975844398643,1+2,False,False,True,57,False
S1S2_SOURCE_TO_S2,0,3,38,0.69,0.6693333333333333,0.69,0.6228570924503264,1+2,False,False,True,57,False
S1S2_SOURCE_TO_S2,0,3,41,0.6799999999999999,0.6794871794871795,0.68,0.5767184546635115,1+2,False,False,True,57,False
S1S2_SOURCE_TO_S2,0,3,46,0.67,0.6547756041426928,0.67,0.8083401056032916,1+2,False,False,True,57,False
S1S2_SOURCE_TO_S2,0,4,3,0.85,0.8474214220323466,0.85,0.3251066365417758,1+2,False,False,True,58,False
S1S2_SOURCE_TO_S2,0,4,8,0.75,0.7469379491851402,0.75,0.5076095168722505,1+2,False,False,True,58,False
S1S2_SOURCE_TO_S2,0,4,11,0.6699999999999999,0.6601791782514674,0.67,0.6674031701791301,1+2,False,False,True,58,False
S1S2_SOURCE_TO_S2,0,4,23,0.6,0.5659722222222222,0.6,0.7730563532565919,1+2,False,False,True,58,False
S1S2_SOURCE_TO_S2,0,4,30,0.72,0.7159090909090908,0.72,0.6014593252258635,1+2,False,False,True,58,False
S1S2_SOURCE_TO_S2,0,4,31,0.87,0.8699869986998701,0.87,0.32172014044662606,1+2,False,False,True,58,False
S1S2_SOURCE_TO_S2,0,4,49,0.8500000000000001,0.8492613807657522,0.85,0.3186979026727597,1+2,False,False,True,58,False
S1S2_SOURCE_TO_S2,1,0,2,0.79,0.7898108297467721,0.79,0.4520300359662736,1+2,False,False,True,45,False
S1S2_SOURCE_TO_S2,1,0,14,0.6100000000000001,0.6090225563909775,0.61,0.7605864787163149,1+2,False,False,True,45,False
S1S2_SOURCE_TO_S2,1,0,19,0.6,0.5941558441558441,0.6,0.7804141192033158,1+2,False,False,True,45,False
S1S2_SOURCE_TO_S2,1,0,32,0.56,0.5598239295718287,0.56,0.828734508891398,1+2,False,False,True,45,False
S1S2_SOURCE_TO_S2,1,0,33,0.75,0.74997499749975,0.75,0.5094157547481285,1+2,False,False,True,45,False
S1S2_SOURCE_TO_S2,1,0,40,0.76,0.7584541062801933,0.76,0.5467269925786598,1+2,False,False,True,45,False
S1S2_SOURCE_TO_S2,1,0,47,0.9,0.9,0.9,0.3276649868035327,1+2,False,False,True,45,False
S1S2_SOURCE_TO_S2,1,0,50,0.61,0.6068152031454783,0.61,0.7399561474443843,1+2,False,False,True,45,False
S1S2_SOURCE_TO_S2,1,0,53,0.79,0.7889659330720531,0.79,0.6082349415632238,1+2,False,False,True,45,False
S1S2_SOURCE_TO_S2,1,1,1,0.6599999999999999,0.6486151302190988,0.66,0.8168730976609766,1+2,False,False,True,54,False
S1S2_SOURCE_TO_S2,1,1,5,0.75,0.7442455242966752,0.75,0.49654821352693096,1+2,False,False,True,54,False
S1S2_SOURCE_TO_S2,1,1,6,0.97,0.96999699969997,0.97,0.12225961726297081,1+2,False,False,True,54,False
S1S2_SOURCE_TO_S2,1,1,10,0.66,0.6532027743778049,0.66,0.640491123006553,1+2,False,False,True,54,False
S1S2_SOURCE_TO_S2,1,1,16,0.83,0.8279178054458953,0.83,0.36691053755363356,1+2,False,False,True,54,False
S1S2_SOURCE_TO_S2,1,1,35,0.82,0.8173701298701299,0.82,0.41487511772209223,1+2,False,False,True,54,False
S1S2_SOURCE_TO_S2,1,1,43,0.86,0.8585858585858586,0.86,0.32869604828045307,1+2,False,False,True,54,False
S1S2_SOURCE_TO_S2,1,1,45,0.75,0.742559983523839,0.75,0.5162961197316668,1+2,False,False,True,54,False
S1S2_SOURCE_TO_S2,1,1,48,0.72,0.72,0.72,0.557598277869232,1+2,False,False,True,54,False
S1S2_SOURCE_TO_S2,1,2,7,0.6799999999999999,0.6788438378161381,0.68,0.6456650107852369,1+2,False,False,True,55,False
