dataset,total_future_trials,mean_absolute_probability_change_class1,median_absolute_probability_change_class1,p95_absolute_probability_change_class1,max_absolute_probability_change_class1,argmax_unchanged_but_probability_shift_gt_1e-3
OpenBMI,1400,0.0036721657624418317,0.0019910037517547607,0.012860728800296775,0.02955383062362671,False
WBCIC,2000,0.001064733607636299,0.00048504769802093506,0.003635200858116149,0.006279557943344116,False
