subject,ba,run,model
14,0.635,fold-2/seed-1,control
16,0.76,fold-2/seed-1,control
17,0.67,fold-2/seed-1,control
25,0.825,fold-2/seed-1,control
30,0.7949999999999999,fold-2/seed-1,control
49,0.69,fold-2/seed-1,control
5,0.79,fold-2/seed-1,control
6,0.825,fold-2/seed-1,control
9,0.835,fold-2/seed-1,control
