model,task,fold,epoch,schedule_tags,trajectory_provenance,protected_rank,persistence_supported_blocks,native_finite_dependence,selected_excess_CE_harm_mean,outer_BA,outer_macro_F1,outer_CE,outer_used_for_selection
EEGNet,OpenBMI_SSVEP,4,6,10pct,RETRAINED_REPLICA_TRAJECTORY,7,6,0.8522795347067026,0.03869675049289197,0.7112499999999999,0.7039280853858529,0.7806198298931122,False
EEGNet,OpenBMI_SSVEP,4,15,25pct,RETRAINED_REPLICA_TRAJECTORY,12,6,2.09039392379614,0.05630356379025591,0.9425,0.942077144007164,0.19466512836515903,False
EEGNet,OpenBMI_SSVEP,4,30,50pct,RETRAINED_REPLICA_TRAJECTORY,8,5,2.0944242614966173,0.04342552817442945,0.96375,0.9631306837381901,0.11566390097141266,False
EEGNet,OpenBMI_SSVEP,4,41,best_legal,RETRAINED_REPLICA_TRAJECTORY,8,6,2.7994191279778113,0.12702040230311182,0.965,0.9642669845186362,0.10883692509378307,False
EEGNet,OpenBMI_SSVEP,4,45,75pct,RETRAINED_REPLICA_TRAJECTORY,8,6,2.4666112936460056,0.059742174172658445,0.9662499999999999,0.9657304559703153,0.11186960228951648,False
EEGNet,OpenBMI_SSVEP,4,60,final,RETRAINED_REPLICA_TRAJECTORY,4,5,1.969244631437155,0.061431787429974134,0.97,0.9695405662619838,0.10368778223346453,False
